 #No_Constraint #No_Constraint #No_Constraint
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         211.87              4         249.54
         211.87              4         462.47
         211.87              4         171.55
         211.87              4         344.23
         211.87              4         162.17
         211.87              4         182.47
         211.87              4         199.23
         211.87              4         551.90
         211.87              4         361.79
         211.87              4         322.18
         211.87              4         201.93
         211.87              4         335.79
         211.87              4         388.42
         211.87              4         517.30
         211.87              4         418.97
         211.87              4         433.16
         211.87              4         282.75
         211.87              4         340.62
         211.87              4         294.82
         211.87              4         362.28
         211.87              4         296.35
         211.87              4         181.40
         211.87              4         354.05
         211.87              4         296.53
         211.87              4         315.15
         211.87              4         307.78
         211.87              4         302.35
         211.87              4         358.30
         211.87              4         310.60
         211.87              4         250.50
         211.87              4         226.88
         211.87              4         277.99
         211.87              4         162.74
         211.87              4         499.99
         211.87              4         313.65
         211.87              4         403.09
         211.87              4         188.00
         211.87              4         633.71
         211.87              4         263.94
         211.87              4         601.58
         211.87              4         388.41
         211.87              4         301.79
         211.87              4         356.55
         211.87              4         336.32
         211.87              4         208.41
         211.87              4         169.58
         211.87              4         233.84
         211.87              4         395.58
         211.87              4         266.61
         211.87              4         403.84
         211.87              4         299.64
         211.87              4         314.51
         211.87              4         278.63
         211.87              4         142.57
         211.87              4         525.03
         211.87              4         365.19
         211.87              4         179.22
         211.87              4         448.75
         211.87              4         518.62
         211.87              4         421.49
         211.87              4         353.05
         211.87              4         264.59
         211.87              4         169.96
         211.87              4         351.34
         211.87              4         354.14
         211.87              4         401.67
         211.87              4         199.45
         211.87              4         300.55
         211.87              4         212.12
         211.87              4         378.50
         211.87              4         224.70
         211.87              4         431.76
         211.87              4         252.21
         211.87              4         282.54
         211.87              4         368.14
         211.87              4         205.92
         211.87              4         230.52
         211.87              4         502.89
         211.87              4         268.66
         211.87              4         565.24
         211.87              4         109.58
         211.87              4         320.43
         211.87              4         234.35
         211.87              4         369.27
         211.87              4         319.79
         211.87              4         287.77
         211.87              4         252.22
         211.87              4         177.39
         211.87              4         218.32
         211.87              4         355.99
         211.87              4         335.59
         211.87              4         265.54
         211.87              4         316.77
         211.87              4         228.97
         211.87              4         184.55
         211.87              4         247.76
         211.87              4         192.07
         211.87              4         391.09
         211.87              4         191.03
         211.87              4         324.19
         211.87              4         305.57
         211.87              4         268.52
         211.87              4         517.30
         211.87              4         272.28
         211.87              4         296.02
         211.87              4         250.97
         211.87              4         214.59
         211.87              4         242.20
         211.87              4         323.11
         211.87              4         311.08
         211.87              4         179.99
         211.87              4         295.77
         211.87              4         148.36
         211.87              4         326.29
         211.87              4         303.40
         211.87              4         390.99
         211.87              4         467.75
         211.87              4         222.81
         211.87              4         319.01
         211.87              4         312.66
         211.87              4         379.17
         211.87              4         360.72
         211.87              4         424.73
         211.87              4         237.22
         211.87              4         282.53
         211.87              4         327.33
         211.87              4         253.83
         211.87              4         395.49
         211.87              4         249.32
         211.87              4         131.68
         211.87              4         228.08
         211.87              4         289.61
         211.87              4         315.36
         211.87              4         310.29
         211.87              4         279.98
         211.87              4         211.98
         211.87              4         134.46
         211.87              4         291.80
         211.87              4         350.91
         211.87              4         227.91
         211.87              4         237.06
         211.87              4         508.23
         211.87              4         345.42
         211.87              4         385.10
         211.87              4         176.86
         211.87              4         247.62
         211.87              4         562.56
         211.87              4         166.52
         211.87              4         359.40
         211.87              4         238.61
         211.87              4         208.68
         211.87              4         386.14
         211.87              4         244.65
         211.87              4         195.67
         211.87              4         421.86
         211.87              4         424.79
         211.87              4         332.91
         211.87              4         450.95
         211.87              4         352.85
         211.87              4         235.22
         211.87              4         158.39
         211.87              4         333.45
         211.87              4         146.25
         211.87              4         318.85
         211.87              4         313.15
         211.87              4         321.14
         211.87              4         186.35
         211.87              4         177.91
         211.87              4         218.66
         211.87              4         250.21
         211.87              4         400.59
         211.87              4         191.37
         211.87              4         268.12
         211.87              4         199.50
         211.87              4         323.50
         211.87              4         294.79
         211.87              4         310.16
         211.87              4         480.68
         211.87              4         151.67
         211.87              4         345.57
         211.87              4         387.03
         211.87              4         470.80
         211.87              4         434.23
         211.87              4         391.28
         211.87              4         521.54
         211.87              4         421.84
         211.87              4         276.57
         211.87              4         495.60
         211.87              4         360.31
         211.87              4         212.76
         211.87              4         406.52
         211.87              4         308.77
         211.87              4         478.36
         211.87              4         383.48
         211.87              4         417.81
         211.87              4         215.63
         211.87              4         259.79
         211.87              4         115.90
         211.87              4         748.13
         211.87              4         209.85
         211.87              4         386.67
         211.87              4         285.89
         211.87              4         492.82
         211.87              4         167.88
         211.87              4         157.57
         211.87              4         417.40
         211.87              4         110.02
         211.87              4         420.03
         211.87              4         374.01
         211.87              4         293.86
         211.87              4         316.00
         211.87              4         762.37
         211.87              4         315.96
         211.87              4         188.39
         211.87              4         381.39
         211.87              4         262.24
         211.87              4         309.41
         211.87              4         384.02
         211.87              4         302.93
         211.87              4         244.72
         211.87              4         218.90
         211.87              4         292.20
         211.87              4         218.63
         211.87              4         222.59
         211.87              4         389.95
         211.87              4         143.90
         211.87              4         202.04
         211.87              4         334.94
         211.87              4         473.29
         211.87              4         351.16
         211.87              4         456.27
         211.87              4         311.60
         211.87              4         228.36
         211.87              4         547.46
         211.87              4         162.72
         211.87              4         185.59
         211.87              4         267.02
         211.87              4         442.30
         211.87              4         574.32
         211.87              4         346.23
         211.87              4         281.27
         211.87              4         327.71
         211.87              4         476.40
         211.87              4         289.20
         211.87              4         147.39
         211.87              4         223.12
         211.87              4         303.01
         211.87              4         460.48
         211.87              4         211.37
         211.87              4         183.19
         211.87              4         551.72
         211.87              4         314.71
         211.87              4         410.08
         211.87              4         313.72
         211.87              4         303.76
         211.87              4         364.36
         211.87              4         260.58
         211.87              4         253.96
         211.87              4         417.18
         211.87              4         419.08
         211.87              4         380.03
         211.87              4         357.61
         211.87              4         302.77
         211.87              4         318.29
         211.87              4         345.51
         211.87              4         471.14
         211.87              4         198.54
         211.87              4         123.00
         211.87              4         237.12
         211.87              4         441.09
         211.87              4         286.87
         211.87              4         148.30
         211.87              4         344.58
         211.87              4         261.82
         211.87              4         195.47
         211.87              4         267.09
         211.87              4         543.33
         211.87              4         143.72
         211.87              4         269.16
         211.87              4         210.70
         211.87              4         741.12
         211.87              4         175.95
         211.87              4         161.60
         211.87              4         295.91
         211.87              4         176.75
         211.87              4         229.15
         211.87              4         147.26
         211.87              4         274.59
         211.87              4         100.21
         211.87              4         438.35
         211.87              4         318.10
         211.87              4         176.00
         211.87              4         375.92
         211.87              4         485.95
         211.87              4         235.01
         211.87              4         332.77
         211.87              4         275.83
         211.87              4         390.43
         211.87              4         447.13
         211.87              4         431.20
         211.87              4         330.03
         211.87              4         307.56
         211.87              4         416.09
         211.87              4         295.90
         211.87              4         208.38
         211.87              4         178.47
         211.87              4         214.10
         211.87              4         509.75
         211.87              4         236.95
         211.87              4         470.52
         211.87              4         187.85
         211.87              4         303.41
         211.87              4         495.05
         211.87              4         440.46
         211.87              4         511.75
         211.87              4         412.20
         211.87              4         118.59
         211.87              4         345.87
         211.87              4         360.52
         211.87              4         418.22
         211.87              4         413.52
         211.87              4         171.10
         211.87              4         159.43
         211.87              4         248.13
         211.87              4         580.66
         211.87              4         189.11
         211.87              4         304.57
         211.87              4         325.01
         211.87              4         662.25
         211.87              4         162.19
         211.87              4         564.12
         211.87              4         199.76
         211.87              4         361.54
         211.87              4         153.48
         211.87              4         139.59
         211.87              4         113.39
         211.87              4         141.62
         211.87              4         439.75
         211.87              4         213.16
         211.87              4         462.20
         211.87              4         382.89
         211.87              4         464.61
         211.87              4         325.06
         211.87              4         125.42
         211.87              4         318.02
         211.87              4         398.75
         211.87              4         237.28
         211.87              4         348.26
         211.87              4         429.79
         211.87              4         231.87
         211.87              4         416.76
         211.87              4         275.97
         211.87              4         191.03
         211.87              4         356.81
         211.87              4         222.12
         211.87              4         190.20
         211.87              4         195.74
         211.87              4         517.21
         211.87              4         352.33
         211.87              4         486.48
         211.87              4         216.99
         211.87              4         275.23
         211.87              4         410.72
         211.87              4         335.65
         211.87              4         331.14
         211.87              4         103.38
         211.87              4         383.78
         211.87              4         358.88
         211.87              4         607.84
         211.87              4         385.98
         211.87              4         283.74
         211.87              4         327.52
         211.87              4         217.60
         211.87              4         307.19
         211.87              4         395.00
         211.87              4         213.52
         211.87              4         236.34
         211.87              4         115.16
         211.87              4         303.70
         211.87              4         451.09
         211.87              4         307.03
         211.87              4         394.97
         211.87              4         316.67
         211.87              4         409.44
         211.87              4         199.38
         211.87              4         500.84
         211.87              4         226.30
         211.87              4         393.44
         211.87              4         207.03
         211.87              4         256.20
         211.87              4         125.86
