   #Hard_on_HCl   #Hard_on_HCl   #Hard_on_HCl
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         211.87              4         162.17
         211.87              4         388.42
         211.87              4         181.40
         211.87              4         302.35
         211.87              4         188.00
         211.87              4         525.03
         211.87              4         365.19
         211.87              4         199.45
         211.87              4         378.50
         211.87              4         218.32
         211.87              4         335.59
         211.87              4         228.97
         211.87              4         192.07
         211.87              4         305.57
         211.87              4         323.11
         211.87              4         295.77
         211.87              4         319.01
         211.87              4         237.22
         211.87              4         253.83
         211.87              4         228.08
         211.87              4         315.36
         211.87              4         208.68
         211.87              4         244.65
         211.87              4         195.67
         211.87              4         421.86
         211.87              4         313.15
         211.87              4         321.14
         211.87              4         191.37
         211.87              4         199.50
         211.87              4         323.50
         211.87              4         480.68
         211.87              4         151.67
         211.87              4         345.57
         211.87              4         521.54
         211.87              4         495.60
         211.87              4         360.31
         211.87              4         308.77
         211.87              4         115.90
         211.87              4         748.13
         211.87              4         209.85
         211.87              4         492.82
         211.87              4         293.86
         211.87              4         315.96
         211.87              4         262.24
         211.87              4         309.41
         211.87              4         244.72
         211.87              4         218.90
         211.87              4         218.63
         211.87              4         473.29
         211.87              4         267.02
         211.87              4         346.23
         211.87              4         303.76
         211.87              4         345.51
         211.87              4         237.12
         211.87              4         344.58
         211.87              4         261.82
         211.87              4         143.72
         211.87              4         175.95
         211.87              4         161.60
         211.87              4         176.75
         211.87              4         318.10
         211.87              4         332.77
         211.87              4         390.43
         211.87              4         447.13
         211.87              4         416.09
         211.87              4         214.10
         211.87              4         159.43
         211.87              4         325.01
         211.87              4         141.62
         211.87              4         325.06
         211.87              4         429.79
         211.87              4         231.87
         211.87              4         486.48
         211.87              4         410.72
         211.87              4         331.14
         211.87              4         385.98
         211.87              4         283.74
         211.87              4         213.52
         211.87              4         451.09
         211.87              4         307.03
         211.87              4         409.44
         211.87              4         199.38
         211.87              4         256.20
         211.87              4         131.50
         211.87              4         374.39
         211.87              4         513.33
         211.87              4         214.96
         211.87              4         168.35
         211.87              4         240.16
         211.87              4         566.43
         211.87              4         790.88
         211.87              4         310.28
         211.87              4         408.28
         211.87              4         209.71
         211.87              4         435.55
         211.87              4         405.41
         211.87              4         439.68
         211.87              4         191.67
         211.87              4         435.26
         211.87              4         112.97
         211.87              4         354.02
         211.87              4         561.34
         211.87              4         153.01
         211.87              4         252.66
         211.87              4         214.21
         211.87              4         265.42
         211.87              4         371.38
         211.87              4         211.67
         211.87              4         114.08
         211.87              4         875.35
         211.87              4         313.38
         211.87              4         404.74
         211.87              4         401.01
         211.87              4         361.09
         211.87              4         437.78
         211.87              4         144.14
         211.87              4         307.36
         211.87              4         260.22
         211.87              4         180.18
         211.87              4         265.42
         211.87              4         142.78
         211.87              4         410.64
         211.87              4         600.46
         211.87              4         229.38
         211.87              4         267.25
         211.87              4         171.84
         211.87              4         174.84
         211.87              4          69.82
         211.87              4         227.10
         211.87              4         233.09
         211.87              4         458.02
         211.87              4         397.51
         211.87              4         252.92
         211.87              4         294.19
         211.87              4         279.83
         211.87              4         379.40
         211.87              4         445.89
         211.87              4         447.30
         211.87              4         100.71
         211.87              4         210.53
         211.87              4         212.44
         211.87              4         160.42
         211.87              4         391.29
         211.87              4         361.37
         211.87              4         255.29
         211.87              4         227.26
         211.87              4         166.54
         211.87              4         496.31
         211.87              4         302.42
         211.87              4         346.69
         211.87              4         347.65
         211.87              4         309.66
         211.87              4         155.19
         211.87              4         196.47
         211.87              4         376.59
         211.87              4         135.49
         211.87              4         285.16
         211.87              4         267.12
         211.87              4         497.46
         211.87              4         646.52
         211.87              4         272.53
         211.87              4         175.36
         211.87              4         284.03
         211.87              4        1010.91
         211.87              4         300.65
         211.87              4         428.12
         211.87              4         310.03
         211.87              4         331.22
         211.87              4         277.48
         211.87              4         270.14
         211.87              4         448.29
         211.87              4         568.34
         211.87              4         267.05
         211.87              4         303.25
         211.87              4         238.30
