      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         127.12              3         126.07
         593.23              7         259.23
         593.23              7         426.59
          63.56              2         222.08
         953.41              9         281.08
         593.23              7         151.72
         317.80              5         424.97
         593.23              7         336.27
           0.00              0         284.90
         317.80              5         115.92
         127.12              3         417.82
         127.12              3         210.45
         444.92              6         443.05
         317.80              5         253.29
         593.23              7         261.57
         444.92              6         189.82
         593.23              7         152.43
         444.92              6         157.90
         211.87              4         249.54
         593.23              7         174.04
         127.12              3         488.70
         593.23              7         328.52
         211.87              4         462.47
          63.56              2         215.21
         593.23              7         329.16
         953.41              9         308.77
          63.56              2         275.51
          63.56              2         339.23
          21.19              1         211.90
          21.19              1         482.40
         317.80              5         269.60
          63.56              2         237.77
         762.73              8         393.31
         127.12              3          95.40
          63.56              2         317.92
         211.87              4         171.55
         317.80              5         204.93
         127.12              3         561.42
         444.92              6         261.52
          63.56              2         248.69
         127.12              3         434.09
          63.56              2         214.35
          21.19              1         160.41
          21.19              1         270.48
         211.87              4         344.23
         211.87              4         162.17
         444.92              6         368.81
         593.23              7         316.34
          63.56              2         181.97
         593.23              7         303.06
         317.80              5         202.73
           0.00              0         364.51
         211.87              4         182.47
         317.80              5         369.63
         211.87              4         199.23
         211.87              4         551.90
         211.87              4         361.79
         211.87              4         322.18
          63.56              2         297.99
          63.56              2         284.45
         317.80              5         234.75
         593.23              7         336.98
         211.87              4         201.93
         593.23              7         441.75
          63.56              2         337.56
         127.12              3         399.98
          21.19              1         191.02
         317.80              5         293.62
          63.56              2         220.75
         317.80              5         449.57
         211.87              4         335.79
         127.12              3         273.41
         317.80              5         253.70
         211.87              4         388.42
         762.73              8         252.59
         317.80              5         257.69
         127.12              3         322.97
         127.12              3         199.10
         211.87              4         517.30
         317.80              5         272.74
         211.87              4         418.97
          63.56              2         342.85
         444.92              6         478.44
         127.12              3         680.47
         127.12              3         325.13
         953.41              9         255.55
         444.92              6         363.64
         211.87              4         433.16
          21.19              1         127.38
         593.23              7         271.10
         593.23              7         112.40
          63.56              2         396.76
         317.80              5         356.79
          63.56              2         181.15
         127.12              3         216.29
         444.92              6         372.13
         444.92              6         172.75
         444.92              6         404.11
         127.12              3         170.89
         444.92              6         323.78
          63.56              2         197.95
         593.23              7         204.15
         127.12              3         309.17
         211.87              4         282.75
         127.12              3         308.00
         593.23              7         427.34
         127.12              3         413.15
         593.23              7         436.05
          63.56              2         539.15
         211.87              4         340.62
         317.80              5         378.03
         317.80              5         430.75
         127.12              3         362.52
         444.92              6         327.84
          63.56              2         395.05
          63.56              2         360.50
         127.12              3         375.77
         317.80              5         436.76
         127.12              3         234.42
         317.80              5         285.10
         593.23              7         301.61
          63.56              2         222.04
         211.87              4         294.82
         211.87              4         362.28
         211.87              4         296.35
         762.73              8         170.69
         317.80              5         128.89
         211.87              4         181.40
         127.12              3         266.91
         211.87              4         354.05
          21.19              1         123.61
         127.12              3         202.10
         317.80              5         388.10
         444.92              6         279.21
         127.12              3         132.34
         127.12              3         253.32
         127.12              3         334.88
         593.23              7         151.28
         444.92              6         192.37
         211.87              4         296.53
         211.87              4         315.15
         317.80              5         247.11
         127.12              3         627.71
         211.87              4         307.78
         127.12              3         566.21
          21.19              1         176.78
         211.87              4         302.35
          21.19              1         323.88
          21.19              1         492.41
         317.80              5         105.72
         317.80              5         479.02
          63.56              2         192.47
          21.19              1         426.06
         317.80              5         270.12
          63.56              2         573.23
         317.80              5         367.64
         127.12              3         288.85
         317.80              5         236.26
         317.80              5         184.12
         211.87              4         358.30
          63.56              2         477.32
         762.73              8         310.20
         444.92              6         241.52
          21.19              1         318.88
         211.87              4         310.60
          21.19              1         225.45
         444.92              6         329.65
         317.80              5         123.27
         211.87              4         250.50
         444.92              6         375.34
         444.92              6         241.80
         127.12              3         260.83
