      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         444.92              6         157.90
         444.92              6         327.84
         444.92              6         279.21
         444.92              6         215.10
         444.92              6         240.30
         444.92              6         129.72
         444.92              6         279.94
         444.92              6         251.70
         444.92              6         392.50
         444.92              6         366.96
         444.92              6         102.64
         444.92              6         470.03
         444.92              6         188.99
         444.92              6         186.88
         444.92              6         171.13
         444.92              6         399.88
         444.92              6         219.68
         444.92              6         384.66
         444.92              6         388.51
         444.92              6         224.17
         444.92              6         293.99
         444.92              6         257.81
         444.92              6         250.59
         444.92              6         240.75
         444.92              6         133.86
         444.92              6         162.07
         444.92              6         280.08
         444.92              6         166.25
         444.92              6         409.82
         444.92              6         460.40
         444.92              6         239.49
         444.92              6         236.76
         444.92              6         437.60
         444.92              6         142.69
         444.92              6         187.86
         444.92              6         244.77
         444.92              6         411.43
         444.92              6         216.74
         444.92              6         105.59
         444.92              6         363.93
         444.92              6         106.15
         444.92              6         451.33
         444.92              6         261.88
         444.92              6         214.98
