    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         236.70              3         343.74
         209.73              3         354.16
         210.96              3         530.84
         235.39              3         448.20
         233.48              3         342.03
         217.22              3         249.04
         247.57              3         467.91
         218.05              3         491.69
         227.08              3         583.04
         225.70              3         608.85
         230.24              3         305.90
         236.86              3         432.50
         214.82              3         456.06
         229.11              3         344.45
         237.08              3         314.00
         242.05              3         359.09
         230.22              3         899.47
         237.49              3         701.25
         218.27              3         215.11
         220.18              3         367.41
         223.27              3         257.86
         229.59              3         189.68
         218.03              3         396.60
         244.90              3         759.29
         223.33              3         388.41
         242.23              3         534.34
         210.76              3         280.69
         246.19              3         778.36
         221.76              3         696.03
         209.82              3         708.09
         232.99              3         352.28
         239.54              3         466.57
         232.11              3         509.63
         233.45              3         415.09
         212.82              3         228.79
         240.47              3         544.80
         246.03              3         686.75
         210.03              3         189.24
         221.75              3         218.38
         223.86              3         521.39
         241.80              3         302.87
         246.46              3         766.70
         236.14              3         661.52
         216.69              3         503.49
         230.93              3         364.39
         241.82              3          45.74
         238.10              3         415.22
         219.91              3         681.38
         240.02              3         338.19
