      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         178.54              3         423.10
          76.94              2         315.64
         540.67              6         178.11
         438.74              6         504.63
         924.34              8         231.36
         157.25              2         600.99
          52.41              2         628.63
          74.59              2         601.06
         627.97              7         128.47
         153.82              3         363.92
          60.12              2         441.57
         138.11              2         483.44
         257.98              4         265.76
         420.73              6         559.10
          34.70              1         399.07
         168.20              3         314.61
         133.49              3         554.31
          74.10              2         559.62
          83.03              2         506.91
          73.21              2         366.56
         134.11              3         663.50
          62.61              2         332.20
         481.62              6         484.99
         197.17              4         586.50
          81.74              1         909.86
          24.16              1         535.53
         159.29              3         719.64
         481.20              6         328.25
         334.71              4         582.72
           8.70              0         638.05
         189.69              3         436.36
          76.66              2         564.75
         522.75              6         483.66
          82.89              2         525.12
         322.98              5         236.52
         339.69              3         509.22
         145.60              3         270.86
         671.45              5         368.01
         141.97              3         320.06
          84.93              2         260.40
         714.46              8         358.97
         637.78              8         556.37
         540.20              7         589.67
         559.16              8         451.80
         231.33              4         435.75
         255.00              3         312.50
          45.07              2         438.56
         237.65              3         202.80
          89.92              2         266.15
          50.86              2         444.42
         179.66              3         410.25
         138.55              2         447.50
         802.72              8         269.18
         457.83              7         196.70
         246.58              4         429.14
         120.55              2         473.38
          88.74              2         437.56
         248.84              4         608.38
         137.93              2         471.06
         325.48              5         571.85
          33.43              1         672.58
         380.07              6         656.78
          19.42              1         415.32
          77.61              2         699.71
         142.11              3         576.50
         104.80              3         484.28
         236.70              3         343.74
         324.93              5         451.21
         349.52              4         588.87
         392.66              5         611.99
         495.47              5         607.68
         470.41              5         541.30
         303.77              4         342.25
          79.89              2         500.93
         423.61              5         383.24
         225.41              4         512.22
         145.68              3         581.46
          74.88              2         198.27
         277.58              3         403.62
          31.66              1         312.81
         479.99              4         536.65
         270.25              4         512.14
         207.96              2         614.65
         401.18              3         228.21
         247.39              4         666.89
         334.24              4         607.41
         279.19              4         676.73
         318.30              3         392.91
         297.38              5         190.28
          56.39              2         262.26
          98.27              2         718.41
         309.16              5         535.98
         526.09              4         268.27
         307.11              5         515.24
         370.86              5         226.41
         217.80              3         524.09
          97.53              2         466.92
         151.53              2         351.55
         177.04              3         673.00
         397.40              5         642.90
         261.17              4         555.13
          43.73              2         521.44
         574.37              5         334.96
          22.89              1         271.02
         280.26              5         558.87
         401.89              6         537.61
          47.48              1         387.10
         316.92              4         478.53
         542.21              6         293.04
         339.51              5         756.72
         520.67              4         288.98
         185.84              3         521.05
