      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         257.98              4         265.76
         133.49              3         554.31
         134.11              3         663.50
          62.61              2         332.20
         322.98              5         236.52
         141.97              3         320.06
          50.86              2         444.42
         236.70              3         343.74
          74.88              2         198.27
          31.66              1         312.81
         370.86              5         226.41
         323.10              4         472.04
         250.94              3         211.34
          33.65              1         258.42
         502.56              6         160.62
         299.55              5         292.93
         416.73              6         418.05
         207.09              3         288.43
         209.73              3         354.16
         326.25              4         446.76
         106.09              2         622.77
          71.93              2         517.34
          94.88              2         423.84
         364.09              5         151.55
         538.25              7         126.25
         401.73              5         380.12
         255.25              3         354.65
         368.98              5         228.53
          98.72              2         260.52
         166.76              2         436.46
         209.81              4         289.50
         149.25              4         524.53
          70.11              2         245.16
          78.53              3         187.30
          40.04              1         533.72
         182.12              3         562.93
          52.47              2         269.65
         390.31              6         432.74
         312.69              3         452.59
         114.60              2         644.80
         183.03              3         123.13
          99.75              2         396.52
          22.20              1         552.94
         403.61              5         242.66
         195.34              4         565.93
          99.32              2         420.60
         205.98              3         345.24
         116.91              2         273.04
         146.06              3         220.33
          49.30              2         162.82
         291.62              4         557.06
         393.26              4         185.55
          90.32              2         420.66
         190.41              4         411.99
         119.67              3         821.07
         143.00              3         286.44
         226.23              4         433.64
         145.38              3         638.48
          65.56              2         355.81
         109.40              2         555.55
         295.26              5         513.03
         291.29              4         553.65
          32.43              1         338.91
         147.67              3         156.02
         340.64              5         245.23
          42.02              1         328.05
         327.51              5         355.39
         168.82              3         354.60
         276.14              5         346.39
         449.25              6         189.63
         311.33              5         356.16
         244.90              5         420.36
         142.66              2         293.04
           5.96              0         230.34
         337.66              5         779.69
         158.31              3         406.06
         213.93              4         568.01
         386.94              6         522.51
         230.24              3         305.90
          97.73              3         626.38
         415.94              4         442.19
         345.48              4         548.58
         203.32              3         336.66
         351.98              5         632.55
         214.82              3         456.06
         136.34              2         358.19
         343.94              4         639.86
         229.11              3         344.45
          98.76              1         729.24
         401.42              5         145.57
         505.42              5         364.84
          94.68              2         400.67
          65.26              2         546.16
         242.05              3         359.09
         158.89              2         279.63
          53.74              1         185.86
         432.50              6         540.22
         159.74              4         332.77
         381.33              5         524.36
          91.55              2         624.81
          27.57              1         215.11
         158.92              3         386.60
         232.61              4         437.39
         376.70              5         268.18
          62.46              2         166.04
         147.73              2         372.36
         158.25              4         568.38
          75.82              2         396.82
         281.73              5         454.65
         274.16              3         283.79
          54.18              2         530.79
         125.82              3         581.12
         196.42              3         424.97
         109.04              3         776.29
          96.60              2         580.49
          49.97              1         379.95
         249.10              5         532.75
         337.21              4         352.12
         376.89              5         145.31
          52.68              1         164.53
         300.76              4         473.37
         376.76              5         354.28
          74.25              2         501.71
         706.61              6         249.91
          61.58              2         275.63
         712.13              6         238.08
         317.22              5         187.94
         188.63              4         230.43
         220.18              3         367.41
         185.98              3         107.56
          98.80              2         362.28
         163.33              3         476.32
          89.30              2         543.74
          90.16              1         745.85
          55.12              2         448.28
         372.15              5         473.13
           6.45              1         476.87
         187.07              4         725.76
         272.94              4         489.96
         126.26              3         436.04
         251.98              5         366.02
         492.60              7         298.21
         121.20              3         359.57
          53.24              2         570.88
         172.25              3         221.19
          55.73              2         198.73
         198.11              3         251.98
         652.29              8         260.99
         517.92              7         370.21
         391.96              5         479.31
         168.94              4         403.34
          94.68              2         400.82
         278.91              4         379.82
         358.47              5         388.77
         386.83              4         364.09
         222.55              4         374.82
          14.15              1         291.31
         338.76              5         373.84
          32.70              1         381.59
         431.41              5         130.63
          75.52              1         289.44
         238.71              4         598.74
         144.90              2         421.72
         112.25              3         432.05
         118.06              2         634.26
          40.35              1         423.85
         394.01              6         338.62
         337.20              5         388.05
         589.28              7         394.53
          67.05              2         377.85
         195.16              3         196.07
         267.65              5         322.39
         148.87              2         406.93
         324.07              4         529.59
         671.25              9         273.68
         161.07              2         260.79
          98.08              2         524.76
         348.52              5         434.69
         102.51              3         395.23
          51.16              1         811.58
         166.03              3         252.81
          63.63              2         374.48
          71.51              2         174.72
         570.35              5         536.86
         232.99              3         352.28
         175.52              4         466.55
         274.92              5         450.17
         368.28              5         260.97
         270.43              3         338.98
         319.25              4         279.56
          64.35              1         427.59
         279.18              4         477.00
         112.34              3         569.54
         410.93              4         396.67
         414.13              5         182.99
         232.11              3         509.63
         366.75              4         255.07
         107.73              2         243.02
         105.53              2         223.36
         185.43              3         490.43
         154.06              3         648.14
         125.25              3         640.97
         473.36              5         403.61
          83.49              2         426.24
         121.33              3         369.44
         132.05              3         547.59
         255.68              3         356.24
         559.34              6         245.53
         310.65              4         316.98
         141.31              2         269.61
          57.87              2         464.70
         397.27              6         535.61
         256.29              3         351.37
          15.19              1         327.62
         192.51              3         473.06
         234.31              4         562.21
         350.26              5         385.80
          71.12              2         452.49
         171.22              2         196.74
         175.40              3         789.72
          89.81              3         253.19
         449.83              5         410.22
         221.75              3         218.38
         151.36              3         306.63
         262.73              5         735.76
          67.78              1         454.47
         698.95              7         182.46
         130.77              3         401.07
         253.51              4         275.41
          22.57              1         347.00
          98.22              2         490.98
         589.11              7         422.28
         613.89              7         237.18
         441.79              6         464.31
         103.22              2         299.01
         385.84              5         261.74
         532.66              6         553.58
          24.10              1         217.92
         535.52              6         195.88
          79.51              3         731.74
         282.53              4         277.79
           6.39              0         319.51
         150.57              2         364.59
         334.64              5         340.10
         217.71              4         288.89
          38.84              1         401.73
         246.46              3         766.70
         329.72              4         673.73
         118.65              2         607.10
         196.85              2         402.27
         120.26              2         488.57
         275.97              5         288.66
         217.07              4         238.12
         203.80              4         564.12
         296.32              4         475.67
          43.86              1         530.84
         184.66              4         610.11
         157.73              3         614.78
         271.98              4         306.43
         498.96              6         383.78
         730.39              7         291.44
          22.63              1         290.97
          75.79              2         291.56
          32.47              1         409.25
         195.25              4         273.30
          16.51              0         267.71
         455.81              5         369.22
          48.70              1         341.39
         300.08              4         323.95
          54.37              2         199.45
         166.74              3         358.82
         106.12              3         510.06
         150.16              3         494.30
         295.94              4         413.11
         326.42              6         569.12
         135.75              3         234.97
          62.18              2         604.44
         304.99              4         330.49
         179.26              3         429.40
          99.03              2         394.19
         278.73              5         403.92
         288.86              3         282.29
         230.01              4         419.38
          38.75              2         170.67
         484.60              5         446.56
         323.10              5         392.15
         178.67              3         336.53
          33.52              1         613.08
         188.08              3         141.56
          53.30              2         370.06
         105.33              3         539.93
         130.40              2         333.21
          40.81              1         485.54
         211.75              4         378.72
         337.10              4         197.16
         142.67              3         415.31
          40.76              1         486.55
          90.93              2         425.34
         266.01              3         319.28
         343.09              5         702.29
         133.81              3         510.83
         149.37              2         173.02
          81.97              2         630.78
         238.10              3         415.22
         597.18              7         326.96
         128.19              3         821.32
         153.98              4         436.54
          45.98              1         643.36
         639.46              8         332.52
         271.58              5         365.81
         554.67              7         542.78
         102.29              3         427.99
