      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         236.70              3         343.74
         209.73              3         354.16
         230.24              3         305.90
         214.82              3         456.06
         229.11              3         344.45
         242.05              3         359.09
         220.18              3         367.41
         232.99              3         352.28
         232.11              3         509.63
         221.75              3         218.38
         246.46              3         766.70
         238.10              3         415.22
