   #Hard_on_HCl   #Hard_on_HCl   #Hard_on_HCl
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         444.92              6         215.24
         444.92              6         282.96
         444.92              6         395.71
         444.92              6         323.91
         444.92              6         310.88
         444.92              6         153.05
         444.92              6         164.30
         444.92              6         238.60
         444.92              6         185.55
         444.92              6         570.46
         444.92              6         471.03
         444.92              6         421.06
         444.92              6         377.44
         444.92              6         256.26
         444.92              6         423.39
         444.92              6         323.22
         444.92              6         257.89
         444.92              6         214.39
         444.92              6         187.15
         444.92              6         318.20
         444.92              6         163.16
         444.92              6         337.60
         444.92              6         211.13
         444.92              6         156.27
         444.92              6         570.81
         444.92              6         245.36
         444.92              6         404.83
         444.92              6         589.56
         444.92              6         313.53
         444.92              6         480.86
         444.92              6         243.20
         444.92              6         224.82
         444.92              6         261.52
         444.92              6         217.25
         444.92              6         402.68
         444.92              6         187.98
         444.92              6         214.78
         444.92              6         228.66
         444.92              6         389.25
         444.92              6         341.53
         444.92              6         600.64
         444.92              6         182.66
         444.92              6         303.97
         444.92              6         280.85
         444.92              6         278.18
         444.92              6         315.97
         444.92              6         475.16
         444.92              6         337.87
         444.92              6         245.81
         444.92              6         364.08
         444.92              6         596.66
         444.92              6         357.37
         444.92              6         312.79
         444.92              6         466.84
         444.92              6         404.45
         444.92              6         424.45
         444.92              6         434.01
         444.92              6         154.98
         444.92              6         403.02
         444.92              6         173.72
         444.92              6         179.41
         444.92              6         440.66
         444.92              6         245.30
         444.92              6         234.87
         444.92              6         441.57
         444.92              6         259.36
         444.92              6         512.90
         444.92              6         259.70
         444.92              6         465.23
         444.92              6         233.34
         444.92              6         642.35
         444.92              6         359.61
         444.92              6         332.89
         444.92              6         383.89
         444.92              6         286.77
         444.92              6         162.41
         444.92              6         231.37
         444.92              6         366.20
         444.92              6         294.14
         444.92              6         372.04
         444.92              6         477.21
         444.92              6         155.16
         444.92              6         257.50
         444.92              6         457.94
         444.92              6         345.50
         444.92              6         149.97
         444.92              6         189.88
         444.92              6         460.30
         444.92              6         431.99
         444.92              6         312.00
         444.92              6         441.36
         444.92              6         259.58
         444.92              6         215.78
         444.92              6         133.86
         444.92              6         125.45
         444.92              6         495.40
         444.92              6         223.01
         444.92              6         307.85
         444.92              6         210.51
         444.92              6         355.11
         444.92              6         268.89
         444.92              6         172.44
         444.92              6         138.81
         444.92              6         320.69
         444.92              6         213.63
         444.92              6         219.50
         444.92              6         387.72
         444.92              6         440.33
         444.92              6         298.01
         444.92              6         437.83
         444.92              6         177.47
         444.92              6         364.95
         444.92              6         364.18
         444.92              6         425.22
         444.92              6         362.50
         444.92              6         398.03
         444.92              6         180.74
         444.92              6         253.60
         444.92              6         209.25
         444.92              6         283.15
         444.92              6         496.57
         444.92              6         202.92
         444.92              6         289.24
         444.92              6         600.16
         444.92              6         147.88
         444.92              6         249.66
         444.92              6         415.11
         444.92              6         207.13
         444.92              6         211.62
         444.92              6         425.89
         444.92              6         308.07
