      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          63.56              2         234.46
          63.56              2         276.61
         211.87              4         310.19
         211.87              4         393.90
         762.73              8         243.93
         317.80              5         251.83
         444.92              6         215.24
          63.56              2         371.21
         593.23              7         374.77
         211.87              4         176.65
          63.56              2         157.96
          21.19              1         110.58
         211.87              4         499.76
         127.12              3         243.24
         127.12              3         153.86
         444.92              6         165.88
          21.19              1         375.50
         317.80              5         307.26
         211.87              4         117.87
          21.19              1         147.02
         127.12              3         236.23
          63.56              2         326.23
         444.92              6         282.96
         444.92              6         259.16
          63.56              2         274.68
          63.56              2         312.39
         593.23              7         380.03
         593.23              7         333.84
          21.19              1         264.64
         127.12              3         232.79
          21.19              1         251.71
         953.41              9         294.26
          63.56              2         338.66
         593.23              7         267.26
         211.87              4         130.77
         211.87              4         148.25
          21.19              1         186.02
         127.12              3         453.09
          21.19              1         162.27
         593.23              7         148.86
         444.92              6         395.71
           0.00              0         490.19
         127.12              3         328.09
         211.87              4         192.79
         317.80              5         260.56
          63.56              2         406.64
         762.73              8         202.41
           0.00              0         228.09
         211.87              4         393.67
          21.19              1         414.68
         127.12              3         185.08
         317.80              5         191.64
         317.80              5         283.74
          63.56              2         220.83
          21.19              1         592.33
         127.12              3         159.53
         127.12              3         316.53
         317.80              5         339.32
         211.87              4         451.54
         444.92              6         335.55
         317.80              5         358.88
         211.87              4         238.37
          21.19              1         522.61
         317.80              5         221.45
         211.87              4         183.42
         127.12              3         400.98
         127.12              3         386.79
         444.92              6         323.91
         211.87              4         259.64
         762.73              8         136.13
         211.87              4         253.09
         317.80              5         542.66
          63.56              2         179.27
         444.92              6         329.86
         211.87              4         171.07
         317.80              5         204.10
         127.12              3         601.36
          63.56              2         105.77
         127.12              3         150.70
          21.19              1         336.04
           0.00              0         412.25
          63.56              2         333.12
          21.19              1         278.91
         211.87              4         151.61
         444.92              6         176.68
         317.80              5         444.43
         444.92              6         310.88
         211.87              4         341.14
          63.56              2         296.94
          21.19              1         356.57
         317.80              5         528.94
          21.19              1         125.97
         211.87              4         353.90
          63.56              2         396.64
         211.87              4         328.44
         444.92              6         153.05
         317.80              5         463.21
         211.87              4         488.35
         211.87              4         556.70
         317.80              5         347.51
         953.41              9         141.73
         211.87              4         103.61
          63.56              2         379.90
         211.87              4         108.40
          63.56              2         217.99
         127.12              3         361.73
         211.87              4         392.98
          21.19              1         324.73
         211.87              4         218.27
         211.87              4         581.91
         211.87              4         152.38
         444.92              6         273.39
         211.87              4         310.51
          21.19              1         282.71
         317.80              5         309.30
          63.56              2         350.03
         211.87              4         219.37
         444.92              6         214.31
          63.56              2         256.66
         444.92              6         167.92
         211.87              4         363.04
         127.12              3         330.90
          63.56              2         486.99
         444.92              6         278.26
         211.87              4         453.84
         444.92              6         164.30
         211.87              4         214.95
         593.23              7         154.47
         211.87              4         222.16
         444.92              6         334.03
         127.12              3         376.01
         127.12              3         184.63
         127.12              3         451.20
         211.87              4         238.50
         444.92              6         238.60
         211.87              4         240.84
          63.56              2         296.99
          63.56              2         383.64
         211.87              4         217.20
         127.12              3         118.39
          63.56              2         354.51
          63.56              2         329.97
          21.19              1         246.91
         127.12              3         302.47
         317.80              5         419.69
         127.12              3         263.32
         127.12              3         160.24
         127.12              3         262.42
         211.87              4         272.16
         317.80              5         156.63
         211.87              4         156.28
         127.12              3         425.28
         762.73              8         266.92
         211.87              4         215.04
         317.80              5         379.89
         317.80              5         286.67
         317.80              5         337.71
         127.12              3         282.29
          21.19              1         430.74
         211.87              4         238.73
         127.12              3         111.08
          21.19              1         160.26
         444.92              6         185.55
         593.23              7         284.63
         317.80              5         368.38
         127.12              3         215.28
          21.19              1         188.28
         127.12              3         314.28
         762.73              8         294.05
          21.19              1         460.62
         317.80              5         155.28
         127.12              3         545.47
         317.80              5         509.57
         211.87              4         593.82
         211.87              4         262.65
         444.92              6         156.82
          63.56              2         548.25
          63.56              2         343.14
         211.87              4         306.39
         762.73              8         370.37
         211.87              4         464.09
         762.73              8         240.66
         127.12              3         174.98
          63.56              2         205.29
         444.92              6         471.03
         127.12              3         364.38
           0.00              0         646.44
         317.80              5         221.02
         211.87              4         448.27
         211.87              4         141.31
          63.56              2         507.59
         127.12              3         186.41
         127.12              3         253.01
          63.56              2         126.42
         444.92              6         366.53
          63.56              2         127.82
          63.56              2         216.29
          21.19              1         281.49
         444.92              6         421.06
         444.92              6         167.74
         211.87              4         343.53
          63.56              2         298.32
         127.12              3         266.26
         593.23              7         347.65
         593.23              7         387.38
         317.80              5         116.10
         127.12              3         510.95
         593.23              7         246.29
         444.92              6         122.81
          63.56              2         429.30
         317.80              5         172.12
          63.56              2         628.76
          63.56              2         203.94
          63.56              2         428.08
         127.12              3         166.24
         762.73              8         395.64
          63.56              2         205.41
          63.56              2         283.61
         317.80              5         465.49
         127.12              3         166.24
         593.23              7         186.24
         127.12              3         483.01
          63.56              2         324.04
          63.56              2         270.88
         127.12              3         231.05
          63.56              2         433.60
         127.12              3         188.19
          63.56              2         241.17
         211.87              4         520.76
         127.12              3         518.82
           0.00              0         366.42
         211.87              4         242.69
          63.56              2         206.79
         317.80              5         212.79
           0.00              0         406.56
         444.92              6         203.46
          63.56              2         348.69
         593.23              7         403.21
         211.87              4         267.49
         593.23              7         117.89
         444.92              6         377.44
         444.92              6         459.32
         317.80              5         361.63
          21.19              1         424.49
         211.87              4         418.65
         444.92              6         256.26
          63.56              2         220.24
          63.56              2         172.42
         127.12              3         266.60
          21.19              1         283.39
         211.87              4         291.63
         211.87              4         395.78
         317.80              5         367.20
          63.56              2         337.00
         211.87              4         281.90
         593.23              7         201.53
         317.80              5         211.26
         211.87              4         208.69
         211.87              4         373.40
          63.56              2         175.75
         317.80              5         238.75
          63.56              2         299.04
         127.12              3         334.25
          21.19              1         428.89
          21.19              1         352.28
         211.87              4         186.54
         127.12              3         441.06
         127.12              3          98.13
         593.23              7         270.58
          63.56              2         247.11
         444.92              6         230.71
         762.73              8         356.16
         317.80              5         406.03
          63.56              2         369.35
         444.92              6         170.46
          63.56              2         571.64
          21.19              1         382.32
         211.87              4          95.72
         127.12              3         261.92
          21.19              1         344.28
          21.19              1         251.38
         317.80              5         427.29
          63.56              2         373.46
         953.41              9         343.11
          63.56              2         327.51
         211.87              4         477.97
         127.12              3         247.59
         317.80              5         175.00
         127.12              3         231.72
         317.80              5         283.24
         211.87              4         262.50
         762.73              8         241.30
         211.87              4         268.81
          21.19              1         210.17
         593.23              7         393.44
         211.87              4         126.43
         127.12              3         242.65
         127.12              3         126.28
         127.12              3         374.41
          21.19              1         244.00
         127.12              3         332.11
         444.92              6         423.39
         317.80              5         308.43
         211.87              4         344.56
         317.80              5         426.29
         762.73              8         291.82
         317.80              5         101.45
         127.12              3         274.15
         317.80              5         246.12
         127.12              3         182.30
         211.87              4         145.18
          63.56              2         201.95
         317.80              5         359.04
         593.23              7         195.22
         317.80              5         265.68
         444.92              6         552.71
         762.73              8         223.27
         444.92              6         382.10
         211.87              4         135.60
          63.56              2         327.05
         211.87              4         376.92
         127.12              3         286.43
         211.87              4         210.35
         762.73              8         130.48
         211.87              4         326.82
          21.19              1         219.75
          63.56              2         320.78
         444.92              6         323.22
         444.92              6         195.25
           0.00              0         187.09
         127.12              3         616.04
          63.56              2         509.91
         444.92              6         257.89
         593.23              7         221.90
         127.12              3         457.64
         211.87              4         424.71
         444.92              6         289.98
         593.23              7         499.79
         127.12              3         273.87
          63.56              2         413.23
         211.87              4         237.51
         317.80              5         340.45
         127.12              3         402.80
         593.23              7         270.51
         211.87              4         416.10
          63.56              2         491.01
         593.23              7         214.54
         211.87              4         442.52
         953.41              9         213.84
         211.87              4         466.47
         211.87              4         401.31
         127.12              3         234.74
         317.80              5         357.02
          63.56              2         163.17
         317.80              5         203.33
         211.87              4         159.72
          21.19              1         382.07
         127.12              3         395.74
         211.87              4         257.05
         127.12              3         190.39
          63.56              2         245.84
         444.92              6         149.49
         127.12              3         491.37
          63.56              2         284.32
          63.56              2         229.81
         127.12              3         322.77
         317.80              5         217.29
        1165.28             10         176.56
         762.73              8         453.32
         127.12              3         309.96
           0.00              0         267.85
          63.56              2         391.66
         211.87              4         254.54
          21.19              1         186.53
          63.56              2         398.87
         211.87              4         261.65
         444.92              6         214.39
         211.87              4         360.51
         444.92              6         214.02
         127.12              3         312.33
         444.92              6         265.33
          63.56              2         470.00
         593.23              7         170.64
          21.19              1         245.96
           0.00              0         239.23
          21.19              1         249.64
         211.87              4         367.82
         127.12              3         174.43
         317.80              5         286.92
         127.12              3         307.35
         211.87              4         422.67
         211.87              4         311.10
         953.41              9         219.21
         211.87              4         136.89
         593.23              7         226.49
         211.87              4         145.14
         127.12              3         147.79
         593.23              7         352.28
          63.56              2         325.54
          21.19              1         221.16
         317.80              5         241.22
         127.12              3         274.07
          21.19              1         204.11
         127.12              3         179.17
         211.87              4         293.32
          21.19              1         162.08
         317.80              5         361.78
         211.87              4         266.76
         317.80              5         332.95
         444.92              6         236.85
         444.92              6         303.78
         211.87              4         231.37
         211.87              4         325.01
          21.19              1         165.75
          63.56              2         212.66
         127.12              3         246.39
         211.87              4         413.83
          63.56              2         182.86
          21.19              1         454.23
         127.12              3         436.66
         211.87              4         236.03
         444.92              6         463.28
          21.19              1         201.00
          21.19              1         336.39
         317.80              5         337.25
         127.12              3         511.51
         444.92              6         187.15
          21.19              1         615.46
         317.80              5         310.92
          21.19              1         314.29
          21.19              1         193.78
          63.56              2         145.65
         211.87              4          97.01
         211.87              4         339.44
         317.80              5         178.19
          21.19              1         572.27
           0.00              0         402.77
         211.87              4         352.66
         444.92              6         105.12
         127.12              3         279.74
          21.19              1         496.02
         593.23              7         231.62
         211.87              4         548.20
          21.19              1         543.40
         593.23              7         476.32
         211.87              4         323.31
         317.80              5         168.05
          63.56              2         326.53
         317.80              5         329.17
         593.23              7         184.45
           0.00              0         553.06
         317.80              5         136.91
         211.87              4          90.15
         127.12              3         414.74
         127.12              3         550.22
         444.92              6         299.62
          63.56              2         264.18
         127.12              3         261.51
         127.12              3         285.79
           0.00              0         264.67
         593.23              7         344.34
           0.00              0         299.50
          63.56              2         525.44
         444.92              6         318.20
         317.80              5         399.94
         127.12              3         336.15
         127.12              3         437.52
         211.87              4         295.96
          21.19              1         229.26
         593.23              7         461.88
         211.87              4         203.98
         211.87              4         455.00
         593.23              7         245.76
          63.56              2         541.87
         127.12              3         282.32
         127.12              3         417.12
         127.12              3         427.81
          21.19              1         256.37
           0.00              0         374.70
         317.80              5         256.55
         444.92              6         320.03
          63.56              2         194.23
         211.87              4         228.81
         127.12              3         174.13
         211.87              4         217.88
         593.23              7         494.85
         444.92              6         300.95
         444.92              6         226.95
         317.80              5         571.59
         593.23              7         214.67
         127.12              3         169.28
         444.92              6         204.46
         317.80              5          77.75
         593.23              7         277.41
         211.87              4         252.83
         317.80              5         317.66
          63.56              2         200.54
         127.12              3         354.59
         953.41              9         245.92
         444.92              6         282.11
         127.12              3         207.34
         317.80              5         175.12
         211.87              4         253.01
          63.56              2         199.85
         211.87              4         307.06
          21.19              1         273.06
         127.12              3         391.89
         953.41              9         121.54
         762.73              8         215.18
         444.92              6         163.16
         593.23              7         169.76
         211.87              4         542.43
         211.87              4         179.83
         211.87              4         566.35
         317.80              5         357.75
         317.80              5         415.50
         127.12              3         217.15
         211.87              4         301.59
         127.12              3         303.61
          63.56              2         175.00
          63.56              2         200.77
         127.12              3         309.18
         444.92              6         337.60
          21.19              1         291.09
         127.12              3         365.62
         211.87              4         294.03
          21.19              1         513.31
         211.87              4         270.90
         593.23              7         353.16
         211.87              4         378.89
         444.92              6         413.53
           0.00              0         111.95
         444.92              6         421.39
          21.19              1         169.70
         211.87              4         304.83
          63.56              2         549.42
          63.56              2         139.63
         211.87              4         172.02
         444.92              6         284.66
         211.87              4         227.07
         211.87              4         253.04
         317.80              5         324.96
         444.92              6         211.13
         127.12              3         204.59
         211.87              4         215.49
          21.19              1         296.23
         127.12              3         418.51
          63.56              2         324.57
         127.12              3         395.07
         444.92              6         253.63
         211.87              4         302.54
         127.12              3         251.26
         444.92              6         231.44
         953.41              9         269.42
         211.87              4         327.78
         127.12              3          73.63
          21.19              1         164.47
         211.87              4         309.23
         127.12              3         611.75
         762.73              8         352.60
         317.80              5         179.09
          63.56              2         188.18
          63.56              2         571.60
         593.23              7         282.00
         211.87              4         536.33
          63.56              2         412.10
          63.56              2         412.56
         211.87              4         305.83
          21.19              1         396.79
         211.87              4         231.50
         211.87              4         432.40
         317.80              5         292.43
         127.12              3         151.28
          63.56              2         139.27
         127.12              3         260.47
         317.80              5         268.16
         127.12              3         362.44
         127.12              3         511.65
         211.87              4         396.50
         317.80              5         314.62
          63.56              2         263.55
         317.80              5         215.26
          21.19              1         272.13
          21.19              1         230.92
          21.19              1         236.74
         444.92              6         156.27
         953.41              9         201.31
         762.73              8         389.40
          21.19              1         299.10
         211.87              4         309.73
         211.87              4         386.56
           0.00              0         441.14
         444.92              6         241.54
         317.80              5         254.67
         127.12              3         224.98
         444.92              6         570.81
         211.87              4         298.32
         762.73              8         155.42
         211.87              4         252.18
         211.87              4         144.04
         127.12              3         153.59
         127.12              3         298.09
         317.80              5         378.31
         211.87              4         470.37
         127.12              3         131.63
         211.87              4         480.28
         127.12              3         378.31
         317.80              5         214.82
         593.23              7         372.41
         762.73              8         165.29
         444.92              6         175.62
          21.19              1         497.09
         211.87              4         306.38
         211.87              4         166.86
         593.23              7         418.64
         127.12              3         354.13
         127.12              3         360.18
         127.12              3         300.54
         127.12              3         443.51
         444.92              6         404.83
           0.00              0         214.79
         317.80              5         519.21
         127.12              3         514.17
         211.87              4         164.56
         317.80              5         179.52
         953.41              9         254.63
          63.56              2         189.00
         444.92              6         331.75
         211.87              4         241.85
         593.23              7         410.12
         127.12              3         243.01
         211.87              4         256.67
         593.23              7         504.55
          21.19              1         260.66
         127.12              3         201.69
         593.23              7         339.76
         211.87              4         573.90
         127.12              3         320.85
         127.12              3         416.15
         127.12              3         377.64
         127.12              3         188.70
         127.12              3         218.08
         317.80              5         345.74
         211.87              4         314.05
         593.23              7         161.75
          21.19              1         442.32
         317.80              5         286.67
         211.87              4         397.86
         127.12              3         151.20
         211.87              4         544.95
         211.87              4         139.61
         211.87              4         273.87
         127.12              3         239.79
         211.87              4         167.95
         211.87              4         213.21
         127.12              3         150.93
         444.92              6         147.23
         317.80              5         209.48
         444.92              6         178.42
         127.12              3         702.26
         127.12              3         337.76
           0.00              0         217.88
         211.87              4         394.23
         444.92              6         243.47
         127.12              3         287.24
         211.87              4         215.31
         444.92              6         589.56
         127.12              3         443.61
         593.23              7         160.32
         953.41              9         242.07
         127.12              3         338.37
          63.56              2         317.89
          21.19              1         331.91
         317.80              5         112.98
         211.87              4         191.37
         127.12              3         333.00
         211.87              4         437.28
         317.80              5         455.83
         211.87              4         291.41
         211.87              4         363.87
          21.19              1         368.45
          63.56              2         111.20
          63.56              2         294.82
         211.87              4         201.14
         127.12              3         325.53
         593.23              7          94.12
         953.41              9         238.46
          21.19              1         405.95
         211.87              4         133.37
          63.56              2         464.09
         211.87              4         172.26
          63.56              2         354.50
         127.12              3         151.77
         593.23              7         250.45
         127.12              3         213.58
          63.56              2         425.16
         444.92              6         353.61
          63.56              2         346.56
         317.80              5         198.33
         762.73              8         427.93
         127.12              3         329.81
         317.80              5         206.91
         211.87              4         233.66
          63.56              2         433.80
         211.87              4         289.13
         127.12              3         358.72
          63.56              2         287.83
         211.87              4         276.78
         211.87              4         506.90
         762.73              8         250.05
          21.19              1         139.57
         211.87              4         306.15
         444.92              6         257.64
         317.80              5         496.43
          63.56              2          88.06
          63.56              2         226.11
         593.23              7         176.48
         444.92              6         573.66
         211.87              4         291.27
         444.92              6         215.48
         211.87              4         323.05
         211.87              4         391.64
         593.23              7         345.32
          63.56              2         286.92
         762.73              8         414.67
         317.80              5         218.65
          21.19              1         167.19
         211.87              4         156.20
           0.00              0         200.56
         211.87              4         513.10
         127.12              3         532.88
          63.56              2         216.98
         593.23              7         295.72
           0.00              0         497.66
         211.87              4         235.44
          21.19              1         223.94
          21.19              1         213.79
          63.56              2         198.51
         317.80              5         367.77
         127.12              3         428.37
         211.87              4         411.40
          63.56              2         284.16
         127.12              3         284.26
          63.56              2         189.92
         444.92              6         191.29
         317.80              5         439.80
         317.80              5         143.27
         593.23              7         302.49
        1165.28             10         181.93
         762.73              8         498.13
          21.19              1         496.99
         211.87              4         279.95
         317.80              5         458.83
         211.87              4         250.16
         762.73              8         132.70
          63.56              2         136.01
          21.19              1         140.69
         444.92              6         313.53
          63.56              2         234.26
         317.80              5         216.16
         317.80              5         354.49
         593.23              7         204.27
          21.19              1         207.54
         593.23              7         264.63
         211.87              4         199.00
         211.87              4         315.27
          21.19              1         171.52
         444.92              6         191.81
         211.87              4         524.80
         127.12              3         266.59
         762.73              8         194.64
         127.12              3         246.73
         317.80              5         209.74
          21.19              1         273.29
         444.92              6         250.80
