      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         211.87              4         192.79
         211.87              4         171.07
         211.87              4         341.14
         211.87              4         218.27
         211.87              4         152.38
         211.87              4         238.50
         211.87              4         272.16
         211.87              4         242.69
         211.87              4         418.65
         211.87              4         291.63
         211.87              4         281.90
         211.87              4         477.97
         211.87              4         326.82
         211.87              4         237.51
         211.87              4         466.47
         211.87              4         266.76
         211.87              4         339.44
         211.87              4         203.98
         211.87              4         179.83
         211.87              4         294.03
         211.87              4         253.04
         211.87              4         309.73
         211.87              4         470.37
         211.87              4         164.56
         211.87              4         273.87
         211.87              4         363.87
         211.87              4         250.16
         211.87              4         455.39
         211.87              4         421.24
         211.87              4         299.80
         211.87              4         271.00
         211.87              4         293.73
         211.87              4         295.77
         211.87              4         277.74
         211.87              4         331.30
         211.87              4         190.09
         211.87              4         522.00
         211.87              4         305.55
         211.87              4         389.40
         211.87              4         124.30
         211.87              4         289.74
         211.87              4         533.05
         211.87              4         218.20
         211.87              4         235.73
         211.87              4         199.95
         211.87              4         296.40
         211.87              4         144.76
         211.87              4         397.67
         211.87              4         486.75
         211.87              4         360.65
         211.87              4         175.58
         211.87              4         256.92
         211.87              4         480.48
         211.87              4         301.70
         211.87              4         165.22
         211.87              4         332.58
         211.87              4         245.14
         211.87              4         237.14
         211.87              4         295.18
         211.87              4         175.63
         211.87              4         465.60
         211.87              4         464.80
         211.87              4         124.24
         211.87              4         146.49
         211.87              4         269.08
         211.87              4         105.26
         211.87              4         172.32
         211.87              4         268.66
         211.87              4         243.77
         211.87              4         323.00
         211.87              4         375.36
         211.87              4         292.99
         211.87              4         434.70
         211.87              4         262.86
         211.87              4         494.19
         211.87              4         132.54
         211.87              4         199.88
         211.87              4         264.13
         211.87              4         367.03
         211.87              4         367.39
         211.87              4         301.68
         211.87              4         326.21
         211.87              4         316.98
         211.87              4         401.77
         211.87              4         239.60
         211.87              4         416.38
         211.87              4         240.23
         211.87              4         136.87
         211.87              4         355.86
         211.87              4         439.81
         211.87              4         195.40
         211.87              4         156.81
         211.87              4         280.81
         211.87              4         237.04
         211.87              4         174.81
         211.87              4         280.76
         211.87              4         170.76
         211.87              4         174.27
         211.87              4         230.13
         211.87              4         121.22
         211.87              4         259.82
         211.87              4         275.72
         211.87              4         477.74
         211.87              4         485.97
         211.87              4         240.31
         211.87              4         203.75
         211.87              4         189.95
         211.87              4         317.61
         211.87              4         421.41
         211.87              4         333.00
         211.87              4         179.59
         211.87              4         360.53
         211.87              4         292.15
         211.87              4         244.17
         211.87              4         258.91
         211.87              4         295.69
         211.87              4         138.32
         211.87              4         248.80
         211.87              4         559.39
         211.87              4         169.30
