 #No_Constraint #No_Constraint #No_Constraint
   #Erot(W)cm-1             #J    #Speed(m/s)
         275.43              5         469.97
         469.57              6         203.82
         323.50              5         150.12
          44.01              1         437.17
         491.82              6         418.76
         327.30              3         652.30
         125.63              2         471.17
          92.58              2         289.93
         152.85              3         562.67
         719.37              5         453.50
         576.77              5         574.42
         197.65              4         351.61
         373.49              4         222.53
         273.76              4         398.26
         139.16              2         630.08
         154.21              3         831.83
         365.72              5         699.59
         629.50              7         127.05
         141.50              2         205.10
        1044.77              7         474.73
         251.02              4         753.62
         625.43              5         566.00
         232.19              3         176.72
         544.80              7         412.92
         108.10              3         443.75
         159.79              3         630.59
         338.66              5         787.46
         880.07              6         749.70
         720.53              5         592.66
         263.00              4         369.61
         279.13              4         234.94
         104.75              2         198.66
         947.13              8         701.06
         207.51              3         355.67
         970.06              7         626.68
         396.51              6         471.33
         271.56              4         803.64
         163.11              3         546.30
         638.08              6         669.73
          85.95              3         667.67
         496.16              5         534.01
         877.14              7         578.71
         476.84              5         349.95
         460.81              6         407.55
         395.52              5         584.48
         585.40              7         414.37
         218.96              3         160.60
          37.11              1         451.80
         750.08              7         928.75
         611.51              7         416.61
         257.69              4         633.79
         486.34              3         227.30
         733.40              6         563.63
         402.11              6         605.87
         167.40              3         378.52
         291.61              5         152.23
          53.36              2         440.68
         549.99              5         406.07
         258.56              3         584.60
         340.41              3         548.50
          43.24              1         812.81
         382.60              5         822.40
          87.76              2         777.73
         548.72              5         772.99
          22.81              1         464.53
         408.08              4         384.08
         234.82              4         657.93
         282.28              4         582.36
          53.21              1         716.09
         159.74              3         485.42
         965.88              7         539.50
         594.07              7         501.71
         558.01              7         362.83
         342.21              5         343.70
         252.26              4         896.98
         875.90              8         542.80
         269.54              2         454.15
          69.82              2         687.61
         487.42              6         513.95
           4.78              0         465.29
        1167.40              7         806.04
         506.86              6         542.19
          55.89              2         222.50
         140.33              3         521.08
          81.84              2         785.95
         744.65              8         540.77
         693.93              8         835.48
         597.73              8         249.89
         829.56              5         453.63
         271.61              5         204.98
         464.97              5         724.76
        1269.16             10         513.16
         338.65              4        1021.51
         583.64              6         437.35
         386.92              4         506.67
         233.16              5         402.77
         161.28              4         594.14
         225.13              4         816.40
        1066.13              6         712.01
         834.80              6         490.52
         177.29              3         406.85
         155.22              3         281.11
         406.66              6         410.61
         384.61              4         539.95
         235.70              4         595.30
         244.28              3         359.36
         662.71              6         630.93
         624.80              6         385.87
          31.34              1         569.97
        1407.86              9         953.22
         102.56              2        1019.81
         356.19              5         267.40
         145.87              3         575.94
         274.69              5         422.80
         887.51              5         397.91
          43.37              1         502.76
         220.90              3         781.98
         744.64              6         354.75
         305.40              3         253.53
         457.89              5         186.35
         118.07              3         466.05
          29.17              1         693.52
         167.75              3         607.78
         184.59              4         559.98
         400.38              6         209.86
         176.32              2         428.73
         118.36              2         582.26
         205.02              3         795.92
          51.21              1         699.58
          70.83              2         495.65
         157.97              2         545.80
         387.02              4         572.31
         214.50              3          92.45
          95.78              2         297.32
         274.93              4         503.10
         156.46              3         312.74
        1213.07              8         418.55
         169.13              3         712.51
         508.41              6         113.25
         324.03              4         613.92
         460.38              4         473.59
         850.85              6         871.61
         250.48              4         294.71
          80.69              2         424.30
         475.21              4         556.11
         103.25              2         408.94
         668.35              8         698.62
          12.56              1         728.87
         256.14              4         286.46
         287.20              4         390.29
         303.04              4         311.75
         219.38              4         422.54
         804.03              7         282.15
          96.84              3         123.50
        1256.75              9         359.52
         725.73              8         602.64
         276.85              5         484.38
         486.06              5         378.90
         641.80              5         731.79
         168.52              3         761.12
         153.23              4         443.15
         169.05              3         626.34
        1451.79              7         604.59
         246.93              3         800.05
          90.61              2         600.93
         517.77              5         469.48
         110.99              3         358.91
         160.84              3         712.47
        1073.81             10         800.81
         670.43              5         331.13
         402.12              5         543.41
          74.97              2         592.56
         998.71              8         458.55
         134.75              3         457.01
          73.91              2         718.26
         851.64              9         317.84
         922.53              7         418.95
         235.11              4         838.38
         131.59              2         190.85
         289.41              5         368.73
         487.56              7         208.60
         567.63              7         316.96
         282.70              3         311.77
        1377.99              9         679.15
         452.42              5         265.44
         123.07              2         233.04
         148.57              3         569.77
         690.20              8         648.28
         266.86              3         293.75
         167.63              2        1016.08
          66.21              2         605.72
         280.42              5         223.30
         111.95              2         474.31
         424.09              6         553.45
         172.21              2         644.16
         224.91              3         369.28
         433.77              4         444.36
         761.70              8         430.90
         122.82              3         405.02
         622.04              6         503.33
         496.65              5         537.24
         288.40              4         997.88
         175.06              3         679.82
         507.50              5         527.77
         270.82              5         374.45
         332.86              3         648.92
         376.74              4         560.93
          18.64              1         667.64
         536.10              6         153.79
         303.68              5         842.24
         387.25              4         303.89
         671.80              7         452.39
        1310.56             11         752.33
          11.34              1         156.17
         171.48              4         932.90
         121.44              3         546.70
        1484.54              8         294.99
         407.48              4         249.89
         392.63              4         313.36
         276.00              5         543.17
          13.58              1         448.74
         162.24              3         487.64
         289.14              4         402.30
        1162.39              9         500.72
         727.78              7         358.71
         500.39              6         225.93
         137.86              3         958.86
         187.41              4         105.86
         768.19              8         300.09
         163.14              3         318.34
         652.05              6         696.85
         781.04              7         649.03
         878.97              6         189.04
         227.99              4         733.73
         368.27              4         349.57
         490.77              5         154.77
         650.19              5         248.66
          81.71              2         150.99
         634.87              5         477.40
          84.66              2         901.04
         405.96              5         626.44
         273.87              4         879.49
         314.69              4         505.83
         572.50              6         318.27
         189.26              3         653.79
         309.97              4         476.89
         381.93              5         942.98
         107.26              2         784.87
         807.60              7         341.08
         126.98              2         951.02
          96.22              2         509.87
         539.19              4         422.70
         594.06              5         661.12
         702.41              4         699.69
          84.04              2         394.57
         267.32              4         897.77
         276.12              4         201.74
          69.70              2         578.98
         890.81              9         431.89
         268.95              5         352.31
          23.98              1         597.00
         236.43              2         903.46
         178.84              4         193.02
         906.63              6         132.12
         790.91              7         462.69
        1741.00             10         710.69
         955.27              8         343.54
         686.50              5         812.70
        1643.26              7         378.23
         415.51              5         596.65
          84.84              2         966.88
         785.21              7         303.18
         201.56              4         332.02
         870.05              8         491.36
          89.03              3         148.16
         501.73              6         523.30
         537.63              6         395.16
         647.56              5         716.75
         703.95              7         632.34
         544.59              7         652.66
         387.13              5         293.61
         290.41              5         292.09
         234.02              3         348.62
         106.57              3         345.70
         780.62              7         600.23
         578.80              7         914.91
         165.15              3         506.01
         151.48              3         441.79
          24.90              1        1128.30
        1043.25              8         666.37
         310.29              5         421.15
          23.38              1         587.88
         215.04              2         209.45
        1375.42             13         759.22
         450.83              6         703.50
         451.97              6         296.54
         904.06              7         379.50
         339.83              2         495.71
         356.02              6         798.81
        1026.47              9         672.24
         487.45              5         292.46
         944.52              5         588.41
         496.74              6         379.46
         442.43              6         370.23
         219.51              3         344.08
         235.36              4         358.56
         822.66              8          87.50
         256.43              5         306.54
         401.68              4         420.35
         116.77              3         588.75
         141.75              2         958.47
         234.06              4         385.20
         354.45              5         623.76
         600.08              6         569.81
          32.44              1         840.35
         453.02              4         663.60
         300.43              5         252.56
        1120.36              8         264.81
         250.87              4         461.72
         235.22              3         747.74
          31.08              1         868.11
          89.74              2         803.11
         369.41              4         455.58
        1070.18              7         770.61
         210.77              4         429.36
         855.47              8         527.21
         106.55              2         524.74
         664.53              8         121.42
         120.76              3         154.76
         197.90              3         418.20
         792.00              6         376.44
          76.50              2         416.50
         154.99              3         400.69
          18.15              1         378.00
         129.54              3         380.36
         402.02              6         258.71
         352.99              5         994.55
         376.43              5         905.28
         158.21              3         482.41
        1849.63              9         365.36
         252.68              4         515.20
         194.79              3         640.37
         185.23              4         454.79
          11.30              0         416.30
         227.59              4         481.52
         251.84              4         366.56
         400.15              7         557.41
          67.97              1         296.45
         131.66              2         693.47
        1590.90             11        1278.33
         838.21              8         384.03
          29.18              1         602.75
         122.46              3         561.99
         352.12              4         243.79
         246.70              3         518.13
         296.41              4         461.45
         334.49              5         424.24
          56.02              2         255.67
         376.28              3         711.96
         210.44              4         270.91
         454.61              4         388.55
         270.88              3         311.03
        1235.00              8         818.30
         184.82              4         472.93
          85.27              2         567.97
          40.63              1         531.13
         259.94              4         716.73
         368.59              5         627.40
         332.72              4         418.98
         169.45              3         392.25
         312.38              5         454.04
          29.13              1         280.76
         774.70              8         302.69
         280.79              3         695.24
         421.31              5         638.90
         530.51              5         630.79
         247.36              4         368.02
         450.90              6         232.32
         335.15              4         337.71
         984.63              9         462.88
         580.85              6         390.73
         242.29              4         751.63
         281.12              3         514.50
         476.36              6         559.18
         272.86              4         586.22
         484.73              5         379.18
         213.31              2         548.27
         239.18              3         140.73
        1120.22              9         477.76
         230.80              3         355.46
         297.27              4         164.21
         239.77              5         123.21
         246.49              4         516.40
         468.44              5         356.66
         364.94              6         316.44
         277.64              3         822.83
         302.32              4         576.42
         227.65              3         313.30
         734.18              5         331.57
         467.97              6         596.97
         119.28              2         235.93
         352.56              5         280.48
         652.68              6         563.96
         662.33              6         713.62
          99.35              2         501.84
         363.09              4         265.41
         628.42              7         230.01
         375.79              5         797.98
        1256.63             12         440.80
         164.49              3         412.82
         330.59              4         261.80
        1501.23             12          62.25
        1624.34             11         539.89
         395.79              5        1125.44
          91.27              2         565.60
         306.38              4         607.82
         201.25              4         473.67
         272.20              3         227.29
         117.44              2         495.53
         365.29              5         248.75
         770.80              9         660.56
         385.81              3         216.02
         926.58              9         396.02
         968.29             10         257.16
         627.37              8         282.78
         140.50              3         322.43
         524.54              5         578.46
