    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
          44.01              1         437.17
         491.82              6         418.76
         327.30              3         652.30
         125.63              2         471.17
          92.58              2         289.93
         373.49              4         222.53
         139.16              2         630.08
         365.72              5         699.59
         141.50              2         205.10
         251.02              4         753.62
         625.43              5         566.00
         232.19              3         176.72
         544.80              7         412.92
         108.10              3         443.75
         720.53              5         592.66
         947.13              8         701.06
         163.11              3         546.30
         877.14              7         578.71
         460.81              6         407.55
         585.40              7         414.37
         218.96              3         160.60
          37.11              1         451.80
         486.34              3         227.30
         733.40              6         563.63
         402.11              6         605.87
         549.99              5         406.07
         258.56              3         584.60
         234.82              4         657.93
          53.21              1         716.09
         594.07              7         501.71
         558.01              7         362.83
         875.90              8         542.80
         269.54              2         454.15
         487.42              6         513.95
           4.78              0         465.29
         506.86              6         542.19
          55.89              2         222.50
         693.93              8         835.48
         597.73              8         249.89
         338.65              4        1021.51
         225.13              4         816.40
         406.66              6         410.61
         662.71              6         630.93
         102.56              2        1019.81
         274.69              5         422.80
          43.37              1         502.76
         744.64              6         354.75
         457.89              5         186.35
         118.07              3         466.05
          29.17              1         693.52
         167.75              3         607.78
         400.38              6         209.86
          51.21              1         699.58
         157.97              2         545.80
         214.50              3          92.45
         274.93              4         503.10
         324.03              4         613.92
         850.85              6         871.61
         250.48              4         294.71
         303.04              4         311.75
         276.85              5         484.38
         641.80              5         731.79
         153.23              4         443.15
        1451.79              7         604.59
         160.84              3         712.47
          74.97              2         592.56
         134.75              3         457.01
         131.59              2         190.85
         289.41              5         368.73
         567.63              7         316.96
         452.42              5         265.44
         123.07              2         233.04
         148.57              3         569.77
         167.63              2        1016.08
          66.21              2         605.72
         280.42              5         223.30
         111.95              2         474.31
         224.91              3         369.28
         761.70              8         430.90
         671.80              7         452.39
        1310.56             11         752.33
          11.34              1         156.17
         171.48              4         932.90
         121.44              3         546.70
         392.63              4         313.36
         289.14              4         402.30
         500.39              6         225.93
         137.86              3         958.86
         187.41              4         105.86
         163.14              3         318.34
         227.99              4         733.73
         273.87              4         879.49
         126.98              2         951.02
         702.41              4         699.69
         276.12              4         201.74
         890.81              9         431.89
         236.43              2         903.46
         178.84              4         193.02
         906.63              6         132.12
        1643.26              7         378.23
         501.73              6         523.30
         703.95              7         632.34
         234.02              3         348.62
         106.57              3         345.70
         780.62              7         600.23
         151.48              3         441.79
         310.29              5         421.15
         215.04              2         209.45
        1375.42             13         759.22
         356.02              6         798.81
         442.43              6         370.23
         401.68              4         420.35
         116.77              3         588.75
         600.08              6         569.81
          32.44              1         840.35
         250.87              4         461.72
         235.22              3         747.74
          89.74              2         803.11
         210.77              4         429.36
         106.55              2         524.74
         664.53              8         121.42
         792.00              6         376.44
          76.50              2         416.50
         154.99              3         400.69
          18.15              1         378.00
         376.43              5         905.28
         158.21              3         482.41
        1849.63              9         365.36
         252.68              4         515.20
         194.79              3         640.37
         185.23              4         454.79
         400.15              7         557.41
         131.66              2         693.47
         352.12              4         243.79
          56.02              2         255.67
         376.28              3         711.96
         210.44              4         270.91
         454.61              4         388.55
         270.88              3         311.03
          85.27              2         567.97
          40.63              1         531.13
         259.94              4         716.73
         368.59              5         627.40
         169.45              3         392.25
          29.13              1         280.76
         280.79              3         695.24
         530.51              5         630.79
         580.85              6         390.73
         281.12              3         514.50
         213.31              2         548.27
         239.18              3         140.73
        1120.22              9         477.76
         230.80              3         355.46
         364.94              6         316.44
         467.97              6         596.97
         352.56              5         280.48
         652.68              6         563.96
         363.09              4         265.41
