      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         275.43              5         469.97
         469.57              6         203.82
         323.50              5         150.12
          44.01              1         437.17
         491.82              6         418.76
         125.63              2         471.17
          92.58              2         289.93
         152.85              3         562.67
         719.37              5         453.50
         197.65              4         351.61
         373.49              4         222.53
         273.76              4         398.26
         139.16              2         630.08
         365.72              5         699.59
         629.50              7         127.05
         141.50              2         205.10
         251.02              4         753.62
         625.43              5         566.00
         232.19              3         176.72
         544.80              7         412.92
         108.10              3         443.75
         159.79              3         630.59
         338.66              5         787.46
         263.00              4         369.61
         279.13              4         234.94
         104.75              2         198.66
         207.51              3         355.67
         396.51              6         471.33
         271.56              4         803.64
         163.11              3         546.30
          85.95              3         667.67
         496.16              5         534.01
         476.84              5         349.95
         460.81              6         407.55
         585.40              7         414.37
         218.96              3         160.60
          37.11              1         451.80
         611.51              7         416.61
         257.69              4         633.79
         486.34              3         227.30
         402.11              6         605.87
         167.40              3         378.52
         291.61              5         152.23
          53.36              2         440.68
         549.99              5         406.07
         258.56              3         584.60
         340.41              3         548.50
          43.24              1         812.81
          87.76              2         777.73
          22.81              1         464.53
         408.08              4         384.08
         234.82              4         657.93
         282.28              4         582.36
          53.21              1         716.09
         159.74              3         485.42
         594.07              7         501.71
         558.01              7         362.83
         342.21              5         343.70
         269.54              2         454.15
          69.82              2         687.61
         487.42              6         513.95
           4.78              0         465.29
          55.89              2         222.50
         140.33              3         521.08
          81.84              2         785.95
         597.73              8         249.89
         271.61              5         204.98
         583.64              6         437.35
         386.92              4         506.67
         233.16              5         402.77
         161.28              4         594.14
         225.13              4         816.40
         177.29              3         406.85
         155.22              3         281.11
         406.66              6         410.61
         384.61              4         539.95
         235.70              4         595.30
         244.28              3         359.36
         624.80              6         385.87
          31.34              1         569.97
         356.19              5         267.40
         145.87              3         575.94
         274.69              5         422.80
          43.37              1         502.76
         305.40              3         253.53
         457.89              5         186.35
         118.07              3         466.05
          29.17              1         693.52
         167.75              3         607.78
         184.59              4         559.98
         400.38              6         209.86
         176.32              2         428.73
         118.36              2         582.26
          51.21              1         699.58
          70.83              2         495.65
         157.97              2         545.80
         387.02              4         572.31
         214.50              3          92.45
          95.78              2         297.32
         274.93              4         503.10
         156.46              3         312.74
         169.13              3         712.51
         508.41              6         113.25
         324.03              4         613.92
         250.48              4         294.71
          80.69              2         424.30
         475.21              4         556.11
         103.25              2         408.94
          12.56              1         728.87
         256.14              4         286.46
         287.20              4         390.29
         303.04              4         311.75
         219.38              4         422.54
          96.84              3         123.50
         486.06              5         378.90
         168.52              3         761.12
         153.23              4         443.15
         169.05              3         626.34
         246.93              3         800.05
          90.61              2         600.93
         517.77              5         469.48
         110.99              3         358.91
         160.84              3         712.47
         670.43              5         331.13
         402.12              5         543.41
          74.97              2         592.56
         134.75              3         457.01
          73.91              2         718.26
         851.64              9         317.84
         131.59              2         190.85
         289.41              5         368.73
         487.56              7         208.60
         567.63              7         316.96
         282.70              3         311.77
         452.42              5         265.44
         123.07              2         233.04
         148.57              3         569.77
         266.86              3         293.75
          66.21              2         605.72
         280.42              5         223.30
         111.95              2         474.31
         172.21              2         644.16
         224.91              3         369.28
         433.77              4         444.36
         122.82              3         405.02
         496.65              5         537.24
         175.06              3         679.82
         270.82              5         374.45
         332.86              3         648.92
         376.74              4         560.93
          18.64              1         667.64
         536.10              6         153.79
         387.25              4         303.89
         671.80              7         452.39
          11.34              1         156.17
         171.48              4         932.90
         121.44              3         546.70
         407.48              4         249.89
         392.63              4         313.36
         276.00              5         543.17
          13.58              1         448.74
         162.24              3         487.64
         289.14              4         402.30
         727.78              7         358.71
         500.39              6         225.93
         187.41              4         105.86
         768.19              8         300.09
         163.14              3         318.34
         227.99              4         733.73
         368.27              4         349.57
         490.77              5         154.77
         650.19              5         248.66
          81.71              2         150.99
          84.66              2         901.04
         314.69              4         505.83
         572.50              6         318.27
         189.26              3         653.79
         309.97              4         476.89
         107.26              2         784.87
          96.22              2         509.87
         539.19              4         422.70
          84.04              2         394.57
         276.12              4         201.74
          69.70              2         578.98
         268.95              5         352.31
          23.98              1         597.00
         178.84              4         193.02
         906.63              6         132.12
         415.51              5         596.65
         201.56              4         332.02
          89.03              3         148.16
         501.73              6         523.30
         537.63              6         395.16
         544.59              7         652.66
         387.13              5         293.61
         290.41              5         292.09
         234.02              3         348.62
         106.57              3         345.70
         165.15              3         506.01
         151.48              3         441.79
         310.29              5         421.15
          23.38              1         587.88
         215.04              2         209.45
         451.97              6         296.54
         339.83              2         495.71
         487.45              5         292.46
         496.74              6         379.46
         442.43              6         370.23
         219.51              3         344.08
         235.36              4         358.56
         822.66              8          87.50
         256.43              5         306.54
         401.68              4         420.35
         116.77              3         588.75
         234.06              4         385.20
         354.45              5         623.76
         453.02              4         663.60
         300.43              5         252.56
         250.87              4         461.72
          31.08              1         868.11
          89.74              2         803.11
         369.41              4         455.58
         210.77              4         429.36
         106.55              2         524.74
         664.53              8         121.42
         120.76              3         154.76
         197.90              3         418.20
          76.50              2         416.50
         154.99              3         400.69
          18.15              1         378.00
         129.54              3         380.36
         402.02              6         258.71
         158.21              3         482.41
         252.68              4         515.20
         194.79              3         640.37
         185.23              4         454.79
          11.30              0         416.30
         227.59              4         481.52
         251.84              4         366.56
         400.15              7         557.41
          67.97              1         296.45
         131.66              2         693.47
          29.18              1         602.75
         122.46              3         561.99
         352.12              4         243.79
         246.70              3         518.13
         296.41              4         461.45
         334.49              5         424.24
          56.02              2         255.67
         376.28              3         711.96
         210.44              4         270.91
         454.61              4         388.55
         270.88              3         311.03
         184.82              4         472.93
          85.27              2         567.97
          40.63              1         531.13
         259.94              4         716.73
         332.72              4         418.98
         169.45              3         392.25
         312.38              5         454.04
          29.13              1         280.76
         280.79              3         695.24
         421.31              5         638.90
         247.36              4         368.02
         450.90              6         232.32
         335.15              4         337.71
         580.85              6         390.73
         242.29              4         751.63
         281.12              3         514.50
         476.36              6         559.18
         272.86              4         586.22
         484.73              5         379.18
         213.31              2         548.27
         239.18              3         140.73
         230.80              3         355.46
         297.27              4         164.21
         239.77              5         123.21
         246.49              4         516.40
         468.44              5         356.66
         364.94              6         316.44
         302.32              4         576.42
         227.65              3         313.30
         734.18              5         331.57
         467.97              6         596.97
         119.28              2         235.93
         352.56              5         280.48
         652.68              6         563.96
          99.35              2         501.84
         363.09              4         265.41
         628.42              7         230.01
         375.79              5         797.98
         164.49              3         412.82
         330.59              4         261.80
          91.27              2         565.60
         306.38              4         607.82
         201.25              4         473.67
         272.20              3         227.29
         117.44              2         495.53
         365.29              5         248.75
         385.81              3         216.02
         627.37              8         282.78
         140.50              3         322.43
          16.63              1         593.67
         174.24              4         372.35
         386.85              4         542.55
         388.96              5         254.38
         486.33              5         179.42
         138.94              4         741.93
         739.69              7         352.97
         266.11              4         546.25
          64.92              2         148.71
          40.96              1         636.24
         340.07              4         474.67
         645.99              7         375.33
         123.05              3         217.67
         132.21              2         426.77
         285.11              3         273.64
         586.63              5         547.64
         441.46              6         493.17
          38.90              2         729.32
         402.31              6         273.82
         673.46              6         286.62
         623.28              5         149.93
         553.52              6         321.12
         100.08              2         380.84
          47.01              1         292.16
         214.15              3         512.00
         177.33              4         227.90
         456.16              6         223.29
         228.53              4         200.36
         473.34              5         431.74
         281.98              3         316.83
         633.94              6         329.94
         202.16              3         328.62
         218.20              4         499.33
          93.71              2         644.28
         305.02              4         447.57
         393.39              4         499.91
         176.13              3         405.36
         151.10              3         238.52
         245.92              5         241.58
         701.80              8         463.98
         164.18              3         512.93
         488.24              4         335.04
           7.05              0         475.47
          90.57              2         409.21
         101.18              2         635.52
          93.10              2         677.16
          21.68              1         489.49
          23.33              1         820.66
         262.34              4         700.76
         155.12              3         646.09
         188.82              3         466.51
         373.28              5         508.05
          87.72              2         622.41
         392.12              4         289.26
         243.04              3         253.22
          81.39              1         216.23
         557.45              5         279.97
         121.85              3         646.02
         304.02              4         106.23
          42.98              2         389.93
         487.39              6         645.70
         290.37              4         274.46
         261.26              4         240.12
         201.86              3         426.15
         111.36              3         717.63
         250.48              3         428.02
         288.72              4         500.09
         600.31              5         424.64
         373.12              6         559.03
          52.38              2         666.42
         232.98              4         712.49
         251.59              4         304.44
          50.53              1         234.31
          92.22              2         602.47
         393.90              5         326.42
         226.58              4         263.73
         188.09              4         278.62
         389.23              4         460.12
         337.59              6         274.93
          27.06              1         440.03
         354.24              5         500.07
          34.36              1         317.61
         402.17              5         316.63
           5.62              0         248.10
         128.92              3         203.05
         316.55              4         477.46
         563.00              6         447.90
         569.72              7         181.86
         258.18              4         466.31
         147.32              2         628.99
         639.03              7         416.32
         132.32              2         196.60
         359.49              5         735.32
          86.95              3         409.00
         490.76              4         414.67
          93.18              3         265.91
          49.25              2         324.77
         231.59              3         595.66
         451.26              5         342.93
          74.21              1         821.89
         195.51              3         204.46
         370.51              5         193.07
         131.56              3         204.11
         386.38              4         522.60
         541.18              5         381.00
          84.74              3         549.62
          87.46              2         566.11
         318.61              5         556.30
          85.46              2         283.93
          17.31              1         328.67
         695.07              9         410.05
         263.34              4         550.08
         211.52              2         241.37
         459.80              5         599.23
         231.41              4         463.59
         241.98              4         283.28
         408.53              4         756.47
         401.25              5         404.07
         146.36              3         665.53
         304.38              2         382.19
          65.00              2         402.39
         351.07              5         767.28
          48.09              1         758.62
         499.00              6         463.85
         514.56              5         382.90
         414.55              6         596.01
         183.11              3         725.27
