      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         125.63              2         471.17
         373.49              4         222.53
         486.34              3         227.30
         487.42              6         513.95
          55.89              2         222.50
         406.66              6         410.61
         274.69              5         422.80
          51.21              1         699.58
         157.97              2         545.80
         274.93              4         503.10
         303.04              4         311.75
         153.23              4         443.15
          74.97              2         592.56
         289.41              5         368.73
         452.42              5         265.44
          11.34              1         156.17
         276.12              4         201.74
         401.68              4         420.35
          89.74              2         803.11
          76.50              2         416.50
         158.21              3         482.41
         185.23              4         454.79
          56.02              2         255.67
         210.44              4         270.91
         169.45              3         392.25
         280.79              3         695.24
         352.56              5         280.48
         140.50              3         322.43
         174.24              4         372.35
         388.96              5         254.38
         340.07              4         474.67
         132.21              2         426.77
         456.16              6         223.29
         633.94              6         329.94
           7.05              0         475.47
          21.68              1         489.49
         243.04              3         253.22
          42.98              2         389.93
          84.74              3         549.62
          17.31              1         328.67
          97.97              2         509.76
         226.29              4         467.41
         149.54              3         499.22
         513.32              6         464.71
         104.20              3         319.53
         307.23              4         264.31
          47.91              1         681.01
         138.78              4         376.88
         277.93              5         347.29
         210.67              4         274.93
          39.10              1         658.37
         189.84              3         606.48
          79.81              2         437.77
         148.10              3         513.09
          60.12              2         469.81
         279.08              4         352.54
         195.95              3         744.70
         210.70              3         454.64
         208.07              4         697.33
         195.72              4         593.90
          72.48              2         237.20
         414.07              5         430.29
          53.89              2         521.33
         417.82              4         388.39
          76.82              2         406.23
          13.00              1         454.92
         373.32              4         578.63
         148.26              2         366.18
          42.00              1         402.85
          69.02              2         433.13
         161.98              3         412.41
         404.39              4         532.16
         397.18              6         255.32
         262.19              4         430.87
         201.02              3         605.28
          14.80              1         190.05
         199.39              3         545.21
         250.71              4         216.21
          20.39              1         364.88
         127.34              3         382.97
         238.04              4         397.57
         377.19              4         289.40
         562.96              7         224.64
         140.71              4         264.40
         261.49              3         525.39
         385.15              3         400.88
          14.77              1         457.12
          53.12              1         614.46
         399.44              5         432.89
         266.64              4         304.76
          69.78              2         383.76
         175.29              3         335.18
          95.24              2         713.41
         195.73              4         468.78
         573.90              6         270.65
         109.87              3         447.93
         154.33              2         405.29
          91.81              2         834.73
          96.84              2         443.88
          87.93              2         702.57
          28.04              1         584.66
         548.58              7         457.41
         448.47              4         392.95
         673.59              7         412.86
          59.92              2         329.82
          91.18              2         362.89
         522.05              5         500.82
         190.67              3         202.95
          45.58              1         362.75
         145.54              2         616.06
         594.32              8         399.13
         218.34              3         404.12
          21.64              1         489.88
         428.93              6         260.43
         405.15              6         170.57
         305.72              3         369.15
         421.70              5         680.70
         180.12              3         254.10
         382.60              5         386.56
         452.74              6         636.98
          42.49              1         459.36
         446.45              5         236.78
         419.17              4          44.65
         201.49              3         429.04
         197.96              2         300.87
         469.81              6         489.31
         395.38              5         372.75
         362.06              5         334.04
         171.15              4         230.19
         300.67              3         591.98
         180.55              3         530.25
         531.82              5         444.30
         532.23              3         461.57
          78.44              2         419.51
         158.18              3         230.03
         488.48              5         453.08
         233.88              4         328.12
         326.10              5         337.96
         291.49              4         369.54
         538.48              6         146.08
         251.74              4         321.58
         103.77              3         313.83
         123.11              2         207.44
          77.11              2         510.03
         157.09              3         327.05
         168.94              4         421.91
         247.16              4         358.99
         349.82              4         380.62
         320.06              2         553.62
         103.85              3         309.34
         348.27              4         451.48
         205.06              2         483.85
         237.21              4         284.55
         277.40              5         453.91
         475.70              6         305.56
         318.62              4         694.13
         374.99              3         310.09
         139.64              2         226.43
         246.89              4         513.78
         138.05              3         270.11
         219.47              4         350.95
          95.51              1         238.01
          53.94              2         356.49
         234.31              4         469.58
         418.76              5         370.50
         127.93              3         415.97
         566.16              6         500.08
         300.20              4         506.96
         143.04              3         148.23
         141.96              3         271.71
         325.98              5         376.89
         197.85              3         261.67
         230.58              3         828.29
         135.93              3         354.85
         409.28              5         155.72
         295.12              5         369.99
         228.66              4         311.35
          75.34              2         249.84
         180.34              4         332.16
          47.02              1         130.59
         252.42              4         370.47
         116.73              3         202.67
         203.15              3         313.41
         345.96              4         480.38
         109.89              2         150.11
         125.12              3         233.28
          24.02              1         326.76
         233.08              3         368.33
         106.36              3         298.16
          41.77              1         350.16
         139.00              2         225.84
         218.37              3         827.27
         416.56              5         337.92
         663.58              6         351.28
         150.39              3         179.45
         126.47              3         232.42
         241.26              4         369.03
         150.28              3         161.72
         286.85              5         277.55
         166.37              3         546.21
         160.76              2         176.00
         116.39              2         502.55
         105.75              2         224.12
          45.16              2         543.60
          20.09              1         509.29
         116.52              3         384.54
         117.90              3         563.00
         296.32              5         514.27
         166.18              4         288.70
