   #Hard_on_HCl   #Hard_on_HCl   #Hard_on_HCl
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         317.80              5         340.19
         127.12              3         236.23
          63.56              2         326.23
         444.92              6         282.96
         593.23              7         148.86
         444.92              6         395.71
           0.00              0         490.19
         211.87              4         192.79
        1165.28             10         359.58
           0.00              0         228.09
         127.12              3         185.08
         444.92              6         153.05
         211.87              4         218.27
         211.87              4         581.91
         211.87              4         152.38
          63.56              2         350.03
          63.56              2         486.99
         444.92              6         164.30
          21.19              1         246.91
         127.12              3         160.24
         127.12              3         262.42
         211.87              4         272.16
         317.80              5         156.63
         317.80              5         379.89
         317.80              5         286.67
          21.19              1         430.74
         444.92              6         185.55
         762.73              8         329.56
         444.92              6         471.03
         317.80              5         221.02
         211.87              4         448.27
         444.92              6         421.06
         127.12              3         266.26
         593.23              7         387.38
         317.80              5         172.12
         211.87              4         242.69
           0.00              0         406.56
         593.23              7         403.21
         444.92              6         377.44
         317.80              5         361.63
          21.19              1         424.49
         211.87              4         418.65
         444.92              6         256.26
          63.56              2         220.24
         127.12              3         266.60
          21.19              1         283.39
         211.87              4         291.63
         211.87              4         281.90
         317.80              5         586.40
        1165.28             10         366.91
         127.12              3         261.92
          21.19              1         344.28
          21.19              1         251.38
         211.87              4         477.97
         127.12              3         247.59
         317.80              5         175.00
         127.12              3         231.72
          21.19              1         640.97
         593.23              7         393.44
         127.12              3         374.41
          21.19              1         244.00
         444.92              6         423.39
         317.80              5         101.45
         127.12              3         274.15
         211.87              4         210.35
         211.87              4         326.82
          63.56              2         320.78
         444.92              6         323.22
         444.92              6         257.89
         762.73              8         391.07
         211.87              4         424.71
         127.12              3         273.87
          63.56              2         413.23
         211.87              4         237.51
         317.80              5         340.45
         593.23              7         214.54
         211.87              4         442.52
         127.12              3         443.80
         953.41              9         213.84
         211.87              4         466.47
         127.12              3         190.39
          63.56              2         229.81
         127.12              3         322.77
         211.87              4         261.65
         444.92              6         214.39
         317.80              5         286.92
         953.41              9         219.21
         211.87              4         266.76
         953.41              9         537.45
         211.87              4         413.83
         762.73              8         546.39
          63.56              2         182.86
          21.19              1         454.23
         444.92              6         187.15
          21.19              1         615.46
         211.87              4          97.01
         211.87              4         339.44
         317.80              5         178.19
           0.00              0         402.77
         593.23              7         784.15
         127.12              3         279.74
          21.19              1         496.02
           0.00              0         553.06
         127.12              3         414.74
        1165.28             10         448.41
          21.19              1         256.37
         593.23              7         277.41
         127.12              3         391.89
         953.41              9         121.54
         444.92              6         163.16
         211.87              4         179.83
         211.87              4         566.35
         317.80              5         357.75
         317.80              5         415.50
         211.87              4         253.04
         444.92              6         211.13
         127.12              3         204.59
        1928.00             13         231.56
         127.12              3         611.75
          21.19              1         820.69
         762.73              8         352.60
         317.80              5         179.09
          63.56              2         571.60
         211.87              4         536.33
         211.87              4         305.83
          21.19              1         396.79
         127.12              3         151.28
         127.12              3         260.47
         317.80              5         314.62
         317.80              5         215.26
         444.92              6         156.27
         211.87              4         309.73
         211.87              4         386.56
         127.12              3         224.98
         444.92              6         570.81
         211.87              4         470.37
          21.19              1         497.09
         444.92              6         245.36
         593.23              7         418.64
         127.12              3         300.54
         444.92              6         404.83
         211.87              4         424.66
         211.87              4         164.56
         127.12              3         218.08
         593.23              7         161.75
         211.87              4         397.86
         211.87              4         544.95
         211.87              4         273.87
         127.12              3         150.93
         317.80              5         209.48
         127.12              3         287.24
         444.92              6         589.56
         317.80              5         455.83
         211.87              4         363.87
          21.19              1         368.45
          63.56              2         111.20
          63.56              2         294.82
        1398.33             11         245.80
         127.12              3         151.77
         127.12              3         213.58
          63.56              2         425.16
         211.87              4         291.27
         762.73              8         414.67
         317.80              5         218.65
         127.12              3         532.88
           0.00              0         497.66
          63.56              2         284.16
         127.12              3         284.26
        1165.28             10         181.93
         762.73              8         498.13
         211.87              4         250.16
         444.92              6         313.53
        1398.33             11         229.16
         593.23              7         204.27
          21.19              1         207.54
         593.23              7         264.63
         127.12              3         246.73
         211.87              4         455.39
         762.73              8         197.63
          21.19              1         196.72
         762.73              8         319.58
          63.56              2         385.28
          63.56              2         272.29
          63.56              2         578.38
         444.92              6         243.20
         127.12              3         192.49
         444.92              6         224.82
         317.80              5         264.33
         317.80              5         314.53
         127.12              3         318.70
         211.87              4         421.24
          63.56              2         260.05
         593.23              7         504.31
         317.80              5         417.85
