   #Hard_on_HCl   #Hard_on_HCl   #Hard_on_HCl
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         211.87              4         192.79
         211.87              4         218.27
         211.87              4         581.91
         211.87              4         152.38
         211.87              4         272.16
         211.87              4         448.27
         211.87              4         242.69
         211.87              4         418.65
         211.87              4         291.63
         211.87              4         281.90
         211.87              4         477.97
         211.87              4         210.35
         211.87              4         326.82
         211.87              4         424.71
         211.87              4         237.51
         211.87              4         442.52
         211.87              4         466.47
         211.87              4         261.65
         211.87              4         266.76
         211.87              4         413.83
         211.87              4          97.01
         211.87              4         339.44
         211.87              4         179.83
         211.87              4         566.35
         211.87              4         253.04
         211.87              4         536.33
         211.87              4         305.83
         211.87              4         309.73
         211.87              4         386.56
         211.87              4         470.37
         211.87              4         424.66
         211.87              4         164.56
         211.87              4         397.86
         211.87              4         544.95
         211.87              4         273.87
         211.87              4         363.87
         211.87              4         291.27
         211.87              4         250.16
         211.87              4         455.39
         211.87              4         421.24
         211.87              4         271.00
         211.87              4         213.20
         211.87              4         293.73
         211.87              4         444.25
         211.87              4         398.78
         211.87              4         428.75
         211.87              4         295.77
         211.87              4         277.74
         211.87              4         331.30
         211.87              4         190.09
         211.87              4         522.00
         211.87              4         138.09
         211.87              4         389.40
         211.87              4         124.30
         211.87              4         461.51
         211.87              4         289.74
         211.87              4         296.40
         211.87              4         428.73
         211.87              4         277.67
         211.87              4         607.51
         211.87              4         250.65
         211.87              4         395.91
         211.87              4         256.67
         211.87              4         144.76
         211.87              4         199.80
         211.87              4         372.63
         211.87              4         397.67
         211.87              4         606.23
         211.87              4         486.75
         211.87              4         360.65
         211.87              4         175.58
         211.87              4         256.92
         211.87              4         480.48
         211.87              4         188.27
         211.87              4         389.25
         211.87              4         165.22
         211.87              4         332.58
         211.87              4         255.85
         211.87              4         251.37
         211.87              4         245.14
         211.87              4         237.14
         211.87              4         295.18
         211.87              4         175.63
         211.87              4         465.60
         211.87              4         124.24
         211.87              4         189.13
         211.87              4         540.21
         211.87              4         310.19
         211.87              4         306.15
         211.87              4         202.05
         211.87              4         281.71
         211.87              4         439.32
         211.87              4         146.49
         211.87              4         627.90
         211.87              4         248.00
         211.87              4         540.30
         211.87              4         269.08
         211.87              4         353.86
         211.87              4         105.26
         211.87              4         172.32
         211.87              4         577.25
         211.87              4         402.20
         211.87              4         242.26
         211.87              4         343.79
         211.87              4         398.77
         211.87              4         268.66
         211.87              4         393.96
         211.87              4         223.49
         211.87              4         490.57
         211.87              4         175.84
         211.87              4         235.73
         211.87              4         286.18
         211.87              4         394.34
         211.87              4         323.00
         211.87              4         375.36
         211.87              4         171.07
         211.87              4         475.36
         211.87              4         206.85
         211.87              4         468.60
         211.87              4         374.83
         211.87              4         292.99
         211.87              4         222.16
         211.87              4         238.50
         211.87              4         262.86
         211.87              4         262.65
         211.87              4         306.39
         211.87              4         344.56
         211.87              4         303.83
         211.87              4         494.19
         211.87              4         663.69
         211.87              4         199.88
         211.87              4         264.13
         211.87              4         300.40
         211.87              4         444.16
         211.87              4         249.00
         211.87              4         367.03
         211.87              4         367.39
         211.87              4         121.51
         211.87              4         294.03
         211.87              4         218.20
         211.87              4         490.50
         211.87              4         203.98
         211.87              4         301.68
         211.87              4         293.32
         211.87              4         316.98
         211.87              4         401.77
         211.87              4         239.60
         211.87              4         416.38
         211.87              4         240.23
         211.87              4         136.87
         211.87              4         396.88
         211.87              4         355.86
         211.87              4         439.81
         211.87              4         346.90
         211.87              4         300.81
         211.87              4         533.05
         211.87              4         419.15
         211.87              4         195.40
         211.87              4         217.72
         211.87              4         550.54
         211.87              4         381.12
         211.87              4         156.81
         211.87              4         692.01
         211.87              4         280.81
         211.87              4         199.43
         211.87              4         237.04
         211.87              4         435.79
         211.87              4         174.81
         211.87              4         364.09
         211.87              4         280.76
         211.87              4         170.76
         211.87              4         633.63
         211.87              4         305.55
         211.87              4         502.06
         211.87              4         230.13
         211.87              4         408.44
         211.87              4         121.22
         211.87              4         240.32
         211.87              4         620.19
         211.87              4         259.82
         211.87              4         275.72
         211.87              4         477.74
         211.87              4         571.99
         211.87              4         240.31
         211.87              4         203.75
         211.87              4         286.15
         211.87              4         317.61
         211.87              4         238.46
         211.87              4         365.16
         211.87              4         531.55
         211.87              4         434.72
         211.87              4         192.78
         211.87              4         347.47
         211.87              4         179.59
         211.87              4         319.05
         211.87              4         360.53
         211.87              4         480.88
         211.87              4         134.30
         211.87              4         292.15
         211.87              4          94.60
         211.87              4         252.55
         211.87              4         361.43
         211.87              4         244.17
         211.87              4         258.91
         211.87              4         295.69
         211.87              4         138.32
         211.87              4         248.80
         211.87              4         559.39
         211.87              4         530.29
         211.87              4         299.80
         211.87              4         258.45
         211.87              4         419.21
