    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         232.19              3         176.72
         224.91              3         369.28
         235.22              3         747.74
         239.18              3         140.73
         230.80              3         355.46
         243.04              3         253.22
         230.52              3         826.55
         210.70              3         454.64
         211.24              3         569.92
         214.36              3         183.47
         245.22              3         432.16
         218.34              3         404.12
         213.44              3         768.21
         222.16              3         444.86
         235.67              3         636.03
         230.50              3         404.88
         236.82              3         325.43
         232.56              3         506.45
         228.37              3         372.62
         227.27              3         315.79
         230.17              3         553.34
         210.50              3         286.07
         213.63              3         303.56
         223.12              3         295.04
         230.58              3         828.29
         243.74              3         424.65
         233.08              3         368.33
         211.71              3         566.84
         218.37              3         827.27
         228.07              3         459.80
         220.74              3         290.74
         214.50              3          92.45
         234.02              3         348.62
         225.84              3         557.68
         234.74              3         509.47
         227.15              3         518.15
         223.30              3         541.33
         248.75              3         559.89
         237.61              3         378.53
         222.98              3         433.70
         210.41              3         673.51
         220.75              3         653.83
         235.74              3         494.38
         231.99              3         319.92
         211.70              3         296.08
         233.05              3         330.40
         218.96              3         160.60
         216.54              3         277.91
         212.30              3         608.84
         229.65              3         748.95
         219.66              3         498.75
