 #No_Constraint #No_Constraint #No_Constraint
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         444.92              6         165.88
          21.19              1         375.50
         317.80              5         307.26
         317.80              5         340.19
         211.87              4         117.87
          21.19              1         147.02
         127.12              3         236.23
          63.56              2         326.23
         444.92              6         282.96
         444.92              6         259.16
          63.56              2         274.68
         953.41              9         488.41
         211.87              4         340.94
         211.87              4         148.25
          21.19              1         186.02
         762.73              8         185.98
         127.12              3         453.09
          21.19              1         162.27
         593.23              7         148.86
         444.92              6         395.71
           0.00              0         490.19
         127.12              3         328.09
         211.87              4         192.79
         317.80              5         260.56
          63.56              2         406.64
         762.73              8         202.41
         127.12              3         361.73
         211.87              4         392.98
          21.19              1         324.73
         211.87              4         218.27
         211.87              4         581.91
         211.87              4         152.38
         444.92              6         273.39
         211.87              4         310.51
          21.19              1         282.71
         317.80              5         309.30
          63.56              2         350.03
         444.92              6         374.51
         211.87              4         219.37
         444.92              6         214.31
          63.56              2         256.66
         444.92              6         167.92
         211.87              4         363.04
         127.12              3         330.90
          63.56              2         486.99
         444.92              6         278.26
         211.87              4         453.84
         444.92              6         164.30
         211.87              4         156.28
         127.12              3         425.28
         762.73              8         266.92
         211.87              4         215.04
         317.80              5         379.89
         317.80              5         286.67
         317.80              5         337.71
         127.12              3         282.29
          21.19              1         430.74
         211.87              4         238.73
         127.12              3         111.08
          21.19              1         160.26
         444.92              6         185.55
         593.23              7         284.63
         317.80              5         368.38
         127.12              3         215.28
          21.19              1         188.28
         762.73              8         329.56
         127.12              3         188.19
          63.56              2         241.17
         211.87              4         520.76
         127.12              3         518.82
           0.00              0         366.42
         211.87              4         242.69
          63.56              2         206.79
         317.80              5         212.79
           0.00              0         406.56
         444.92              6         203.46
          63.56              2         348.69
         593.23              7         403.21
         211.87              4         267.49
         593.23              7         117.89
         444.92              6         377.44
         444.92              6         459.32
         317.80              5         361.63
          21.19              1         424.49
         211.87              4         418.65
          63.56              2         504.30
         444.92              6         256.26
         444.92              6         382.50
          63.56              2         220.24
          63.56              2         172.42
         127.12              3         266.60
          21.19              1         283.39
         211.87              4         291.63
         211.87              4         395.78
         317.80              5         367.20
         317.80              5         538.38
          63.56              2         337.00
         211.87              4         281.90
         593.23              7         201.53
         317.80              5         211.26
         211.87              4         208.69
         211.87              4         373.40
          63.56              2         175.75
         317.80              5         238.75
          63.56              2         299.04
         127.12              3         334.25
          21.19              1         428.89
          21.19              1         352.28
         211.87              4         186.54
         317.80              5         586.40
         593.23              7         477.53
         127.12              3         441.06
         127.12              3          98.13
         593.23              7         270.58
          63.56              2         247.11
         444.92              6         230.71
         762.73              8         356.16
        1165.28             10         366.91
         317.80              5         406.03
          63.56              2         369.35
         444.92              6         170.46
          63.56              2         571.64
          21.19              1         382.32
         211.87              4          95.72
          21.19              1         464.13
         127.12              3         261.92
          21.19              1         344.28
          21.19              1         251.38
         317.80              5         427.29
          63.56              2         373.46
         953.41              9         343.11
         127.12              3        1109.52
          63.56              2         327.51
         211.87              4         477.97
         127.12              3         247.59
         317.80              5         175.00
         127.12              3         231.72
         211.87              4         697.17
         317.80              5         283.24
         211.87              4         262.50
         762.73              8         241.30
         211.87              4         268.81
          21.19              1         640.97
          21.19              1         210.17
         593.23              7         393.44
         211.87              4         126.43
         127.12              3         242.65
         127.12              3         126.28
         127.12              3         374.41
          21.19              1         244.00
         127.12              3         332.11
         444.92              6         423.39
         317.80              5         308.43
         211.87              4         344.56
         317.80              5         426.29
         762.73              8         291.82
         317.80              5         101.45
         127.12              3         274.15
         211.87              4         376.92
         127.12              3         286.43
         444.92              6         705.87
         211.87              4         210.35
         762.73              8         130.48
         211.87              4         326.82
          21.19              1         219.75
          63.56              2         320.78
         444.92              6         323.22
         444.92              6         195.25
           0.00              0         187.09
         127.12              3         616.04
          63.56              2         509.91
         127.12              3         402.80
         593.23              7         270.51
         211.87              4         416.10
          63.56              2         491.01
         593.23              7         214.54
         211.87              4         442.52
         127.12              3         443.80
         953.41              9         213.84
         211.87              4         466.47
         211.87              4         401.31
         444.92              6         588.29
         127.12              3         234.74
         762.73              8         320.40
         317.80              5         357.02
          63.56              2         163.17
          63.56              2         229.81
         127.12              3         322.77
         317.80              5         217.29
         211.87              4         266.76
         317.80              5         332.95
         444.92              6         236.85
         444.92              6         303.78
         211.87              4         231.37
         211.87              4         325.01
          21.19              1         165.75
          63.56              2         212.66
         953.41              9         537.45
         317.80              5         317.66
         211.87              4         253.04
         317.80              5         324.96
         593.23              7         477.03
         444.92              6         211.13
         127.12              3         204.59
         211.87              4         215.49
          21.19              1         296.23
         127.12              3         418.51
          63.56              2         324.57
        1928.00             13         231.56
         127.12              3         395.07
         444.92              6         253.63
         127.12              3          73.63
        1398.33             11         291.16
          21.19              1         164.47
         211.87              4         309.23
         127.12              3         611.75
          21.19              1         820.69
         762.73              8         352.60
         317.80              5         179.09
          63.56              2         188.18
          63.56              2         571.60
         593.23              7         282.00
         211.87              4         536.33
          63.56              2         412.10
          63.56              2         412.56
         211.87              4         305.83
          21.19              1         396.79
         211.87              4         231.50
         211.87              4         432.40
         317.80              5         292.43
         127.12              3         151.28
         211.87              4         309.73
         211.87              4         386.56
         762.73              8         562.81
           0.00              0         441.14
         444.92              6         241.54
         317.80              5         254.67
         762.73              8         405.16
         127.12              3         224.98
         444.92              6         570.81
         211.87              4         298.32
         762.73              8         155.42
         211.87              4         252.18
         211.87              4         144.04
         127.12              3         153.59
         127.12              3         298.09
         317.80              5         378.31
         211.87              4         470.37
         127.12              3         131.63
         211.87              4         480.28
         127.12              3         378.31
         127.12              3         300.54
         127.12              3         443.51
         444.92              6         404.83
           0.00              0         214.79
         317.80              5         519.21
         211.87              4         424.66
         127.12              3         514.17
         211.87              4         164.56
         317.80              5         179.52
         953.41              9         254.63
         762.73              8         506.04
         127.12              3         416.15
         127.12              3         377.64
         127.12              3         188.70
         444.92              6         471.61
