 #No_Constraint #No_Constraint #No_Constraint
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         444.92              6         165.88
         444.92              6         282.96
         444.92              6         259.16
         444.92              6         395.71
         444.92              6         153.05
         444.92              6         273.39
         444.92              6         374.51
         444.92              6         214.31
         444.92              6         167.92
         444.92              6         278.26
         444.92              6         164.30
         444.92              6         185.55
         444.92              6         471.03
         444.92              6         366.53
         444.92              6         421.06
         444.92              6         167.74
         444.92              6         122.81
         444.92              6         203.46
         444.92              6         377.44
         444.92              6         459.32
         444.92              6         256.26
         444.92              6         382.50
         444.92              6         230.71
         444.92              6         170.46
         444.92              6         423.39
         444.92              6         705.87
         444.92              6         323.22
         444.92              6         195.25
         444.92              6         257.89
         444.92              6         289.98
         444.92              6         588.29
         444.92              6         149.49
         444.92              6         214.39
         444.92              6         214.02
         444.92              6         265.33
         444.92              6         236.85
         444.92              6         303.78
         444.92              6         463.28
         444.92              6         187.15
         444.92              6         105.12
         444.92              6         299.62
         444.92              6         320.03
         444.92              6         300.95
         444.92              6         503.48
         444.92              6         226.95
         444.92              6         204.46
         444.92              6         282.11
         444.92              6         163.16
         444.92              6         211.13
         444.92              6         253.63
         444.92              6         231.44
         444.92              6         156.27
         444.92              6         241.54
         444.92              6         570.81
         444.92              6         175.62
         444.92              6         245.36
         444.92              6         404.83
         444.92              6         471.61
         444.92              6         147.23
         444.92              6         178.42
         444.92              6         243.47
         444.92              6         589.56
         444.92              6         215.48
         444.92              6         191.29
         444.92              6         313.53
         444.92              6         191.81
         444.92              6         250.80
         444.92              6         633.33
         444.92              6         423.74
         444.92              6         243.20
         444.92              6         163.32
         444.92              6         411.18
         444.92              6         224.82
         444.92              6         218.76
         444.92              6         336.26
         444.92              6         258.38
         444.92              6         514.21
         444.92              6         309.45
         444.92              6         335.04
         444.92              6         162.10
         444.92              6         440.15
         444.92              6         402.68
         444.92              6         244.03
         444.92              6         184.17
         444.92              6         165.44
         444.92              6         386.41
         444.92              6         187.98
         444.92              6         212.12
         444.92              6         355.85
         444.92              6         283.34
         444.92              6         214.78
         444.92              6         194.50
         444.92              6         272.28
         444.92              6         383.95
         444.92              6         389.25
         444.92              6         146.10
         444.92              6         341.53
         444.92              6         425.49
         444.92              6         275.45
         444.92              6         264.37
         444.92              6         303.97
         444.92              6         280.85
         444.92              6         278.18
         444.92              6         449.11
         444.92              6         195.20
         444.92              6         228.31
         444.92              6         368.79
         444.92              6         350.62
         444.92              6         596.66
         444.92              6         176.41
         444.92              6         383.78
         444.92              6         396.47
         444.92              6         357.37
         444.92              6         249.09
         444.92              6         198.44
         444.92              6         312.79
         444.92              6         248.74
         444.92              6         149.83
         444.92              6         149.62
         444.92              6         162.30
         444.92              6         241.04
         444.92              6         332.07
         444.92              6         282.67
         444.92              6         424.45
         444.92              6         434.01
         444.92              6         154.98
         444.92              6         403.02
         444.92              6         173.72
         444.92              6         331.75
         444.92              6         440.66
         444.92              6         225.36
         444.92              6         442.48
         444.92              6         382.06
         444.92              6         234.87
         444.92              6         209.69
         444.92              6         277.65
         444.92              6         441.57
         444.92              6         259.36
         444.92              6         257.73
         444.92              6         226.28
         444.92              6         512.90
         444.92              6         210.32
         444.92              6         363.14
         444.92              6          80.36
         444.92              6         241.68
         444.92              6         184.51
         444.92              6         265.09
         444.92              6         109.71
         444.92              6         259.70
         444.92              6         233.34
         444.92              6         167.68
         444.92              6         187.49
         444.92              6         437.80
         444.92              6         359.61
         444.92              6         249.77
         444.92              6         332.89
         444.92              6         117.06
         444.92              6         383.89
         444.92              6         340.48
         444.92              6         382.65
         444.92              6         239.47
         444.92              6         278.87
         444.92              6         286.77
         444.92              6         352.41
         444.92              6         268.93
         444.92              6         322.82
         444.92              6         162.41
         444.92              6         609.83
         444.92              6         231.37
         444.92              6         366.20
         444.92              6         418.16
         444.92              6         108.87
         444.92              6         270.51
         444.92              6         215.24
         444.92              6         353.61
         444.92              6         257.64
         444.92              6         412.31
         444.92              6         378.59
         444.92              6         316.38
         444.92              6         158.04
         444.92              6         307.56
         444.92              6         625.71
         444.92              6         294.92
