   #Hard_on_HCl   #Hard_on_HCl   #Hard_on_HCl
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         593.23              7         259.23
          63.56              2         222.08
         593.23              7         151.72
          63.56              2         648.69
         593.23              7         336.27
         127.12              3         417.82
         444.92              6         157.90
         762.73              8         727.71
         127.12              3         434.09
          21.19              1         160.41
        1165.28             10         429.30
         211.87              4         162.17
         444.92              6         368.81
         593.23              7         303.06
         317.80              5         202.73
         317.80              5         253.70
         211.87              4         388.42
         762.73              8         252.59
         317.80              5         272.74
         127.12              3         680.47
         593.23              7         271.10
          63.56              2         396.76
         317.80              5         356.79
         127.12              3         216.29
         444.92              6         323.78
          63.56              2         197.95
         593.23              7         204.15
          63.56              2         539.15
         317.80              5         430.75
         444.92              6         327.84
         127.12              3         234.42
         317.80              5         285.10
         211.87              4         181.40
         127.12              3         266.91
          21.19              1         123.61
         127.12              3         202.10
         317.80              5         388.10
         444.92              6         279.21
         127.12              3         334.88
         127.12              3         566.21
          21.19              1         176.78
         211.87              4         302.35
          21.19              1         492.41
         317.80              5         479.02
          21.19              1         318.88
          21.19              1         225.45
        1652.57             12         388.28
          63.56              2         307.53
         127.12              3         167.33
          21.19              1         413.09
         317.80              5         326.91
          63.56              2         537.47
         127.12              3         235.88
         444.92              6         215.10
         317.80              5         211.11
          21.19              1         168.57
          21.19              1         344.28
           0.00              0         262.97
          63.56              2         477.63
         127.12              3         329.60
         211.87              4         188.00
         317.80              5         237.96
          21.19              1         275.36
         317.80              5         214.94
         127.12              3         504.89
          63.56              2         366.16
         127.12              3         141.81
         593.23              7         240.12
         444.92              6         240.30
          21.19              1         428.55
         762.73              8         534.87
          63.56              2         209.57
          63.56              2         227.25
         593.23              7         385.61
         127.12              3         245.19
         317.80              5         251.55
         211.87              4         525.03
          21.19              1         247.27
          63.56              2         421.33
         127.12              3         409.15
         211.87              4         365.19
         317.80              5         187.66
         593.23              7         382.32
          63.56              2         180.16
         444.92              6         129.72
         127.12              3         131.22
         127.12              3         332.24
         593.23              7         323.77
         593.23              7         269.18
         444.92              6         279.94
         127.12              3         237.53
         317.80              5         155.72
         953.41              9         263.89
         444.92              6         508.95
          21.19              1         635.56
         444.92              6         504.15
         444.92              6         578.10
          63.56              2         289.06
          63.56              2         431.09
          63.56              2         251.03
         211.87              4         199.45
         444.92              6         191.10
         317.80              5         272.21
         127.12              3         323.99
         211.87              4         378.50
           0.00              0         370.19
         953.41              9         430.97
        1398.33             11         375.53
          21.19              1         308.90
         127.12              3         340.52
         127.12              3         231.52
         317.80              5         535.99
         127.12              3         332.19
         127.12              3         132.02
         127.12              3         164.22
         762.73              8         378.47
         317.80              5         231.61
         127.12              3         511.10
         953.41              9         105.81
         317.80              5         321.37
         593.23              7         344.67
         762.73              8         433.16
         317.80              5         240.90
         953.41              9          94.34
         127.12              3         166.20
         211.87              4         218.32
         593.23              7         377.11
         127.12              3         364.77
         317.80              5         203.91
          63.56              2         168.30
           0.00              0         202.17
         211.87              4         335.59
         317.80              5         273.00
         127.12              3         128.55
          21.19              1         481.59
         211.87              4         228.97
         127.12              3         516.90
         317.80              5         478.49
         211.87              4         192.07
         317.80              5         119.42
         317.80              5         195.09
         127.12              3         204.41
         762.73              8         262.45
         593.23              7         224.54
         127.12              3         291.67
         127.12              3         272.44
          63.56              2         461.67
         127.12              3         505.16
          63.56              2         347.17
         127.12              3         320.93
         127.12              3         469.07
         953.41              9         237.08
          21.19              1         243.35
          63.56              2         298.21
         953.41              9         440.85
          21.19              1         376.02
