      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         211.87              4         117.87
         211.87              4         148.25
         211.87              4         192.79
         211.87              4         392.98
         211.87              4         218.27
         211.87              4         581.91
         211.87              4         152.38
         211.87              4         310.51
         211.87              4         219.37
         211.87              4         363.04
         211.87              4         453.84
         211.87              4         156.28
         211.87              4         215.04
         211.87              4         238.73
         211.87              4         520.76
         211.87              4         242.69
         211.87              4         267.49
         211.87              4         418.65
         211.87              4         291.63
         211.87              4         395.78
         211.87              4         281.90
         211.87              4         208.69
         211.87              4         373.40
         211.87              4         186.54
         211.87              4          95.72
         211.87              4         477.97
         211.87              4         262.50
         211.87              4         268.81
         211.87              4         126.43
         211.87              4         344.56
         211.87              4         376.92
         211.87              4         210.35
         211.87              4         326.82
         211.87              4         416.10
         211.87              4         442.52
         211.87              4         466.47
         211.87              4         401.31
         211.87              4         266.76
         211.87              4         231.37
         211.87              4         325.01
         211.87              4         253.04
         211.87              4         215.49
         211.87              4         309.23
         211.87              4         536.33
         211.87              4         305.83
         211.87              4         231.50
         211.87              4         432.40
         211.87              4         309.73
         211.87              4         386.56
         211.87              4         298.32
         211.87              4         252.18
         211.87              4         144.04
         211.87              4         470.37
         211.87              4         480.28
         211.87              4         164.56
         211.87              4         314.05
         211.87              4         397.86
         211.87              4         544.95
         211.87              4         139.61
         211.87              4         273.87
         211.87              4         167.95
         211.87              4         213.21
         211.87              4         291.41
         211.87              4         363.87
         211.87              4         201.14
         211.87              4         291.27
         211.87              4         323.05
         211.87              4         391.64
         211.87              4         156.20
         211.87              4         513.10
         211.87              4         235.44
         211.87              4         411.40
         211.87              4         279.95
         211.87              4         250.16
         211.87              4         455.39
         211.87              4         351.43
         211.87              4         202.55
         211.87              4         329.28
         211.87              4         513.43
         211.87              4         421.24
         211.87              4         312.16
         211.87              4         271.00
         211.87              4         444.25
         211.87              4         450.59
         211.87              4         394.79
         211.87              4         331.44
         211.87              4         364.27
         211.87              4         277.74
         211.87              4         331.30
         211.87              4         350.64
         211.87              4         238.78
         211.87              4         190.09
         211.87              4         194.80
         211.87              4         267.03
         211.87              4         238.05
         211.87              4         500.40
         211.87              4         522.00
         211.87              4         138.09
         211.87              4         210.76
         211.87              4         389.40
         211.87              4         461.51
         211.87              4         474.61
         211.87              4         240.51
         211.87              4         414.79
         211.87              4         548.76
         211.87              4         192.57
         211.87              4         348.01
         211.87              4         269.87
         211.87              4         392.48
         211.87              4         550.56
         211.87              4         248.67
         211.87              4         201.79
         211.87              4         406.36
         211.87              4         333.99
         211.87              4         373.89
         211.87              4         360.20
         211.87              4         277.67
         211.87              4         203.52
         211.87              4         607.51
         211.87              4         384.16
         211.87              4         357.05
         211.87              4         306.38
         211.87              4         166.86
         211.87              4         495.31
         211.87              4         250.65
         211.87              4         466.25
         211.87              4         343.53
         211.87              4         267.47
         211.87              4         459.44
         211.87              4         324.47
         211.87              4         268.22
         211.87              4         241.85
         211.87              4         256.67
         211.87              4         456.95
         211.87              4         199.80
         211.87              4         383.22
         211.87              4         372.63
         211.87              4         397.67
         211.87              4         160.87
         211.87              4         606.23
         211.87              4         410.37
         211.87              4         486.75
         211.87              4         229.95
         211.87              4         360.65
         211.87              4         396.50
         211.87              4         243.98
         211.87              4         331.06
         211.87              4         175.58
         211.87              4         256.92
         211.87              4         348.30
         211.87              4         193.99
         211.87              4         556.20
         211.87              4         375.37
         211.87              4         521.36
         211.87              4         255.85
         211.87              4         301.78
         211.87              4         251.37
         211.87              4         245.14
         211.87              4         262.80
         211.87              4         140.64
         211.87              4         182.50
         211.87              4         159.84
         211.87              4         237.14
         211.87              4         325.27
         211.87              4         295.18
         211.87              4         221.32
         211.87              4         394.23
         211.87              4         215.31
         211.87              4         349.72
         211.87              4         175.63
         211.87              4         209.97
         211.87              4         465.60
         211.87              4         223.65
         211.87              4         253.29
         211.87              4         492.30
         211.87              4         501.60
         211.87              4         397.18
         211.87              4         257.57
         211.87              4         219.23
         211.87              4         189.13
         211.87              4         345.25
         211.87              4         353.21
         211.87              4         133.37
         211.87              4         172.26
         211.87              4         310.19
         211.87              4         393.90
         211.87              4         176.65
         211.87              4         233.66
         211.87              4         289.13
         211.87              4         240.29
         211.87              4         327.31
         211.87              4         277.94
         211.87              4         200.93
         211.87              4         281.71
         211.87              4         466.69
         211.87              4         439.32
         211.87              4         146.49
         211.87              4         212.34
         211.87              4         251.04
         211.87              4         248.00
         211.87              4         469.55
         211.87              4         202.46
         211.87              4         399.88
         211.87              4         278.99
         211.87              4         236.30
         211.87              4         269.08
         211.87              4         348.56
         211.87              4         285.23
         211.87              4         199.00
         211.87              4         315.27
         211.87              4         524.80
         211.87              4         393.67
         211.87              4         273.66
         211.87              4         325.61
         211.87              4         377.82
         211.87              4         358.43
         211.87              4         172.32
         211.87              4         577.25
         211.87              4         451.54
         211.87              4         238.37
         211.87              4         399.58
         211.87              4         242.26
         211.87              4         199.55
         211.87              4         226.76
         211.87              4         147.61
         211.87              4         206.55
         211.87              4         176.70
         211.87              4         201.63
         211.87              4         268.66
         211.87              4         393.96
         211.87              4         223.49
         211.87              4         117.65
         211.87              4         490.57
         211.87              4         502.98
         211.87              4         175.84
         211.87              4         308.79
         211.87              4         370.92
         211.87              4         220.85
         211.87              4         577.83
         211.87              4         177.54
         211.87              4         385.48
         211.87              4         235.73
         211.87              4         512.68
         211.87              4         141.72
         211.87              4         401.38
         211.87              4         369.77
         211.87              4         303.32
         211.87              4         286.18
         211.87              4         302.54
         211.87              4         327.78
         211.87              4         394.34
         211.87              4         212.30
         211.87              4         375.36
         211.87              4         251.71
         211.87              4         253.09
         211.87              4         171.07
         211.87              4         328.44
         211.87              4         488.35
         211.87              4         556.70
         211.87              4         103.61
         211.87              4         108.40
         211.87              4         475.36
         211.87              4         468.60
         211.87              4         374.83
         211.87              4         292.99
         211.87              4         214.95
         211.87              4         222.16
         211.87              4         238.50
         211.87              4         240.84
         211.87              4         272.16
         211.87              4         399.49
         211.87              4         262.86
         211.87              4         351.96
         211.87              4         450.81
         211.87              4         512.27
         211.87              4         302.70
         211.87              4         217.01
         211.87              4         593.82
         211.87              4         262.65
         211.87              4         306.39
         211.87              4         448.27
         211.87              4         141.31
         211.87              4         317.26
         211.87              4         219.33
         211.87              4         384.53
         211.87              4         343.53
         211.87              4         250.95
         211.87              4         288.63
         211.87              4         415.10
         211.87              4         301.31
         211.87              4         356.03
         211.87              4         292.33
         211.87              4         303.83
         211.87              4         384.95
         211.87              4         494.19
         211.87              4         233.33
         211.87              4         300.40
         211.87              4         444.16
         211.87              4         217.54
         211.87              4         249.00
         211.87              4         249.20
         211.87              4         105.29
         211.87              4         367.03
         211.87              4         197.99
         211.87              4         121.51
         211.87              4         361.97
         211.87              4         465.63
         211.87              4         147.44
         211.87              4         253.01
         211.87              4         307.06
         211.87              4         311.39
         211.87              4         338.06
         211.87              4         200.32
         211.87              4         216.44
         211.87              4         566.35
         211.87              4         301.59
         211.87              4         294.03
         211.87              4         270.90
         211.87              4         558.15
         211.87              4         411.44
         211.87              4         445.16
         211.87              4         218.20
         211.87              4         218.73
         211.87              4         187.05
         211.87              4         490.50
         211.87              4         413.83
         211.87              4         334.80
         211.87              4         236.03
         211.87              4          97.01
         211.87              4         339.44
         211.87              4         352.66
         211.87              4         548.20
         211.87              4         323.31
         211.87              4         301.99
         211.87              4          90.15
         211.87              4         295.96
         211.87              4         228.81
         211.87              4         516.21
         211.87              4         187.76
