 #No_Constraint #No_Constraint #No_Constraint
   #Erot(W)cm-1             #J    #Speed(m/s)
         178.54              3         423.10
          76.94              2         315.64
         540.67              6         178.11
        1579.04             10         554.10
         438.74              6         504.63
         924.34              8         231.36
         157.25              2         600.99
         469.03              6         726.86
          52.41              2         628.63
          74.59              2         601.06
         950.03              5         597.62
         627.97              7         128.47
         535.73              7         770.13
         153.82              3         363.92
          60.12              2         441.57
         138.11              2         483.44
         257.98              4         265.76
         269.25              4         788.76
         420.73              6         559.10
          34.70              1         399.07
         168.20              3         314.61
         133.49              3         554.31
          74.10              2         559.62
          83.03              2         506.91
         227.15              4         844.75
          73.21              2         366.56
         134.11              3         663.50
          62.61              2         332.20
         481.62              6         484.99
         158.29              2         878.90
         197.17              4         586.50
        1204.42              9         952.64
          81.74              1         909.86
          24.16              1         535.53
         159.29              3         719.64
         481.20              6         328.25
         334.71              4         582.72
           8.70              0         638.05
         189.69              3         436.36
          76.66              2         564.75
         522.75              6         483.66
         358.10              3         454.76
          82.89              2         525.12
         379.20              5         893.17
         322.98              5         236.52
         339.69              3         509.22
         145.60              3         270.86
         671.45              5         368.01
         141.97              3         320.06
          84.93              2         260.40
         714.46              8         358.97
         637.78              8         556.37
         540.20              7         589.67
        1125.53              9        1009.74
         559.16              8         451.80
         231.33              4         435.75
         255.00              3         312.50
          45.07              2         438.56
         237.65              3         202.80
          89.92              2         266.15
          50.86              2         444.42
         508.00              8         884.61
         179.66              3         410.25
         138.55              2         447.50
         802.72              8         269.18
         457.83              7         196.70
         246.58              4         429.14
         120.55              2         473.38
          88.74              2         437.56
         248.84              4         608.38
         212.36              3         942.45
         137.93              2         471.06
         325.48              5         571.85
          33.43              1         672.58
        1042.54             10         232.17
         380.07              6         656.78
          19.42              1         415.32
         511.35              5         905.69
          77.61              2         699.71
         142.11              3         576.50
         104.80              3         484.28
        1060.79              6         620.73
         236.70              3         343.74
         324.93              5         451.21
         349.52              4         588.87
         916.62              9         745.52
         917.88              7         404.13
         392.66              5         611.99
         440.02              5         530.01
         495.47              5         607.68
         255.38              4         435.07
         470.41              5         541.30
        1741.46             11         511.88
         303.77              4         342.25
        1228.64              9         344.83
          79.89              2         500.93
         423.61              5         383.24
         225.41              4         512.22
         145.68              3         581.46
          74.88              2         198.27
         277.58              3         403.62
          31.66              1         312.81
         479.99              4         536.65
         270.25              4         512.14
         788.35              7         342.34
         287.13              4         890.18
         207.96              2         614.65
         401.18              3         228.21
         247.39              4         666.89
         334.24              4         607.41
         279.19              4         676.73
         318.30              3         392.91
