 #No_Constraint #No_Constraint #No_Constraint
   #Erot(W)cm-1             #J    #Speed(m/s)
         118.36              2         582.26
         131.59              2         190.85
         123.07              2         233.04
         126.98              2         951.02
         119.28              2         235.93
         117.44              2         495.53
         121.19              2         931.40
         133.66              2         432.30
         123.27              2         595.47
         119.14              2         559.95
         118.16              2         344.59
         116.59              2         335.56
         123.90              2         311.33
         121.51              2         595.62
         131.64              2         724.05
         133.06              2         736.65
         118.04              2         359.17
         132.24              2         661.54
         123.11              2         207.44
         115.90              2         782.48
         123.10              2         542.99
         115.80              2         453.29
         117.31              2         502.40
         116.41              2         768.03
         126.56              2         218.55
         125.63              2         471.17
         117.84              2          95.15
         134.87              2         276.29
         116.39              2         502.55
         126.36              2         236.54
         125.66              2         624.97
         124.10              2         976.13
         121.95              2         571.15
         120.39              2         458.65
         118.15              2         426.70
         132.55              2         632.23
         131.66              2         693.47
         123.73              2         453.25
         124.37              2         722.03
         117.18              2         421.65
         115.97              2         912.43
         133.12              2         378.79
         133.32              2         924.03
         118.49              2         786.30
         132.30              2         404.30
         129.77              2         585.81
         133.48              2         687.34
         125.77              2         161.03
         125.69              2         463.31
         132.21              2         426.77
         126.39              2         220.03
         132.32              2         196.60
         120.43              2         385.95
         120.30              2         773.02
         122.52              2         444.74
         119.12              2         796.67
         119.91              2         352.54
         119.53              2         669.32
         120.03              2         492.28
         121.80              2         369.33
         118.85              2         486.88
