 #No Constraint           #J=6              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         482.24              6         151.61
         428.63              6         443.15
         470.67              6         189.35
         430.41              6         157.85
         457.45              6         261.47
         394.60              6         368.93
         358.23              6         478.77
         381.93              6         363.17
         390.35              6         372.35
         464.45              6         172.68
         410.23              6         404.15
         305.05              6         323.76
         398.28              6         327.75
         362.35              6         278.71
         427.78              6         192.57
         470.60              6         683.31
         422.43              6         241.89
         478.52              6         329.68
         433.73              6         375.19
         440.23              6         242.04
         365.11              6         685.89
         417.18              6         242.71
         454.44              6         211.10
         401.13              6         215.13
         423.82              6         208.62
         469.99              6         359.54
         352.52              6         299.65
         413.88              6         349.14
         438.62              6         164.92
         397.49              6         129.28
         485.63              6         193.29
         465.31              6         166.49
         441.08              6         410.90
         381.45              6         280.50
         406.34              6         508.91
         493.31              6         503.75
         465.26              6         577.45
         437.51              6         438.46
         412.44              6         191.15
         388.40              6         157.62
         405.42              6         391.85
         374.30              6         231.68
         342.09              6         301.42
         419.47              6         274.19
         416.62              6         329.28
         400.35              6         412.94
         406.72              6         256.32
         445.60              6         383.99
         424.18              6         338.16
         394.59              6         235.65
         450.19              6         280.85
         449.02              6         363.09
         492.88              6         530.85
         381.39              6         194.36
         443.90              6         219.71
         417.30              6         221.15
         411.55              6         299.02
         407.75              6         478.51
         410.69              6         311.78
         457.56              6         350.82
         443.80              6         232.81
         380.85              6         255.97
         368.70              6         297.66
         362.84              6         523.54
         364.19              6         218.74
         371.97              6         379.58
         467.99              6         213.84
         416.78              6         434.08
         459.59              6         259.34
         462.45              6         483.83
         416.13              6         348.42
         525.33              6         398.19
         534.11              6         313.18
         440.98              6         385.44
         460.38              6         327.28
         395.88              6         306.37
         535.98              6         239.37
         387.42              6         180.53
         413.16              6         309.56
         529.53              6         230.27
         423.21              6         224.75
         497.90              6         559.23
         365.93              6         209.04
         307.77              6         561.03
         412.77              6         521.07
         459.86              6         312.00
         471.45              6         182.38
         368.12              6         418.82
         455.71              6         321.93
         504.46              6         310.56
         467.22              6         399.59
         417.82              6         481.58
         312.11              6         709.99
         520.29              6         476.26
         387.62              6         460.82
         517.93              6         285.32
         470.00              6         189.64
         390.80              6         342.84
         355.79              6         350.08
         362.69              6         263.95
         312.76              6         389.28
         375.92              6         411.60
         459.01              6         395.68
         342.67              6         437.26
         360.38              6         142.64
         437.81              6         365.31
         441.08              6         457.78
         474.62              6         361.81
         389.46              6         188.37
         469.16              6         531.82
         528.05              6         762.01
