   #Hard on HCl         #J all              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         530.00              7         259.68
          53.10              2         222.00
         482.24              6         151.61
          40.27              1         648.93
         578.54              7         336.59
          95.99              3         417.83
         430.41              6         157.85
         751.21              8         727.85
         591.42              8         382.26
         115.00              3         434.47
          29.03              1         159.75
        1011.52             10         429.14
         191.19              4         161.88
         394.60              6         368.93
         465.74              7         303.00
         342.32              5         203.14
         408.06              5         253.75
         179.87              4         387.96
         610.55              8         252.54
         263.15              5         272.79
         142.79              3         680.92
         473.36              7         271.24
          81.05              2         397.07
         273.73              5         357.04
         129.44              3         216.68
         305.05              6         323.76
          51.70              2         197.97
          76.02              2         539.98
         314.23              5         430.45
         398.28              6         327.75
         109.08              3         234.67
         208.45              4         285.64
         217.34              4         181.75
         136.19              3         266.83
          10.29              0         123.58
         111.01              3         202.63
         310.25              5         388.51
         362.35              6         278.71
         140.94              3         334.76
         102.34              3         566.16
          15.12              1         176.94
         194.92              4         302.49
          17.92              1         492.67
         315.38              5         479.08
          27.05              1         318.61
          32.60              1         225.98
        1318.32             12         388.06
          71.72              2         307.60
         170.01              3         167.61
          26.49              1         412.79
         235.50              5         326.85
         480.52              7         516.21
         127.38              3         235.86
         401.13              6         215.13
         149.96              4         499.91
         321.17              5         211.11
          15.12              1         168.93
          32.28              1         344.10
           6.09              0         263.02
         577.56              8         535.60
         214.94              4         525.39
          22.71              1         247.08
          67.54              2         421.14
         122.95              3         409.23
         285.10              4         365.12
         361.32              5         187.80
         526.36              7         381.93
          54.37              2         179.96
         397.49              6         129.28
         110.44              3         131.02
          99.59              3         332.26
         432.60              7         324.09
         507.08              7         269.46
         381.45              6         280.50
         106.00              3         237.38
         248.30              5         155.58
         962.71              9         263.79
         406.34              6         508.91
          14.62              1         636.02
         493.31              6         503.75
         465.26              6         577.45
          66.39              2         289.64
          54.55              2         431.03
          62.36              2         250.76
         217.47              4         199.67
         412.44              6         191.15
         409.45              5         272.23
         569.46              7         302.25
         113.95              3         324.06
         148.60              4         378.66
         388.40              6         157.62
           2.30              0         370.25
         992.50              9         431.41
        1348.10             11         375.65
          19.78              1         309.26
          81.81              3         340.74
         116.39              3         231.32
         267.41              5         535.83
          73.95              3         332.36
          92.34              3         132.62
          97.85              3         164.33
         812.20              8         377.64
         268.89              5         232.23
         193.48              4         268.72
          90.97              3         510.99
         844.87              9         106.40
         315.25              5         321.62
         700.06              7         344.63
         591.39              8         433.40
         340.75              5         241.15
         992.22              9          93.77
          83.20              3         166.47
         188.04              4         218.23
         422.45              7         377.47
         109.10              3         364.63
         275.78              5         203.96
          66.05              2         168.32
           3.27              0         202.32
         173.07              4         336.17
         268.86              5         273.32
         127.41              3         128.98
          28.91              1         481.57
         254.06              4         229.08
         166.47              3         516.51
         371.25              5         478.05
         206.67              4         191.66
         320.34              5         119.10
         317.76              5         195.23
          86.35              3         204.85
         684.88              8         262.52
         677.29              7         224.67
         135.32              3         292.07
         163.52              3         272.35
          83.65              2         461.20
          94.55              3         504.93
          35.55              1         347.53
         149.67              3         320.79
         110.36              3         468.99
         823.41              9         237.52
          19.90              1         243.21
          51.15              2         298.19
         720.61              9         440.53
         362.84              6         523.54
           8.68              0         376.48
         285.66              4         305.57
           5.69              0         303.38
          67.56              2         437.36
         119.88              3         426.57
         467.00              7         721.99
        1501.34             11         502.68
        1011.86              9         308.93
         161.23              4         323.00
         150.77              3         351.86
         161.46              3         322.98
         480.18              7         398.34
           3.29              0         144.36
          94.97              3         162.43
         703.28              9         370.08
         347.78              5         252.12
          13.38              1         224.71
         187.86              4         296.02
          95.43              3         125.82
         338.13              5         215.54
         142.69              3         235.78
         198.80              4         253.50
         949.41             10         736.33
         115.73              3         326.06
         630.40              7         238.04
          81.43              2         630.93
         108.64              3         628.36
         222.66              5         310.61
         611.37              8         176.31
         175.63              4         345.92
         752.23              8         275.49
         144.77              4         261.93
         289.07              4         218.32
         890.79              8         250.57
         621.81              7         578.29
          37.06              2         254.29
          26.41              1         145.21
         134.53              3         224.86
         220.37              5         346.77
         263.68              5         479.91
         136.14              3         485.06
         560.43              7         239.85
         227.97              4         143.83
          18.63              1         388.77
         104.82              3          92.96
         876.02             10         421.45
          40.50              2         162.75
         270.82              5         225.42
         142.97              3         206.72
         706.38              8         159.23
           6.90              0         221.51
          21.25              1         298.51
          15.28              1         280.97
         423.21              6         224.75
          15.80              1         120.25
         264.51              5         291.92
          68.04              2         489.89
         198.77              3         158.94
          73.81              2         340.05
         269.38              5         542.48
         176.13              3         899.82
          92.29              2         228.12
          37.46              2         428.04
         262.05              5         258.61
         159.11              4         330.90
          41.81              1         202.28
         133.74              3         203.38
          97.39              3         474.37
         127.57              3         555.00
          30.72              1         405.82
         335.96              5         154.26
          15.13              1         464.04
         296.99              5         163.78
         189.26              4         566.47
          52.57              2         181.95
         307.77              6         561.03
         240.05              5         181.55
         242.65              5         495.34
         246.15              4         310.46
         352.36              5         313.37
         829.98              8         235.80
         368.12              6         418.82
          67.95              2         280.26
         502.15              7         460.82
          77.21              2         234.87
         173.88              3         490.54
          10.26              0         409.55
          25.18              1         471.82
         670.98              9         189.09
         135.32              3         181.25
         576.62              7          98.83
         312.11              6         709.99
         479.15              7         563.02
         162.60              4         561.50
          51.51              2         519.12
          92.99              3         263.63
         234.42              4         437.73
         248.79              4         266.97
         129.39              3         469.58
         470.00              6         189.64
         256.59              4         171.44
         223.67              4         174.30
         551.13              7         374.70
         505.80              7         113.86
         312.76              6         389.28
         179.01              3         382.42
         149.42              3         398.66
         470.59              7         341.50
         110.58              3         677.29
          82.78              3         380.34
         342.67              6         437.26
         360.38              6         142.64
         108.49              3         110.42
         138.02              3         241.27
         209.62              5         270.41
        1133.98             11         363.81
         389.46              6         188.37
         153.57              3         240.13
         289.05              5         351.08
        1198.72             11         499.30
          25.08              1         237.63
         266.06              5         393.47
         203.44              4         302.63
         200.35              4         346.56
         581.61              8         449.59
          47.66              2         352.01
           1.08              0         523.21
         144.73              4         347.57
         257.60              5         161.16
         260.75              4         309.35
         670.06              7         288.89
         156.98              3         201.10
         425.25              6         411.63
         113.61              3         152.19
         287.25              5         250.02
         442.85              7         156.11
          26.46              1         827.82
          29.14              1         396.13
          49.23              2         459.42
          42.85              1         320.09
          59.65              2         156.30
         362.92              6         216.26
         150.69              4         155.27
         350.80              6         224.21
         347.56              6         105.63
         146.32              4         196.36
         500.73              6         236.30
         283.77              5         251.32
         413.58              7         280.19
          39.11              2         201.32
          87.78              3         255.13
         173.22              4         376.34
          62.09              2          98.19
          73.66              2         345.41
         247.39              5         182.92
         284.04              5         180.25
          58.98              2         466.87
         528.20              6         720.19
         146.10              4         135.30
         166.27              4         284.88
           0.21              0         339.10
           8.15              0         186.64
         227.83              4         267.49
         103.04              3         800.33
          45.11              2         378.56
         221.71              4         497.51
          97.20              3         234.27
          95.90              3         526.31
         549.69              8         477.60
         115.15              3         531.06
         246.20              4         646.51
         100.04              3         401.77
         188.38              4         272.76
         100.79              3         265.13
         110.79              3         135.34
         679.07              8         203.60
         382.53              6         339.89
          35.30              1         506.94
         148.24              3         240.65
          99.10              2         355.42
         456.91              7         169.25
         946.67             10         258.29
         166.33              4         175.16
        1093.99              9         645.34
         213.74              4         284.08
         202.80              4        1010.66
         166.55              4         300.69
         211.16              4         427.89
         266.45              4         309.55
         140.84              4         330.77
          44.33              1         302.63
          16.72              1         137.77
          27.41              1         691.96
         434.61              6         364.23
         311.89              5         285.20
          33.15              1         316.52
         340.52              6         684.48
         189.33              4         277.49
         744.90              9         525.64
         144.81              3         478.22
         313.26              5         210.62
         272.09              4         252.05
         290.74              5         468.25
        1061.26             11         210.45
         626.21              8         368.79
           9.61              0         427.10
         189.82              4         269.67
         445.71              7         367.93
         335.24              6         105.83
         679.87              8         350.43
         855.36              9         580.10
          94.54              3         133.75
         475.41              7         370.51
          52.24              2         329.94
          72.37              2         318.43
          81.12              3         198.54
          42.65              1         243.64
         173.43              4         448.66
         159.04              4         568.38
          83.20              3         277.67
         424.70              6         451.72
         769.20              9         215.30
         355.37              6         261.59
         218.12              5         249.67
         505.85              7         162.96
          84.50              3         255.54
          27.71              1         454.36
         184.58              4         267.19
          89.46              3         146.27
         302.18              5         174.17
         342.15              6         515.45
         567.79              7         397.52
         552.45              8         233.31
          63.59              2         419.59
         743.03              9         133.93
         339.67              6         215.34
          38.81              2         367.56
          38.14              1         474.17
         146.12              3         361.11
         317.35              5         494.73
         365.38              6         382.06
         613.33              7         362.67
        1755.64             13         146.93
          44.06              2         298.61
         414.01              5         270.49
         722.66              8         310.89
         183.85              4         303.48
         102.92              3         397.46
         363.97              6         302.02
         210.42              4         238.36
         808.09              9         295.75
          53.34              2         265.85
         131.61              3         302.65
          74.88              2         261.62
        1204.42             10         448.82
         227.21              5         379.58
         351.46              5         255.11
         252.57              4         267.10
          50.35              2         165.41
          68.51              2         161.59
