   #Hard_on_HCl   #Hard_on_HCl   #Hard_on_HCl
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         211.87              4         161.88
         211.87              4         387.96
         211.87              4         181.75
         211.87              4         302.49
         211.87              4         188.76
         211.87              4         525.39
         211.87              4         365.12
         211.87              4         199.67
         211.87              4         378.66
         211.87              4         218.23
         211.87              4         336.17
         211.87              4         229.08
         211.87              4         191.66
         211.87              4         305.57
         211.87              4         323.00
         211.87              4         296.02
         211.87              4         319.12
         211.87              4         237.42
         211.87              4         253.50
         211.87              4         228.38
         211.87              4         315.33
         211.87              4         208.46
         211.87              4         244.49
         211.87              4         195.79
         211.87              4         421.74
         211.87              4         313.00
         211.87              4         320.94
         211.87              4         191.41
         211.87              4         199.45
         211.87              4         323.39
         211.87              4         480.86
         211.87              4         151.23
         211.87              4         345.92
         211.87              4         521.30
         211.87              4         495.45
         211.87              4         360.11
         211.87              4         308.81
         211.87              4         115.51
         211.87              4         748.57
         211.87              4         209.92
         211.87              4         492.40
         211.87              4         294.31
         211.87              4         316.24
         211.87              4         261.93
         211.87              4         309.51
         211.87              4         243.96
         211.87              4         219.33
         211.87              4         218.32
         211.87              4         472.95
         211.87              4         267.70
         211.87              4         346.42
         211.87              4         303.52
         211.87              4         345.56
         211.87              4         237.07
         211.87              4         344.62
         211.87              4         261.57
         211.87              4         143.83
         211.87              4         176.07
         211.87              4         161.56
         211.87              4         176.69
         211.87              4         317.96
         211.87              4         333.55
         211.87              4         390.50
         211.87              4         447.64
         211.87              4         415.95
         211.87              4         214.37
         211.87              4         158.94
         211.87              4         325.18
         211.87              4         140.93
         211.87              4         325.36
         211.87              4         430.24
         211.87              4         232.16
         211.87              4         486.66
         211.87              4         410.77
         211.87              4         330.90
         211.87              4         385.90
         211.87              4         283.54
         211.87              4         213.30
         211.87              4         451.44
         211.87              4         307.33
         211.87              4         409.21
         211.87              4         200.03
         211.87              4         256.33
         211.87              4         131.72
         211.87              4         374.44
         211.87              4         513.09
         211.87              4         214.41
         211.87              4         168.24
         211.87              4         240.55
         211.87              4         566.47
         211.87              4         790.44
         211.87              4         310.46
         211.87              4         408.13
         211.87              4         209.64
         211.87              4         435.90
         211.87              4         405.70
         211.87              4         440.01
         211.87              4         191.73
         211.87              4         435.13
         211.87              4         112.34
         211.87              4         354.43
         211.87              4         561.50
         211.87              4         152.72
         211.87              4         252.66
         211.87              4         214.18
         211.87              4         265.90
         211.87              4         371.93
         211.87              4         212.29
         211.87              4         113.85
         211.87              4         875.07
         211.87              4         313.14
         211.87              4         404.58
         211.87              4         401.17
         211.87              4         360.89
         211.87              4         437.73
         211.87              4         143.58
         211.87              4         307.05
         211.87              4         260.75
         211.87              4         179.91
         211.87              4         265.32
         211.87              4         142.70
         211.87              4         410.84
         211.87              4         600.75
         211.87              4         229.06
         211.87              4         266.97
         211.87              4         171.44
         211.87              4         174.30
         211.87              4          69.92
         211.87              4         227.18
         211.87              4         232.79
         211.87              4         457.70
         211.87              4         397.23
         211.87              4         252.63
         211.87              4         294.13
         211.87              4         280.20
         211.87              4         379.56
         211.87              4         446.29
         211.87              4         447.22
         211.87              4         100.94
         211.87              4         210.14
         211.87              4         212.44
         211.87              4         161.02
         211.87              4         390.82
         211.87              4         361.42
         211.87              4         255.34
         211.87              4         227.18
         211.87              4         166.02
         211.87              4         496.40
         211.87              4         302.63
         211.87              4         346.56
         211.87              4         347.57
         211.87              4         309.35
         211.87              4         155.27
         211.87              4         196.36
         211.87              4         376.34
         211.87              4         135.30
         211.87              4         284.88
         211.87              4         267.49
         211.87              4         497.51
         211.87              4         646.51
         211.87              4         272.76
         211.87              4         175.16
         211.87              4         284.08
         211.87              4        1010.66
         211.87              4         300.69
         211.87              4         427.89
         211.87              4         309.55
         211.87              4         330.77
         211.87              4         277.49
         211.87              4         269.67
         211.87              4         448.66
         211.87              4         568.38
         211.87              4         267.19
         211.87              4         303.48
         211.87              4         238.36
         211.87              4         267.10
         211.87              4         604.23
         211.87              4         245.15
         211.87              4         395.46
         211.87              4         354.01
         211.87              4         207.47
         211.87              4         211.73
         211.87              4         537.35
         211.87              4         257.45
         211.87              4         455.80
         211.87              4         421.57
         211.87              4          77.34
         211.87              4         394.37
         211.87              4         143.93
         211.87              4         109.86
         211.87              4         479.69
         211.87              4         233.61
         211.87              4         694.91
         211.87              4         208.66
         211.87              4         547.99
         211.87              4         362.48
         211.87              4         355.01
         211.87              4         363.81
         211.87              4         610.34
         211.87              4         161.45
         211.87              4         382.35
         211.87              4         195.57
         211.87              4         195.74
         211.87              4         444.83
         211.87              4         544.55
         211.87              4         180.22
         211.87              4         162.91
         211.87              4         194.99
         211.87              4         234.63
         211.87              4         311.70
         211.87              4         217.07
         211.87              4         436.71
         211.87              4         233.80
         211.87              4         372.95
         211.87              4         439.82
         211.87              4         305.32
         211.87              4         305.71
         211.87              4         200.38
         211.87              4         249.33
         211.87              4         292.50
         211.87              4         301.88
         211.87              4         309.16
         211.87              4         129.47
         211.87              4         116.04
         211.87              4         172.14
         211.87              4         434.33
         211.87              4         416.90
         211.87              4         335.60
         211.87              4         209.44
         211.87              4         273.68
         211.87              4         279.32
         211.87              4         328.52
         211.87              4         346.39
         211.87              4         232.68
         211.87              4         185.35
         211.87              4         315.05
         211.87              4         321.55
         211.87              4         604.26
         211.87              4         293.42
         211.87              4         335.14
         211.87              4         232.21
         211.87              4         471.20
         211.87              4         282.76
         211.87              4         399.93
         211.87              4         160.64
         211.87              4         329.41
         211.87              4         401.31
         211.87              4         513.55
         211.87              4         266.65
         211.87              4         316.45
         211.87              4         532.45
         211.87              4         360.72
         211.87              4         164.18
         211.87              4         553.94
         211.87              4         152.86
         211.87              4         175.59
         211.87              4         372.56
         211.87              4         312.25
         211.87              4         291.77
         211.87              4         181.99
         211.87              4         263.39
         211.87              4         305.73
         211.87              4         179.43
         211.87              4         274.52
         211.87              4         267.39
         211.87              4         416.99
         211.87              4         163.61
         211.87              4         362.16
         211.87              4         403.78
         211.87              4         242.05
         211.87              4         233.56
         211.87              4         139.00
         211.87              4         255.33
         211.87              4         260.89
         211.87              4         460.03
         211.87              4         506.86
         211.87              4         283.17
         211.87              4         210.27
         211.87              4         188.04
         211.87              4         253.91
         211.87              4         357.81
         211.87              4         279.14
         211.87              4         486.81
         211.87              4         328.47
         211.87              4         221.71
         211.87              4         393.45
         211.87              4         311.34
         211.87              4         506.80
         211.87              4         302.22
         211.87              4         218.76
         211.87              4         292.32
         211.87              4         659.83
         211.87              4         324.96
         211.87              4         319.75
         211.87              4         390.95
         211.87              4         431.84
         211.87              4         430.03
         211.87              4         204.86
         211.87              4         510.92
         211.87              4         175.45
         211.87              4         223.03
         211.87              4         147.07
         211.87              4         277.06
         211.87              4         328.70
         211.87              4         613.09
         211.87              4         231.24
         211.87              4         259.78
         211.87              4         455.31
         211.87              4         320.92
         211.87              4         424.29
         211.87              4         519.42
         211.87              4         172.88
         211.87              4         158.29
         211.87              4         328.43
         211.87              4         186.96
         211.87              4         424.08
         211.87              4         433.81
         211.87              4         232.16
         211.87              4         114.82
         211.87              4         317.03
         211.87              4         378.13
         211.87              4         182.58
         211.87              4         245.93
         211.87              4         179.69
         211.87              4         313.71
         211.87              4         400.54
         211.87              4         370.47
         211.87              4         147.19
         211.87              4         329.05
         211.87              4         638.37
         211.87              4         370.83
         211.87              4         181.46
         211.87              4         151.93
         211.87              4         171.49
         211.87              4         250.77
         211.87              4         501.09
         211.87              4         135.82
         211.87              4         324.79
         211.87              4         209.93
         211.87              4         312.84
         211.87              4         379.76
         211.87              4         418.94
         211.87              4         231.96
         211.87              4         406.21
         211.87              4         362.56
         211.87              4         354.43
         211.87              4         323.08
         211.87              4         264.40
         211.87              4         233.96
         211.87              4         547.06
         211.87              4         105.48
         211.87              4         197.70
         211.87              4         357.41
         211.87              4         340.08
         211.87              4         597.14
         211.87              4         449.46
         211.87              4         241.93
         211.87              4         288.87
         211.87              4         297.12
         211.87              4         298.25
         211.87              4         399.40
         211.87              4         366.04
         211.87              4         507.94
         211.87              4         214.27
         211.87              4         295.40
         211.87              4         332.67
         211.87              4         154.63
         211.87              4         393.40
         211.87              4         267.30
         211.87              4         794.00
         211.87              4         433.64
         211.87              4         302.11
         211.87              4         318.84
         211.87              4         323.82
         211.87              4         138.20
         211.87              4         214.19
         211.87              4         290.33
         211.87              4         117.17
         211.87              4         148.34
         211.87              4         225.01
         211.87              4         443.25
         211.87              4         190.03
         211.87              4         177.60
         211.87              4         582.88
         211.87              4         193.67
         211.87              4         294.73
         211.87              4         371.34
         211.87              4         223.05
         211.87              4         369.29
         211.87              4         247.13
         211.87              4         358.55
         211.87              4         333.98
         211.87              4         381.96
         211.87              4         287.67
         211.87              4         363.37
         211.87              4         178.87
         211.87              4         428.34
         211.87              4          93.66
         211.87              4         249.95
         211.87              4         232.20
         211.87              4         229.85
         211.87              4         209.05
         211.87              4         151.08
         211.87              4         133.49
         211.87              4         246.84
         211.87              4         232.25
         211.87              4         319.53
         211.87              4         307.83
         211.87              4         234.00
         211.87              4         304.26
         211.87              4         161.28
         211.87              4         128.75
         211.87              4         413.55
         211.87              4          82.55
         211.87              4         282.57
         211.87              4         156.97
         211.87              4         240.62
         211.87              4         231.37
         211.87              4         341.33
         211.87              4         328.01
         211.87              4         165.67
         211.87              4         156.12
         211.87              4         604.99
         211.87              4         366.19
         211.87              4         448.68
         211.87              4         253.22
         211.87              4         338.48
         211.87              4         236.88
         211.87              4         190.27
         211.87              4         324.63
         211.87              4         190.32
         211.87              4         597.61
         211.87              4         388.80
         211.87              4         267.23
         211.87              4         216.27
         211.87              4         333.42
         211.87              4         143.90
         211.87              4         111.25
         211.87              4         204.33
         211.87              4         143.16
         211.87              4         454.54
         211.87              4         111.20
         211.87              4         265.91
         211.87              4         304.74
         211.87              4         263.61
         211.87              4         330.32
         211.87              4         408.28
         211.87              4         256.04
         211.87              4         150.32
         211.87              4         219.22
         211.87              4         370.93
         211.87              4         239.80
         211.87              4         470.31
         211.87              4         276.17
         211.87              4         174.45
         211.87              4         202.17
         211.87              4         122.02
         211.87              4         434.18
         211.87              4         559.50
         211.87              4         314.62
         211.87              4         199.31
         211.87              4         212.03
         211.87              4         210.54
         211.87              4         484.16
         211.87              4         452.24
         211.87              4         684.87
         211.87              4         397.81
         211.87              4         193.14
         211.87              4         421.92
