 #Erot(HCl)cm-1             #J    #Speed(m/s)
         105.64              3         126.23
         530.00              7         259.68
         653.69              7         426.18
          53.10              2         222.00
         904.09              9         280.53
         482.24              6         151.61
         300.65              5         424.62
         578.54              7         336.59
           0.02              0         284.84
         322.98              5         116.13
          95.99              3         417.83
         104.89              3         210.27
         428.63              6         443.15
         328.52              5         253.05
         534.61              7         261.61
         470.67              6         189.35
         654.17              7         152.69
         430.41              6         157.85
         258.73              4         249.56
         556.24              7         173.96
         115.37              3         488.42
         445.91              7         328.31
         193.39              4         462.32
          39.23              2         214.71
         586.99              7         328.66
         835.21              9         308.67
          85.86              2         275.40
          76.11              2         339.31
          29.17              1         212.24
          29.37              1         481.91
         426.69              5         269.16
          83.23              2         237.93
         739.10              8         393.16
         135.19              3          95.61
          91.35              2         317.90
         221.53              4         171.67
         350.81              5         205.44
          94.94              3         560.90
         457.45              6         261.47
          90.74              2         249.16
         115.00              3         434.47
          70.96              2         213.83
          29.03              1         159.75
          28.26              1         270.18
         195.32              4         344.11
         191.19              4         161.88
         394.60              6         368.93
         635.44              7         316.53
          58.90              2         181.36
         465.74              7         303.00
         342.32              5         203.14
           1.82              0         364.57
         186.15              4         182.66
         312.98              5         369.00
         196.44              4         199.24
         234.01              4         551.95
         199.78              4         362.06
         252.85              4         322.62
          41.09              2         298.03
          67.72              2         283.85
         285.58              5         234.99
         513.15              7         336.61
         174.70              4         201.89
         668.31              7         441.75
          66.43              2         337.49
         110.34              3         399.85
           7.14              0         191.25
         331.85              5         293.49
          59.03              2         220.72
         263.59              5         449.45
         201.28              4         335.87
         140.27              3         273.60
         408.06              5         253.75
         179.87              4         387.96
         610.55              8         252.54
         286.09              5         257.67
         164.16              3         322.67
         126.72              3         198.57
         195.43              4         517.42
         263.15              5         272.79
         210.20              4         419.12
          56.44              2         342.79
         358.23              6         478.77
         142.79              3         680.92
         138.28              3         324.94
         856.61              9         255.60
         381.93              6         363.17
         241.31              4         433.31
          21.80              1         127.21
         473.36              7         271.24
