      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         444.92              6         443.15
         444.92              6         189.35
         444.92              6         157.85
         444.92              6         261.47
         444.92              6         368.93
         444.92              6         478.77
         444.92              6         363.17
         444.92              6         372.35
         444.92              6         172.68
         444.92              6         404.15
         444.92              6         323.76
         444.92              6         327.75
         444.92              6         278.71
         444.92              6         192.57
         444.92              6         241.89
         444.92              6         329.68
         444.92              6         375.19
         444.92              6         242.04
         444.92              6         242.71
         444.92              6         211.10
         444.92              6         215.13
         444.92              6         233.40
         444.92              6         314.81
         444.92              6         240.66
         444.92              6         208.62
         444.92              6         359.54
         444.92              6         299.65
         444.92              6         349.14
         444.92              6         164.92
         444.92              6         129.28
         444.92              6         193.29
         444.92              6         166.49
         444.92              6         410.90
         444.92              6         280.50
         444.92              6         508.91
         444.92              6         503.75
         444.92              6         438.46
         444.92              6         191.15
         444.92              6         157.62
         444.92              6         391.85
         444.92              6         231.68
         444.92              6         301.42
         444.92              6         274.19
         444.92              6         329.28
         444.92              6         412.94
         444.92              6         256.32
         444.92              6         383.99
         444.92              6         338.16
         444.92              6         235.65
         444.92              6         280.85
         444.92              6         363.09
         444.92              6         530.85
         444.92              6         194.36
         444.92              6         219.71
         444.92              6         221.15
         444.92              6         299.02
         444.92              6         478.51
         444.92              6         178.25
         444.92              6         311.78
         444.92              6         350.82
         444.92              6         232.81
         444.92              6         255.97
         444.92              6         297.66
         444.92              6         523.54
         444.92              6         218.74
         444.92              6         379.58
         444.92              6         213.84
         444.92              6         434.08
         444.92              6         259.34
         444.92              6         483.83
         444.92              6         348.42
         444.92              6         252.12
         444.92              6         237.25
         444.92              6         210.93
         444.92              6         416.26
         444.92              6         138.26
         444.92              6         229.67
         444.92              6         372.02
         444.92              6         391.84
         444.92              6         304.10
         444.92              6         251.99
         444.92              6         421.09
         444.92              6         398.19
         444.92              6         313.18
         444.92              6         385.44
         444.92              6         194.90
         444.92              6         160.49
         444.92              6         245.48
         444.92              6         147.23
         444.92              6         252.74
         444.92              6         233.62
         444.92              6         267.22
         444.92              6         206.06
         444.92              6         318.80
         444.92              6         211.04
         444.92              6         210.94
         444.92              6         345.99
         444.92              6         218.08
         444.92              6         357.84
         444.92              6         201.84
         444.92              6         525.59
         444.92              6         171.19
         444.92              6         327.28
         444.92              6         290.73
         444.92              6         220.94
         444.92              6         367.03
         444.92              6         102.71
         444.92              6         381.19
         444.92              6         133.80
         444.92              6         401.19
         444.92              6         148.06
         444.92              6         280.53
         444.92              6         469.55
         444.92              6         408.44
         444.92              6         466.42
         444.92              6         337.96
         444.92              6         363.12
         444.92              6         262.07
         444.92              6         248.71
         444.92              6         289.85
         444.92              6         487.41
         444.92              6         387.19
         444.92              6         497.48
         444.92              6         291.57
         444.92              6         361.19
         444.92              6         172.06
         444.92              6         419.41
         444.92              6         354.84
         444.92              6         232.29
         444.92              6         193.70
         444.92              6         231.40
         444.92              6         116.77
         444.92              6         462.68
         444.92              6         188.63
         444.92              6         141.39
         444.92              6         460.96
         444.92              6         187.36
         444.92              6         292.31
         444.92              6         219.72
         444.92              6         303.98
         444.92              6         209.90
         444.92              6         442.98
         444.92              6         166.58
         444.92              6         308.19
         444.92              6         238.43
         444.92              6         151.58
         444.92              6         214.96
         444.92              6         592.36
         444.92              6         275.19
         444.92              6         156.92
         444.92              6         158.95
         444.92              6         189.72
         444.92              6         380.90
         444.92              6         203.28
         444.92              6         245.36
         444.92              6         184.89
         444.92              6         118.88
         444.92              6         395.14
         444.92              6         171.19
         444.92              6         400.17
         444.92              6         333.07
         444.92              6          90.46
         444.92              6         372.23
         444.92              6         219.32
         444.92              6         385.02
         444.92              6         388.56
         444.92              6         321.69
         444.92              6         306.37
         444.92              6         239.37
         444.92              6         364.36
         444.92              6         171.21
         444.92              6         350.07
         444.92              6         143.18
         444.92              6         180.61
         444.92              6         328.34
         444.92              6         415.08
         444.92              6         247.02
         444.92              6         290.15
         444.92              6         117.53
         444.92              6         464.10
         444.92              6         273.70
         444.92              6         212.38
         444.92              6         180.53
         444.92              6         142.21
         444.92              6         488.06
         444.92              6         420.34
         444.92              6         309.56
         444.92              6         348.27
         444.92              6         302.56
         444.92              6         323.66
         444.92              6         230.27
         444.92              6         224.75
         444.92              6         387.76
         444.92              6         452.75
         444.92              6         238.61
         444.92              6         503.62
         444.92              6         293.35
         444.92              6         192.89
         444.92              6         347.33
         444.92              6         366.86
         444.92              6         279.71
         444.92              6         409.67
         444.92              6         160.93
         444.92              6         336.92
         444.92              6         257.88
         444.92              6         217.79
         444.92              6         173.81
         444.92              6         354.78
         444.92              6         498.03
         444.92              6         219.52
         444.92              6         193.96
         444.92              6         208.73
         444.92              6         291.11
         444.92              6         152.75
         444.92              6         309.09
         444.92              6         457.67
         444.92              6         485.02
         444.92              6         138.29
         444.92              6         326.33
         444.92              6         559.23
         444.92              6         222.70
         444.92              6         242.64
         444.92              6         286.16
         444.92              6         184.43
         444.92              6         209.04
         444.92              6         302.58
         444.92              6         486.74
         444.92              6         381.35
         444.92              6         552.92
         444.92              6         216.32
         444.92              6         243.15
         444.92              6         306.75
         444.92              6         327.14
         444.92              6         174.26
         444.92              6         328.86
         444.92              6         410.67
         444.92              6         261.95
         444.92              6         153.70
         444.92              6         251.43
         444.92              6         168.15
         444.92              6         255.56
         444.92              6         361.17
         444.92              6         284.44
         444.92              6         193.88
         444.92              6         210.74
         444.92              6         489.17
         444.92              6         169.20
         444.92              6         344.43
         444.92              6         245.11
         444.92              6         226.08
         444.92              6         255.52
         444.92              6         228.62
         444.92              6         341.33
         444.92              6         208.57
         444.92              6         217.77
         444.92              6         298.20
         444.92              6         142.63
         444.92              6         388.86
         444.92              6         441.78
         444.92              6         257.27
         444.92              6         521.07
         444.92              6         458.36
         444.92              6         312.00
         444.92              6         241.05
         444.92              6         408.57
         444.92              6         305.26
         444.92              6         209.37
         444.92              6         109.94
         444.92              6         389.86
         444.92              6         182.38
         444.92              6         418.82
         444.92              6         251.54
         444.92              6         206.03
         444.92              6         357.80
         444.92              6         321.93
         444.92              6         310.56
         444.92              6         399.59
         444.92              6         279.23
         444.92              6         191.20
         444.92              6         133.78
         444.92              6         241.17
         444.92              6         348.69
         444.92              6         327.91
         444.92              6         245.97
         444.92              6         189.54
         444.92              6         161.96
         444.92              6         253.81
         444.92              6         522.11
         444.92              6         297.86
         444.92              6         188.15
         444.92              6         389.54
         444.92              6         291.76
         444.92              6         437.44
         444.92              6         175.04
         444.92              6         327.06
         444.92              6         200.74
         444.92              6         217.68
         444.92              6         495.01
         444.92              6         371.06
         444.92              6         300.24
         444.92              6         215.83
         444.92              6         303.49
         444.92              6         351.77
         444.92              6         113.32
         444.92              6         201.74
         444.92              6         273.46
         444.92              6         186.60
         444.92              6         234.77
         444.92              6         225.42
         444.92              6         280.15
         444.92              6         479.70
         444.92              6         290.09
         444.92              6         398.34
         444.92              6         497.39
         444.92              6         280.56
         444.92              6         283.24
         444.92              6         265.78
         444.92              6         268.79
         444.92              6         229.51
         444.92              6         392.95
         444.92              6         228.20
         444.92              6         378.51
         444.92              6         197.75
         444.92              6         295.02
         444.92              6         212.55
         444.92              6         460.82
         444.92              6         285.32
         444.92              6         387.95
         444.92              6         454.79
         444.92              6         426.31
         444.92              6         165.86
         444.92              6         409.99
         444.92              6         143.57
         444.92              6         331.72
         444.92              6         477.92
         444.92              6         310.63
         444.92              6         248.45
         444.92              6         460.91
         444.92              6         166.96
         444.92              6         184.16
         444.92              6         205.81
         444.92              6         189.64
         444.92              6         342.84
         444.92              6         122.32
         444.92              6         350.08
         444.92              6         215.74
         444.92              6         129.76
         444.92              6         176.83
         444.92              6         170.40
         444.92              6         522.21
         444.92              6         263.95
         444.92              6         389.28
         444.92              6         411.60
         444.92              6         395.68
         444.92              6         416.22
         444.92              6         386.72
         444.92              6         240.02
         444.92              6         267.00
         444.92              6         414.49
         444.92              6         237.05
         444.92              6         244.77
         444.92              6         116.36
         444.92              6         263.85
         444.92              6         146.76
         444.92              6         359.33
         444.92              6         361.53
         444.92              6         427.98
         444.92              6         351.90
         444.92              6         371.74
         444.92              6         375.09
         444.92              6         402.81
         444.92              6         238.61
         444.92              6         157.88
         444.92              6         239.24
         444.92              6         384.42
         444.92              6         276.60
         444.92              6         286.36
         444.92              6         249.77
         444.92              6         279.81
         444.92              6         232.15
         444.92              6         437.26
         444.92              6         213.60
         444.92              6         142.64
         444.92              6         365.31
         444.92              6         361.81
         444.92              6         188.37
         444.92              6         531.82
         444.92              6         234.65
         444.92              6         107.65
         444.92              6         197.58
         444.92              6         244.83
         444.92              6         411.63
         444.92              6         138.73
         444.92              6         390.01
         444.92              6         425.75
         444.92              6         270.78
         444.92              6         264.95
         444.92              6         216.26
         444.92              6         224.21
         444.92              6         105.63
         444.92              6         330.95
         444.92              6         236.30
         444.92              6         310.30
         444.92              6         267.04
         444.92              6         367.68
         444.92              6         176.31
         444.92              6         472.85
         444.92              6         601.66
         444.92              6         111.89
         444.92              6         476.73
         444.92              6         339.89
         444.92              6         198.68
         444.92              6         194.31
         444.92              6         220.61
         444.92              6         224.75
         444.92              6         385.07
         444.92              6         240.79
         444.92              6         364.23
         444.92              6         262.18
         444.92              6         250.30
         444.92              6         129.31
         444.92              6         203.09
         444.92              6         105.83
         444.92              6         252.49
         444.92              6         238.79
         444.92              6         224.12
         444.92              6         451.72
         444.92              6         261.59
         444.92              6         292.22
         444.92              6         423.25
         444.92              6         288.35
         444.92              6         378.08
         444.92              6         341.15
         444.92              6         108.65
         444.92              6         295.77
         444.92              6         215.34
         444.92              6         279.16
         444.92              6         176.22
         444.92              6         382.06
         444.92              6         132.28
         444.92              6         302.02
         444.92              6         346.29
         444.92              6         358.81
         444.92              6         274.38
         444.92              6         207.42
         444.92              6         265.60
         444.92              6         138.20
         444.92              6         217.17
         444.92              6         344.14
         444.92              6         207.70
         444.92              6         196.61
         444.92              6         330.88
         444.92              6         277.73
         444.92              6         207.77
         444.92              6         254.02
         444.92              6         488.61
         444.92              6         480.31
         444.92              6         280.64
         444.92              6         421.69
         444.92              6         157.63
         444.92              6         100.75
         444.92              6         426.04
         444.92              6         139.78
         444.92              6         186.90
         444.92              6         227.94
         444.92              6         202.94
         444.92              6         357.70
         444.92              6         152.84
         444.92              6         305.17
         444.92              6         247.56
         444.92              6         215.25
         444.92              6         238.53
         444.92              6         368.69
         444.92              6         193.69
         444.92              6         254.60
         444.92              6         167.41
         444.92              6         180.63
         444.92              6         528.40
         444.92              6         263.46
         444.92              6         517.19
         444.92              6         452.86
         444.92              6         444.26
         444.92              6         428.22
         444.92              6         220.47
         444.92              6         232.25
         444.92              6         226.31
         444.92              6         259.45
         444.92              6         346.03
         444.92              6         301.27
         444.92              6         434.43
         444.92              6         173.90
         444.92              6         197.31
         444.92              6         263.93
         444.92              6         427.02
         444.92              6         234.36
         444.92              6         280.29
         444.92              6         358.78
         444.92              6         251.60
         444.92              6         253.10
         444.92              6         228.74
         444.92              6         185.90
         444.92              6         229.19
         444.92              6         437.61
         444.92              6         546.40
         444.92              6         327.02
