      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         593.23              7         151.61
         444.92              6         157.85
         127.12              3         434.47
          21.19              1         159.75
         593.23              7         303.00
         317.80              5         203.14
         317.80              5         253.75
         762.73              8         252.54
          63.56              2         397.07
         127.12              3         216.68
          63.56              2         197.97
         593.23              7         204.20
         317.80              5         430.45
         444.92              6         327.75
         127.12              3         234.67
         211.87              4         181.75
          21.19              1         123.58
         444.92              6         278.71
          21.19              1         176.94
         211.87              4         302.49
          21.19              1         225.98
          21.19              1         412.79
         317.80              5         326.85
          63.56              2         537.46
         444.92              6         215.13
         317.80              5         211.11
          21.19              1         168.93
           0.00              0         263.02
          21.19              1         275.66
         593.23              7         239.63
         444.92              6         240.66
         127.12              3         245.29
         317.80              5         251.87
         211.87              4         525.39
          63.56              2         421.14
         127.12              3         409.23
         317.80              5         187.80
          63.56              2         179.96
         444.92              6         129.28
         444.92              6         280.50
         127.12              3         237.38
         317.80              5         155.58
          63.56              2         289.64
          63.56              2         431.03
         211.87              4         199.67
         211.87              4         378.66
           0.00              0         370.25
         127.12              3         340.74
         127.12              3         231.32
         127.12              3         510.99
         953.41              9         106.40
         317.80              5         321.62
         593.23              7         344.63
         317.80              5         241.15
         127.12              3         166.47
         211.87              4         218.23
          63.56              2         168.32
         211.87              4         336.17
         317.80              5         273.32
         127.12              3         128.98
          21.19              1         481.57
         211.87              4         229.08
         127.12              3         516.51
         317.80              5         478.05
         211.87              4         191.66
         317.80              5         119.10
         317.80              5         195.23
         127.12              3         204.85
         593.23              7         224.67
         127.12              3         292.07
         127.12              3         272.35
          63.56              2         347.53
          21.19              1         243.21
          63.56              2         298.19
          21.19              1         376.48
          63.56              2         437.36
         127.12              3         426.57
         953.41              9         308.93
         211.87              4         323.00
         127.12              3         322.98
           0.00              0         144.36
         444.92              6         252.12
          63.56              2         357.22
         317.80              5         226.55
          21.19              1         545.14
         444.92              6         391.84
          21.19              1         489.48
         317.80              5         215.54
         211.87              4         237.42
         127.12              3         108.18
         127.12              3         235.78
         211.87              4         253.50
         317.80              5         291.37
          21.19              1         312.87
         317.80              5         283.26
         211.87              4         228.38
         127.12              3         222.06
