      #Hard ZPE           #J=6              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         482.24              6         151.61
         430.41              6         157.85
         398.28              6         327.75
         362.35              6         278.71
         401.13              6         215.13
         397.49              6         129.28
         381.45              6         280.50
         388.40              6         157.62
         362.84              6         523.54
         423.21              6         224.75
         342.67              6         437.26
         360.38              6         142.64
         389.46              6         188.37
         425.25              6         411.63
         362.92              6         216.26
         350.80              6         224.21
         347.56              6         105.63
         434.61              6         364.23
         335.24              6         105.83
         424.70              6         451.72
         355.37              6         261.59
         339.67              6         215.34
         509.39              6         254.02
         428.40              6         357.70
         447.16              6         152.84
         334.62              6         437.61
         416.03              6         165.86
         425.52              6         409.99
         403.44              6         240.02
         381.58              6         163.60
         425.53              6         316.62
         344.70              6         339.75
         329.22              6         234.77
         377.68              6         268.37
         499.34              6         399.87
         512.41              6         427.56
         331.11              6         173.90
         436.58              6         366.79
         368.32              6         197.85
         419.15              6         133.78
         359.36              6         215.62
         364.60              6         187.36
         345.78              6         171.19
         411.38              6         400.17
         363.15              6         188.63
         411.36              6         276.87
         423.34              6         209.30
         378.66              6         313.46
         421.06              6         500.30
         422.19              6         241.05
         372.44              6         309.03
         587.93              6         357.19
         337.32              6         251.43
         414.06              6         565.64
         332.25              6         548.19
         472.38              6         420.07
         344.88              6         367.03
         410.70              6         102.71
         415.23              6         219.32
         393.89              6         385.02
         361.77              6         388.56
         356.45              6         237.05
         381.10              6         406.08
         426.79              6         335.23
         450.09              6         458.21
         532.40              6         252.61
         359.63              6         157.84
         387.64              6         188.85
