 #No_Constraint #No_Constraint #No_Constraint
   #Erot(W)cm-1             #J    #Speed(m/s)
         120.55              2         473.38
         126.11              2        1114.45
         129.08              2         348.22
         118.40              2         451.26
         124.48              2         271.10
         123.07              2         553.08
         124.18              2         983.80
         126.45              2         582.90
         131.91              2         627.26
         123.76              2         463.48
         123.08              2         361.80
         133.95              2         565.00
         116.91              2         273.04
         117.24              2        1059.47
         126.30              2        1086.15
         123.83              2         228.26
         129.70              2         465.73
         121.05              2         700.08
         116.63              2         432.48
         126.78              2         270.32
         128.45              2         574.41
         126.93              2         474.36
         129.34              2         821.94
         117.92              2         752.89
         120.46              2         358.50
         121.19              2         429.78
         116.58              2         367.86
         132.64              2         487.21
         128.94              2         761.44
         116.68              2         456.85
         120.16              2         461.83
         125.14              2         203.54
         134.23              2         257.15
         124.29              2         415.40
         134.27              2         492.56
         120.35              2         360.15
         134.85              2         582.65
         133.45              2         877.45
         127.98              2         400.68
         116.13              2         461.79
         134.75              2         169.91
         120.10              2         741.51
         121.84              2         345.13
         130.50              2         316.72
         116.34              2         342.68
         128.69              2         510.00
         133.40              2         696.20
         118.06              2         634.26
         120.60              2         593.27
         126.22              2         223.17
         123.50              2         531.02
         129.69              2         526.61
         127.64              2         310.36
         121.64              2         886.80
         125.19              2         759.13
         129.67              2         219.19
         129.87              2         693.14
         117.92              2         525.95
         128.35              2         502.75
         133.97              2         422.28
         133.46              2         822.44
         122.18              2         430.39
         130.21              2         238.01
         120.50              2         210.40
         127.67              2         665.32
         125.75              2         406.14
         116.55              2         660.66
         119.34              2         762.50
         118.65              2         607.10
         118.65              2         525.15
         120.26              2         488.57
         133.38              2         403.98
         122.45              2         575.15
         116.14              2         193.86
         125.98              2         416.60
         134.94              2         441.35
         124.25              2         378.62
         134.09              2         448.37
         122.05              2         263.28
         123.10              2         354.64
         134.34              2         189.48
         118.17              2         752.87
         129.77              2         549.56
         130.40              2         333.21
         123.20              2         838.95
         130.04              2         475.02
         125.98              2        1021.06
         123.88              2         246.76
         129.03              2        1231.52
         117.07              2         444.13
         118.89              2         412.81
         117.37              2         371.18
         134.25              2         224.76
         118.98              2         520.79
         118.56              2         266.49
         126.12              2         692.36
         127.39              2         932.30
         129.69              2         866.67
         119.16              2         352.96
         116.43              2         347.69
         121.49              2         394.51
         132.80              2         258.00
         127.26              2         384.73
         116.23              2         675.85
         126.49              2         453.23
         135.49              2         356.34
         116.76              2         368.15
         128.98              2        1126.91
         122.16              2         204.33
         124.21              2         635.08
         130.40              2         581.24
         121.97              2         718.77
         131.44              2         859.82
         124.68              2         598.85
         122.63              2         267.00
         125.62              2         292.61
         124.49              2         497.55
         133.30              2         372.61
         117.67              2         603.59
         131.43              2         407.61
         131.04              2         510.04
         127.52              2         628.27
         124.26              2         321.33
         122.59              2         396.90
         125.72              2         197.66
         117.90              2         352.64
         116.54              2         331.11
         116.39              2         410.17
         130.07              2         340.40
         125.62              2         906.14
         115.84              2         390.44
         118.65              2         775.38
         128.13              2         776.53
         123.05              2         410.66
         116.58              2         188.39
         129.11              2         759.02
         121.89              2         559.76
         121.83              2         302.78
         120.87              2         471.09
         117.69              2         579.27
         127.19              2         451.77
         116.20              2         349.08
         132.07              2        1039.97
         117.94              2         458.50
         132.17              2         361.56
         126.66              2         576.40
         125.85              2         745.38
         127.26              2         743.13
         115.88              2         725.81
         134.60              2         354.25
         126.67              2         676.89
         121.90              2         661.89
         129.60              2         587.45
         124.67              2         316.90
         124.13              2         636.06
         123.77              2        1177.63
         129.94              2         498.90
         131.04              2         588.88
         127.90              2         392.34
         130.05              2         426.93
         132.24              2         897.79
         119.57              2          97.60
         120.85              2         532.69
         134.95              2         569.58
         119.25              2         530.73
         116.29              2         913.52
         124.62              2         510.09
         116.15              2         524.25
         118.68              2         739.59
         122.98              2         642.81
         130.67              2         380.12
         135.26              2         602.00
         122.19              2         639.75
         124.55              2         391.38
         123.75              2         426.56
         128.78              2        1133.14
         128.84              2         590.42
         116.07              2         346.95
         123.71              2         389.46
         119.15              2         865.78
         124.65              2         142.75
         116.58              2         316.57
         120.16              2         258.20
         133.13              2         242.50
         133.27              2         902.86
         118.70              2         611.80
         127.62              2         611.70
         119.55              2         626.40
         125.92              2         394.55
         133.29              2         321.89
         124.25              2         367.61
         124.18              2         666.61
         124.25              2         444.92
         132.89              2         450.40
         118.45              2         556.05
         123.02              2         756.06
         126.40              2         274.83
         116.24              2         525.14
         121.51              2         398.70
         124.16              2         144.96
         118.06              2         925.03
         125.55              2         262.70
         129.19              2         131.04
         127.86              2         268.67
         119.11              2         610.86
         119.49              2         463.54
         120.70              2         726.87
         123.43              2         520.20
         118.92              2         986.85
         123.16              2         257.52
         116.95              2        1061.31
         120.29              2         634.89
         124.78              2         598.59
         117.95              2         337.22
         128.26              2         710.96
         129.01              2         235.44
         128.13              2         751.23
         116.30              2         531.56
         130.36              2         423.73
         133.77              2         572.56
         119.08              2         653.13
         121.34              2         596.32
         131.83              2         517.24
         116.74              2         405.93
         117.99              2         254.00
         128.80              2         503.72
         132.58              2         559.63
         127.10              2         442.08
         133.29              2         445.89
         128.28              2         529.81
         124.91              2         243.42
         123.63              2        1153.55
         120.57              2         287.03
         122.17              2         743.43
         117.94              2         565.28
         120.54              2         380.45
         123.82              2         276.86
         122.45              2         553.60
         126.27              2         582.81
         116.95              2         740.36
         124.43              2         509.46
         128.12              2         275.63
         132.75              2         495.64
         116.03              2         351.07
         129.33              2         189.97
