    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         438.74              6         504.63
          52.41              2         628.63
          74.59              2         601.06
         950.03              5         597.62
         535.73              7         770.13
         257.98              4         265.76
         134.11              3         663.50
          62.61              2         332.20
         481.62              6         484.99
         159.29              3         719.64
         334.71              4         582.72
         189.69              3         436.36
          76.66              2         564.75
         522.75              6         483.66
         379.20              5         893.17
         322.98              5         236.52
         141.97              3         320.06
         637.78              8         556.37
        1125.53              9        1009.74
         255.00              3         312.50
          50.86              2         444.42
         138.55              2         447.50
         246.58              4         429.14
         137.93              2         471.06
          33.43              1         672.58
        1042.54             10         232.17
          77.61              2         699.71
         236.70              3         343.74
         324.93              5         451.21
         917.88              7         404.13
         440.02              5         530.01
         255.38              4         435.07
         470.41              5         541.30
         423.61              5         383.24
         145.68              3         581.46
          74.88              2         198.27
          31.66              1         312.81
         479.99              4         536.65
         270.25              4         512.14
         279.19              4         676.73
         318.30              3         392.91
         297.38              5         190.28
          98.27              2         718.41
         126.11              2        1114.45
         526.09              4         268.27
         370.86              5         226.41
         261.17              4         555.13
          43.73              2         521.44
         280.26              5         558.87
         316.92              4         478.53
         339.51              5         756.72
         815.22              8        1138.41
         323.10              4         472.04
         245.33              5         454.61
         794.05              8         320.87
         171.03              4         740.75
         206.73              4         446.34
         383.95              6         771.76
         293.39              5         434.66
          33.65              1         258.42
         357.59              4         517.01
         491.27              6         706.61
         395.67              4         399.74
         472.23              5         601.57
         280.02              5         396.60
         238.98              4         188.80
         251.08              4         292.41
         502.56              6         160.62
          28.18              1         590.01
          14.65              1         412.66
         299.55              5         292.93
         943.84              6         488.99
          84.04              2         403.48
         949.71              8         480.17
         416.73              6         418.05
         207.09              3         288.43
          19.75              1         342.36
         209.73              3         354.16
         182.42              3         764.79
         257.90              3         605.75
         129.08              2         348.22
         100.62              3         341.83
         326.25              4         446.76
         509.04              6         318.90
        1203.37             11         487.51
         176.36              3         454.18
         457.12              6         508.19
         486.59              4         409.07
         509.76              7         473.32
         391.53              5         430.82
         455.57              4         343.23
         877.78              5         209.97
         446.49              6         379.45
         153.54              3         417.76
         573.97              6         823.14
         377.27              5         824.74
         810.94              8         493.92
         455.62              5         396.22
         282.05              4         436.61
         496.03              6         361.94
         377.41              5         811.08
         850.51              7         590.45
         231.14              4         401.04
         177.09              3         518.61
         180.54              4         612.33
         202.23              3         214.41
         500.33              7         239.19
         102.68              3         678.70
         101.23              3         704.34
         446.37              6         473.24
         106.09              2         622.77
         547.38              4         718.11
         231.57              4         200.79
         281.95              4         750.00
         133.94              3         277.26
         445.32              7         279.47
         445.59              5         633.04
         307.18              5         338.49
          71.93              2         517.34
         550.66              6         427.20
          26.09              1         391.05
         188.35              2         282.34
         679.23              8         155.41
          94.88              2         423.84
         331.54              4         572.33
         364.09              5         151.55
         161.83              2         236.44
         343.61              5         894.04
         297.70              5         645.93
         585.55              6         548.89
         538.25              7         126.25
         242.36              4         243.36
         798.05              6        1115.58
         821.60              8         808.36
         453.24              4         457.53
         764.23              6         458.18
         349.50              5         609.12
          25.15              1         587.89
         527.15              5         635.48
         258.17              3        1109.48
         270.49              4         445.50
         607.48              4         858.91
         255.25              3         354.65
          62.77              1         289.18
         530.69              5         880.92
        1092.46              6         561.29
          52.54              2         288.80
         285.19              5         409.79
         180.53              4         560.39
         293.04              4         493.57
         360.37              5        1103.92
         403.89              5         690.87
         163.96              3         622.79
         476.56              5         335.41
         368.98              5         228.53
         153.01              3         769.27
           5.47              0         325.96
         485.86              5         561.50
         393.59              6         484.25
         265.20              5         625.55
         712.09              7         637.22
          55.47              1         903.78
         388.79              4         555.96
         149.42              2         558.41
          32.23              1         613.32
         141.76              3        1445.53
          98.72              2         260.52
         181.95              3         520.37
         252.16              4         227.20
         530.68              6         441.22
         165.30              3         624.88
        1157.13             10         601.10
         459.36              5         772.69
         332.25              5         257.47
         211.22              4         779.19
         166.76              2         436.46
         249.18              4         630.57
         105.18              2         248.84
         262.32              3         433.21
           7.94              0         297.36
         189.68              3         342.33
         209.81              4         289.50
         152.12              3         711.62
         277.50              4         434.39
         230.17              5         349.82
         565.14              5         381.84
         551.31              5         275.87
         210.96              3         530.84
         149.25              4         524.53
         208.67              4         686.80
         380.26              4         609.77
         646.53              6         442.29
         337.44              6         471.12
        1305.56              8         376.59
         261.11              5         346.70
          20.23              1         556.90
          63.46              2        1039.96
         257.14              4         368.06
          78.53              3         187.30
         119.54              3         706.28
         273.16              3         598.13
         261.57              3         257.90
         732.46              7         504.07
          40.04              1         533.72
         101.55              3         664.88
         182.12              3         562.93
         411.57              4         236.08
         475.04              6         915.40
         998.83              9         170.49
          51.56              2         617.03
         290.81              4         670.32
         761.47              6         362.69
         235.39              3         448.20
          89.15              3         658.25
         235.66              4         423.03
         136.67              3         151.73
          52.47              2         269.65
          85.10              1         740.26
          86.29              2        1017.89
         365.01              5         189.79
          10.82              1         668.76
         491.85              5         774.23
         420.43              5         616.71
         276.72              3         742.67
         287.36              5         227.00
         473.94              6         805.13
         384.00              6         944.17
         105.32              2         540.91
         397.59              4         847.41
         309.12              3         264.50
         813.78              6         527.34
        1030.71              8         621.85
         465.45              6         394.27
         615.30              6         336.15
         396.82              5         316.39
        1017.08              7         315.55
         233.48              3         342.03
         263.23              4         474.45
          95.27              2         402.91
         634.30              6         199.55
