    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         126.11              2        1114.45
         129.08              2         348.22
         133.95              2         565.00
         116.91              2         273.04
         129.70              2         465.73
         129.34              2         821.94
         116.58              2         367.86
         132.64              2         487.21
         134.23              2         257.15
         116.13              2         461.79
         129.69              2         526.61
         127.64              2         310.36
         129.87              2         693.14
         133.46              2         822.44
         120.50              2         210.40
         127.67              2         665.32
         120.26              2         488.57
         125.98              2         416.60
         134.94              2         441.35
         117.07              2         444.13
         117.37              2         371.18
         134.25              2         224.76
         129.69              2         866.67
         116.43              2         347.69
         121.49              2         394.51
         132.80              2         258.00
         126.49              2         453.23
         128.98              2        1126.91
         122.16              2         204.33
         130.40              2         581.24
         121.97              2         718.77
         131.04              2         510.04
         127.52              2         628.27
         117.90              2         352.64
         130.07              2         340.40
         116.58              2         188.39
         121.89              2         559.76
         117.94              2         458.50
         125.85              2         745.38
         134.60              2         354.25
         126.67              2         676.89
         121.90              2         661.89
         130.05              2         426.93
         124.62              2         510.09
         122.98              2         642.81
         122.19              2         639.75
         124.65              2         142.75
         124.18              2         666.61
         132.89              2         450.40
         118.45              2         556.05
         116.24              2         525.14
         124.16              2         144.96
         118.06              2         925.03
         125.55              2         262.70
         119.49              2         463.54
         123.43              2         520.20
         118.92              2         986.85
         120.29              2         634.89
         130.36              2         423.73
         131.83              2         517.24
         116.74              2         405.93
         128.80              2         503.72
         123.63              2        1153.55
         116.03              2         351.07
