   #Erot(W)cm-1             #J    #Speed(m/s)
         236.70              3         343.74
         209.73              3         354.16
         210.96              3         530.84
         235.39              3         448.20
         233.48              3         342.03
         217.22              3         249.04
         247.57              3         467.91
         218.05              3         491.69
         227.08              3         583.04
         225.70              3         608.85
         236.86              3         432.50
         214.82              3         456.06
         229.11              3         344.45
         237.08              3         314.00
         230.22              3         899.47
         237.49              3         701.25
         218.27              3         215.11
         220.18              3         367.41
         223.27              3         257.86
         229.59              3         189.68
         218.03              3         396.60
         244.90              3         759.29
         223.33              3         388.41
         242.23              3         534.34
         210.76              3         280.69
         246.19              3         778.36
         221.76              3         696.03
         209.82              3         708.09
         232.99              3         352.28
         232.11              3         509.63
         233.45              3         415.09
         212.82              3         228.79
         240.47              3         544.80
         246.03              3         686.75
         210.03              3         189.24
         221.75              3         218.38
         223.86              3         521.39
         241.80              3         302.87
         236.14              3         661.52
         216.69              3         503.49
         230.93              3         364.39
         241.82              3          45.74
         238.10              3         415.22
         219.91              3         681.38
         240.02              3         338.19
         230.86              3         283.40
         235.79              3         316.20
         210.83              3         120.31
         239.66              3         260.01
         211.08              3         773.56
         238.59              3         106.35
         218.58              3         267.81
         218.26              3         756.61
         222.27              3         731.80
         237.25              3         430.20
         232.38              3         374.84
         243.30              3         452.12
         233.06              3         640.23
         248.03              3         278.96
         210.94              3         344.14
         237.92              3         704.23
         211.34              3         558.22
         223.78              3         235.94
         231.95              3        1206.60
         223.74              3         563.03
         235.31              3         515.99
         225.10              3         679.12
         218.19              3         610.45
         223.08              3         816.14
         221.11              3         358.12
         225.31              3         248.50
         210.33              3         352.67
         245.51              3         284.63
         247.85              3         490.26
         240.59              3         440.40
         221.67              3         577.37
         227.98              3         263.13
         212.59              3         269.51
         230.95              3         772.13
         237.13              3         555.15
         216.45              3         395.76
         212.28              3         603.73
         224.78              3         780.39
         211.47              3         537.67
         233.26              3         496.33
         209.51              3         465.07
         225.75              3         774.79
         221.02              3         386.22
         225.83              3         285.70
         244.25              3         763.18
         232.86              3         238.15
         217.43              3         460.00
         216.32              3         412.23
         241.25              3         248.58
         240.84              3         170.85
         221.84              3         308.09
         228.26              3         651.43
         212.00              3         438.51
         218.73              3         696.12
         214.68              3         534.86
         240.54              3         541.37
         218.27              3         295.67
         242.98              3         407.47
         227.20              3         481.63
         215.10              3         597.08
         237.07              3         310.40
         246.61              3         630.22
         209.32              3         377.46
         232.27              3         404.97
         223.75              3         338.50
         237.32              3         839.33
         220.13              3         440.92
         226.47              3         603.08
         222.90              3         547.48
         226.05              3         367.08
         240.02              3        1060.10
         222.28              3         601.81
         221.42              3         225.38
         227.13              3         624.61
         227.24              3         449.46
         224.98              3         297.37
         243.01              3         443.48
         220.01              3         500.72
         216.62              3         383.63
         221.83              3         423.86
         236.72              3         563.54
         221.57              3         344.67
         244.78              3         690.99
         219.95              3         973.57
         216.35              3         739.19
         216.67              3         304.66
         231.58              3         823.96
         220.74              3         745.44
         217.68              3         765.59
         240.39              3         582.27
         240.31              3         678.56
         220.56              3         814.36
         216.51              3         447.32
