      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         178.54              3         423.10
          76.94              2         315.64
         157.25              2         600.99
          52.41              2         628.63
          74.59              2         601.06
         153.82              3         363.92
          60.12              2         441.57
         138.11              2         483.44
         257.98              4         265.76
          34.70              1         399.07
         168.20              3         314.61
         133.49              3         554.31
          74.10              2         559.62
          83.03              2         506.91
          73.21              2         366.56
         134.11              3         663.50
          62.61              2         332.20
         197.17              4         586.50
          24.16              1         535.53
         189.69              3         436.36
          76.66              2         564.75
          82.89              2         525.12
         322.98              5         236.52
         145.60              3         270.86
         141.97              3         320.06
          84.93              2         260.40
         231.33              4         435.75
          45.07              2         438.56
         237.65              3         202.80
          89.92              2         266.15
          50.86              2         444.42
         179.66              3         410.25
         138.55              2         447.50
         457.83              7         196.70
         246.58              4         429.14
         120.55              2         473.38
          88.74              2         437.56
         137.93              2         471.06
          33.43              1         672.58
          19.42              1         415.32
          77.61              2         699.71
         142.11              3         576.50
         104.80              3         484.28
         236.70              3         343.74
         324.93              5         451.21
         303.77              4         342.25
          79.89              2         500.93
         423.61              5         383.24
         145.68              3         581.46
          74.88              2         198.27
         277.58              3         403.62
          31.66              1         312.81
         401.18              3         228.21
         318.30              3         392.91
         297.38              5         190.28
          56.39              2         262.26
          98.27              2         718.41
         307.11              5         515.24
         370.86              5         226.41
         217.80              3         524.09
          97.53              2         466.92
         177.04              3         673.00
          43.73              2         521.44
          22.89              1         271.02
          47.48              1         387.10
         185.84              3         521.05
         323.10              4         472.04
         240.93              3         366.14
          43.18              1         462.09
         250.94              3         211.34
          98.06              2         550.29
         206.73              4         446.34
         202.61              4         308.55
         147.32              3         406.12
         293.39              5         434.66
          33.65              1         258.42
         173.93              3         240.08
         207.13              3         315.90
         241.49              3         509.53
         437.62              5         151.83
         559.39              7         334.96
         238.98              4         188.80
          94.28              2         178.30
         251.08              4         292.41
         214.31              3         398.01
         502.56              6         160.62
          43.84              1         426.71
          30.40              1         630.40
          28.18              1         590.01
          14.65              1         412.66
         299.55              5         292.93
         315.68              5         255.15
          63.79              1         562.52
          93.53              3         231.67
          84.04              2         403.48
         348.93              4         455.82
         346.54              6         288.01
         207.09              3         288.43
          19.75              1         342.36
         209.73              3         354.16
         112.40              2         610.22
         129.08              2         348.22
         118.40              2         451.26
         100.62              3         341.83
         242.65              4         289.78
          11.26              0         603.31
         326.25              4         446.76
         319.74              5         487.14
         110.95              2         468.12
         175.75              4         531.71
         176.36              3         454.18
         198.63              3         243.95
