      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         237.65              3         202.80
         236.70              3         343.74
         217.80              3         524.09
         240.93              3         366.14
         241.49              3         509.53
         214.31              3         398.01
         209.73              3         354.16
         234.37              3         608.14
         222.62              3         150.22
         239.36              3         352.61
         222.81              3         177.49
         213.13              3         170.36
         213.88              3         528.58
         233.48              3         342.03
         216.91              3         418.82
         211.53              3         426.45
         217.22              3         249.04
         247.57              3         467.91
         218.05              3         491.69
         210.33              3         164.12
         227.08              3         583.04
         225.70              3         608.85
         230.24              3         305.90
         211.44              3         463.19
         236.86              3         432.50
         214.82              3         456.06
         219.70              3         278.27
         229.11              3         344.45
         237.08              3         314.00
         248.31              3         508.49
         242.05              3         359.09
         239.50              3         470.40
         228.45              3         250.02
         218.27              3         215.11
         213.27              3         611.72
         223.27              3         257.86
         238.18              3         274.14
         229.59              3         189.68
         218.03              3         396.60
         230.91              3         113.33
         220.20              3         283.75
         213.14              3         520.64
         228.70              3         311.10
         242.23              3         534.34
         229.64              3         245.99
         230.98              3         252.37
         221.46              3         517.53
         237.88              3         398.66
         212.89              3         611.14
         229.54              3         358.34
         212.86              3         521.89
         220.11              3         559.14
         232.99              3         352.28
         225.13              3         189.92
         215.22              3         540.56
         233.45              3         415.09
         212.82              3         228.79
         211.69              3         534.19
         221.75              3         218.38
         240.95              3         497.51
         233.67              3         573.68
         223.86              3         521.39
         236.73              3         483.11
         237.25              3         340.64
         216.50              3         218.66
         241.80              3         302.87
         214.74              3         363.10
         215.08              3         509.36
         224.31              3         263.64
         240.76              3         546.87
         210.89              3         424.39
         228.76              3         535.76
         216.69              3         503.49
         209.48              3         602.31
         230.93              3         364.39
         241.82              3          45.74
         238.10              3         415.22
         210.24              3         499.25
         244.13              3         417.72
         240.02              3         338.19
         211.09              3         379.31
         230.86              3         283.40
         224.08              3         461.37
         235.79              3         316.20
         210.83              3         120.31
         240.16              3         410.26
         239.66              3         260.01
         216.71              3         222.72
         216.24              3         116.89
         220.11              3         171.75
         238.59              3         106.35
         218.58              3         267.81
         248.50              3         573.08
         227.68              3         251.83
         227.78              3         359.44
         237.25              3         430.20
         232.38              3         374.84
         215.43              3         489.13
         223.48              3         441.27
         235.05              3         601.51
         233.06              3         640.23
         227.87              3         443.02
         248.03              3         278.96
         239.26              3         497.47
         245.35              3         430.66
         217.18              3         327.44
         215.16              3         120.61
         237.78              3         199.41
         226.98              3         623.85
         220.40              3         336.99
         213.78              3         563.69
         247.41              3         329.77
         211.34              3         558.22
         223.78              3         235.94
         233.24              3         329.88
         233.80              3         340.60
         239.59              3         131.79
         242.97              3         438.19
         235.31              3         515.99
         218.19              3         610.45
         243.17              3         511.51
         248.57              3         190.78
         244.54              3         277.80
         223.68              3         163.81
         245.46              3         411.31
         225.13              3         473.40
         221.65              3         555.37
         226.90              3         232.82
         246.66              3         235.70
         238.68              3         554.22
         218.90              3         196.06
         220.91              3         357.25
         243.69              3         528.07
         222.74              3         429.35
         225.31              3         248.50
         210.33              3         352.67
         231.28              3         386.06
         215.88              3         373.86
         209.73              3         217.09
         245.51              3         284.63
         227.88              3         564.80
         247.85              3         490.26
         221.67              3         577.37
         227.98              3         263.13
         212.59              3         269.51
         227.23              3         383.31
         245.02              3         397.80
         216.45              3         395.76
         211.43              3         544.87
         236.60              3         367.51
         221.30              3         338.51
         221.12              3         444.81
         220.54              3         315.74
         213.42              3         283.98
         233.26              3         496.33
         219.07              3         489.62
         209.51              3         465.07
         221.02              3         386.22
         225.83              3         285.70
         232.86              3         238.15
         235.12              3         390.06
         209.97              3         429.20
         217.43              3         460.00
         210.61              3         463.91
         216.32              3         412.23
         241.25              3         248.58
         224.86              3         511.44
         212.03              3         391.19
         223.26              3         330.82
         240.84              3         170.85
         227.97              3         620.06
         231.06              3         477.82
         221.84              3         308.09
         240.68              3         427.64
         219.33              3         372.81
         238.04              3         364.92
         228.23              3         415.98
         242.04              3         430.77
         218.27              3         295.67
         242.98              3         407.47
         230.21              3         457.44
         227.20              3         481.63
         244.53              3         306.39
         222.81              3         470.52
         237.07              3         310.40
         209.32              3         377.46
         232.27              3         404.97
         223.75              3         338.50
         235.46              3         280.24
         234.77              3         311.34
         211.05              3         385.02
         247.76              3         504.66
         226.47              3         603.08
         217.12              3         201.88
         222.90              3         547.48
         225.72              3         547.08
         245.37              3         130.67
         226.05              3         367.08
         234.04              3         243.81
         238.39              3         519.29
         222.71              3         372.60
         218.07              3         239.77
         222.98              3         274.47
         242.24              3         240.45
         240.76              3         193.69
         227.17              3         408.83
         222.28              3         601.81
         221.42              3         225.38
         247.09              3         408.63
         227.24              3         449.46
         221.86              3         571.39
         224.98              3         297.37
         213.71              3         421.17
         239.86              3         415.14
         236.65              3         371.15
         220.01              3         500.72
         234.88              3         422.93
         216.62              3         383.63
         221.83              3         423.86
         245.75              3         454.02
         242.33              3         476.60
         223.90              3         475.77
         244.57              3         211.70
         226.06              3         352.50
         222.10              3         499.77
         245.12              3         545.54
         209.85              3         399.86
         221.57              3         344.67
         231.74              3         554.09
         244.26              3         404.97
         216.67              3         304.66
         222.77              3         279.65
         240.39              3         582.27
         240.65              3         339.52
         222.62              3         235.01
         209.65              3         465.32
         237.83              3         353.65
         239.40              3         414.09
         234.02              3         329.66
         224.98              3         367.30
         215.01              3         374.86
         212.18              3         487.70
