      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
          62.61              2         332.20
          50.86              2         444.42
          74.88              2         198.27
          31.66              1         312.81
         370.86              5         226.41
         207.09              3         288.43
         209.73              3         354.16
         255.25              3         354.65
          78.53              3         187.30
          40.04              1         533.72
         182.12              3         562.93
          52.47              2         269.65
          99.32              2         420.60
         146.06              3         220.33
         226.23              4         433.64
          65.56              2         355.81
         109.40              2         555.55
          32.43              1         338.91
         147.67              3         156.02
         327.51              5         355.39
         168.82              3         354.60
         142.66              2         293.04
           5.96              0         230.34
         213.93              4         568.01
         203.32              3         336.66
         229.11              3         344.45
         401.42              5         145.57
          65.26              2         546.16
          53.74              1         185.86
          27.57              1         215.11
         376.70              5         268.18
          75.82              2         396.82
         274.16              3         283.79
         125.82              3         581.12
         196.42              3         424.97
          52.68              1         164.53
         185.98              3         107.56
         163.33              3         476.32
          55.12              2         448.28
         272.94              4         489.96
         121.20              3         359.57
          55.73              2         198.73
         198.11              3         251.98
         168.94              4         403.34
          14.15              1         291.31
         337.20              5         388.05
         148.87              2         406.93
          71.51              2         174.72
         274.92              5         450.17
         414.13              5         182.99
         105.53              2         223.36
         185.43              3         490.43
         132.05              3         547.59
         255.68              3         356.24
         310.65              4         316.98
         141.31              2         269.61
         256.29              3         351.37
          15.19              1         327.62
         171.22              2         196.74
          89.81              3         253.19
         221.75              3         218.38
          67.78              1         454.47
         130.77              3         401.07
         253.51              4         275.41
          22.57              1         347.00
         103.22              2         299.01
           6.39              0         319.51
         150.57              2         364.59
         217.71              4         288.89
         120.26              2         488.57
          43.86              1         530.84
          48.70              1         341.39
         166.74              3         358.82
         106.12              3         510.06
         135.75              3         234.97
          62.18              2         604.44
         179.26              3         429.40
         288.86              3         282.29
          38.75              2         170.67
         142.67              3         415.31
          40.76              1         486.55
          90.93              2         425.34
         149.37              2         173.02
         238.10              3         415.22
         271.58              5         365.81
         102.29              3         427.99
          45.41              1         480.21
         179.74              3         301.53
         114.04              3         429.39
          68.87              2         431.23
         119.19              3         136.55
          84.67              2         264.95
         191.93              2         282.75
          91.49              2         199.24
         225.52              4         296.70
         289.04              4         176.40
         154.18              3         361.56
         266.02              5         456.51
         153.62              3         147.95
         120.69              3         342.13
          25.13              1         345.08
         246.43              4         102.53
         190.84              3         382.31
         296.85              3         405.39
         180.73              4         564.07
          26.85              1         301.70
         189.92              3         523.81
         149.52              2         289.54
         427.50              4         104.09
         122.16              2         204.33
         377.81              5         273.07
         102.64              2         244.53
         100.03              2         426.66
         103.28              2         361.49
          52.12              2         482.66
          48.81              1         183.81
          59.14              2         250.61
         298.09              5          97.12
          76.26              2         259.04
         146.89              3         435.19
          79.07              2         168.63
         285.81              5         175.19
         308.49              4         166.77
          46.69              1         244.69
          83.27              2         361.37
         139.58              3         411.39
         293.40              4         461.09
          35.33              1         316.02
         183.47              4         486.71
         247.71              4         461.76
          64.44              2         354.63
         304.23              5         289.66
         161.27              2         209.72
         235.31              3         515.99
         180.39              3         202.87
         166.27              4         259.45
         382.21              5         288.92
         145.11              3         468.03
         437.76              5         272.14
          78.66              1         502.37
         276.30              4         119.05
         200.39              4         269.34
         163.07              3         152.71
         345.63              4         254.55
           7.79              1         477.13
         351.35              4         159.80
         111.77              2         402.94
         369.44              5         242.72
         277.52              5         211.24
         156.14              4         354.79
         210.33              3         352.67
         208.50              5         439.51
          64.86              2         225.07
         170.65              3         241.36
          42.17              2         259.45
         110.78              3         193.34
         366.15              5         361.05
         165.41              3         416.21
         104.21              2         272.70
         387.89              4         287.30
         159.15              2         499.61
          90.41              2         297.11
         287.51              4         510.72
         346.92              3         343.36
         291.18              4         363.51
           5.58              0         464.39
         151.23              3         318.47
         148.82              2         400.13
         315.12              4         231.37
         195.08              4         233.20
          37.56              1         350.88
          32.06              1         362.32
         134.77              3         566.21
         147.00              3         226.81
          39.81              1         389.19
         146.37              4         259.75
         291.69              4         169.50
         438.02              6         310.24
         152.64              3         169.94
         233.76              4         113.66
         136.50              2         237.72
         109.92              2         339.90
         167.29              3         373.24
          24.00              1         128.80
         161.54              3         254.95
         278.22              4         230.70
          50.85              1         409.66
         191.63              2         565.13
          42.72              2         371.20
         421.97              5         224.39
         115.00              3         470.68
         237.07              3         310.40
         132.63              3         295.23
         148.73              3         383.31
         183.25              3         303.41
         125.75              3         211.88
          20.01              1         215.06
          69.29              2         366.81
         197.28              3         299.27
         316.35              5         332.23
         368.06              4         206.99
         161.57              3         602.09
         316.92              4         286.37
         111.37              2         193.46
         131.62              3         458.71
         344.09              4         374.96
         190.19              3         288.62
          28.41              1         229.95
         189.56              4         448.49
         145.57              2         481.03
          41.80              2         240.91
          23.20              1         561.37
          18.25              1         495.12
         309.78              5         407.80
          85.58              3         324.87
          86.74              2         448.56
         183.10              4         381.42
         320.91              4         309.56
         170.56              3         406.61
          75.95              2         192.53
         169.73              4         155.32
         187.38              3         141.47
         179.27              4         364.43
         177.78              3         385.80
         221.57              3         344.67
         252.91              4         498.03
          78.15              2         477.76
         128.46              3         224.16
         166.70              4         377.45
         183.90              3         314.84
         132.05              3         377.53
         128.80              2         503.72
          19.78              1         410.55
          84.96              2         295.64
         453.85              7         215.10
         254.76              4         278.30
         201.04              2         289.64
          23.82              1         305.45
         173.56              3         447.00
          50.39              2         189.74
         101.04              3         635.97
         116.03              2         351.07
          64.22              2         220.92
         167.36              3         262.21
