      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         236.70              3         343.74
         209.73              3         354.16
         230.24              3         305.90
         214.82              3         456.06
         229.11              3         344.45
         242.05              3         359.09
         220.18              3         367.41
         232.99              3         352.28
         232.11              3         509.63
         221.75              3         218.38
         246.46              3         766.70
         238.10              3         415.22
         224.08              3         461.37
         218.58              3         267.81
         237.25              3         430.20
         214.26              3         531.92
         223.74              3         563.03
         235.31              3         515.99
         223.68              3         163.81
         245.46              3         411.31
         210.33              3         352.67
         245.51              3         284.63
         221.67              3         577.37
         212.59              3         269.51
         232.86              3         238.15
         241.25              3         248.58
         221.84              3         308.09
         237.07              3         310.40
         209.32              3         377.46
         223.75              3         338.50
         222.90              3         547.48
         220.01              3         500.72
         219.04              3         469.74
         228.78              3         276.11
         230.64              3         439.18
         215.09              3         113.11
         240.83              3         387.31
         221.57              3         344.67
         240.39              3         582.27
         221.03              3         677.25
         217.57              3         477.68
         212.95              3         431.97
         230.01              3         510.82
