 #No_Constraint #No_Constraint      #Hard_water    #Hard_water        #Soft_ZPE      #Soft_ZPE        #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)
         178.54         423.10           438.74         504.63           178.54         423.10            62.61         332.20
          76.94         315.64            52.41         628.63            76.94         315.64            50.86         444.42
         540.67         178.11            74.59         601.06           157.25         600.99            74.88         198.27
        1579.04         554.10           950.03         597.62            52.41         628.63            31.66         312.81
         438.74         504.63           535.73         770.13            74.59         601.06           370.86         226.41
         924.34         231.36           257.98         265.76           153.82         363.92           207.09         288.43
         157.25         600.99           134.11         663.50            60.12         441.57           209.73         354.16
         469.03         726.86            62.61         332.20           138.11         483.44           255.25         354.65
          52.41         628.63           481.62         484.99           257.98         265.76            78.53         187.30
          74.59         601.06           159.29         719.64            34.70         399.07            40.04         533.72
         950.03         597.62           334.71         582.72           168.20         314.61           182.12         562.93
         627.97         128.47           189.69         436.36           133.49         554.31            52.47         269.65
         535.73         770.13            76.66         564.75            74.10         559.62            99.32         420.60
         153.82         363.92           522.75         483.66            83.03         506.91           146.06         220.33
          60.12         441.57           379.20         893.17            73.21         366.56           226.23         433.64
         138.11         483.44           322.98         236.52           134.11         663.50            65.56         355.81
         257.98         265.76           141.97         320.06            62.61         332.20           109.40         555.55
         269.25         788.76           637.78         556.37           197.17         586.50            32.43         338.91
         420.73         559.10          1125.53        1009.74            24.16         535.53           147.67         156.02
          34.70         399.07           255.00         312.50           189.69         436.36           327.51         355.39
         168.20         314.61            50.86         444.42            76.66         564.75           168.82         354.60
         133.49         554.31           138.55         447.50            82.89         525.12           142.66         293.04
          74.10         559.62           246.58         429.14           322.98         236.52             5.96         230.34
          83.03         506.91           137.93         471.06           145.60         270.86           213.93         568.01
         227.15         844.75            33.43         672.58           141.97         320.06           203.32         336.66
          73.21         366.56          1042.54         232.17            84.93         260.40           229.11         344.45
         134.11         663.50            77.61         699.71           231.33         435.75           401.42         145.57
          62.61         332.20           236.70         343.74            45.07         438.56            65.26         546.16
         481.62         484.99           324.93         451.21           237.65         202.80            53.74         185.86
         158.29         878.90           917.88         404.13            89.92         266.15            27.57         215.11
         197.17         586.50           440.02         530.01            50.86         444.42           376.70         268.18
        1204.42         952.64           255.38         435.07           179.66         410.25            75.82         396.82
          81.74         909.86           470.41         541.30           138.55         447.50           274.16         283.79
          24.16         535.53           423.61         383.24           457.83         196.70           125.82         581.12
