 #HCl ZPE (DMC): 1483.743446, WWW ZPE (DMC): 15602.536472
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) -E_COM,E_COM=0
 
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         482.24              6         151.61
         428.63              6         443.15
         470.67              6         189.35
         430.41              6         157.85
         457.45              6         261.47
         394.60              6         368.93
         358.23              6         478.77
         381.93              6         363.17
         464.45              6         172.68
         410.23              6         404.15
         305.05              6         323.76
         398.28              6         327.75
         362.35              6         278.71
         427.78              6         192.57
         470.60              6         683.31
         422.43              6         241.89
         478.52              6         329.68
         467.39              6         443.43
         433.73              6         375.19
         440.23              6         242.04
         365.11              6         685.89
         417.18              6         242.71
         454.44              6         211.10
         401.13              6         215.13
         423.82              6         208.62
         469.99              6         359.54
         352.52              6         299.65
         413.88              6         349.14
         438.62              6         164.92
         397.49              6         129.28
         485.63              6         193.29
         465.31              6         166.49
         441.08              6         410.90
         381.45              6         280.50
         406.34              6         508.91
         493.31              6         503.75
         465.26              6         577.45
         437.51              6         438.46
         412.44              6         191.15
         388.40              6         157.62
         405.42              6         391.85
         374.30              6         231.68
         342.09              6         301.42
         419.47              6         274.19
         416.62              6         329.28
         437.58              6         287.95
         400.35              6         412.94
         406.72              6         256.32
         526.50              6         343.44
         445.60              6         383.99
         424.18              6         338.16
         394.59              6         235.65
         450.19              6         280.85
         449.02              6         363.09
         492.88              6         530.85
         381.39              6         194.36
         443.90              6         219.71
         417.30              6         221.15
         411.55              6         299.02
         407.75              6         478.51
         410.69              6         311.78
         457.56              6         350.82
         443.80              6         232.81
         380.85              6         255.97
         368.70              6         297.66
         362.84              6         523.54
         364.19              6         218.74
         467.99              6         213.84
         416.78              6         434.08
         459.59              6         259.34
         462.45              6         483.83
         416.13              6         348.42
         469.29              6         257.82
         393.87              6         161.61
         387.63              6         138.73
         438.78              6         217.17
         499.88              6         288.79
         405.28              6         259.45
         376.30              6         123.12
         437.01              6         295.89
         377.68              6         268.37
         503.66              6         189.46
         390.51              6         494.68
         373.12              6         418.98
         482.32              6         319.81
         499.34              6         399.87
         512.41              6         427.56
         489.09              6         380.48
         416.95              6         424.77
         478.50              6         251.39
         480.85              6         497.69
         487.40              6         317.03
         423.38              6         522.27
         403.69              6         564.04
         364.55              6         265.76
         478.06              6          87.87
         365.69              6         297.48
         432.11              6          96.84
         449.88              6         432.60
         385.36              6          96.84
         429.98              6         238.79
         492.51              6         224.12
         355.37              6         261.59
         494.35              6         292.22
         441.05              6         423.25
         453.53              6         330.88
         442.83              6         207.77
         392.24              6         557.48
         398.03              6         243.06
         362.92              6         216.26
         339.67              6         215.34
         402.27              6         305.17
         450.25              6         185.53
         564.59              6         244.83
         457.76              6         346.29
         374.46              6         274.38
         457.21              6         207.42
         436.25              6         227.94
         457.95              6         280.64
         458.71              6         279.16
         458.65              6         595.95
         355.63              6         329.79
         491.93              6         387.51
         359.36              6         215.62
         539.79              6         163.92
         414.34              6         521.28
         371.35              6         335.29
         499.50              6         176.22
         365.38              6         382.06
         394.10              6         132.28
         439.67              6         242.42
         443.65              6         421.69
         302.87              6         157.63
         528.20              6         720.19
         324.18              6         211.85
         550.90              6         537.72
         337.69              6         289.73
         366.29              6         260.36
         350.22              6         209.83
         409.40              6         509.12
         409.88              6         203.91
         392.78              6         182.75
         452.10              6         232.23
         436.69              6         240.28
         411.36              6         276.87
         447.38              6         243.37
         426.72              6         342.89
         596.86              6         378.92
         357.71              6         312.56
         522.45              6         471.77
         362.35              6         288.35
         435.44              6         355.62
         392.41              6         360.87
         511.08              6         572.84
         400.40              6         345.33
         330.30              6         312.44
         432.61              6         286.07
         364.97              6         309.03
         378.66              6         313.46
         421.06              6         500.30
         509.39              6         254.02
         428.40              6         357.70
         447.16              6         152.84
         372.44              6         309.03
         410.95              6         212.69
         511.28              6         158.46
         434.39              6         186.09
         332.25              6         548.19
         410.66              6         290.55
         448.82              6         649.61
         399.16              6         378.08
         379.40              6         274.35
         365.77              6         109.68
         431.06              6         450.15
         430.38              6         512.88
         381.10              6         406.08
         503.35              6         406.05
         426.79              6         335.23
         450.09              6         458.21
         532.40              6         252.61
         368.41              6         592.74
         490.17              6         593.65
         352.63              6         205.35
         473.49              6         355.37
         359.63              6         157.84
         568.00              6         165.30
         372.42              6         379.17
         378.25              6         139.78
         433.25              6         186.90
         409.71              6         420.31
         382.84              6         333.48
         504.21              6         147.67
         403.51              6         340.68
         312.91              6         357.11
         418.32              6         423.94
         387.64              6         188.85
         347.79              6         430.28
         466.53              6         728.41
         360.38              6         142.64
         437.81              6         365.31
         441.08              6         457.78
         474.62              6         361.81
         389.46              6         188.37
         469.16              6         531.82
         528.05              6         762.01
         405.75              6         234.65
         479.57              6         107.65
         444.30              6         390.01
         450.07              6         425.75
         528.89              6         270.78
         502.79              6         264.95
         350.80              6         224.21
         394.24              6         330.95
         398.91              6         472.85
         419.78              6         601.66
         418.75              6         476.73
         382.53              6         339.89
         393.72              6         198.68
         403.22              6         194.31
         443.47              6         385.07
         365.99              6         240.79
         434.61              6         364.23
         340.52              6         684.48
         412.74              6         262.18
         442.44              6         250.30
         428.70              6         129.31
         390.06              6         203.09
         367.61              6         295.77
         363.97              6         302.02
         408.16              6         598.01
         451.77              6         480.31
