 #Erot(HCl)cm-1             #J    #Speed(m/s)
         530.00              7         259.68
          53.10              2         222.00
         482.24              6         151.61
          40.27              1         648.93
         578.54              7         336.59
          95.99              3         417.83
         430.41              6         157.85
         751.21              8         727.85
         591.42              8         382.26
         115.00              3         434.47
          29.03              1         159.75
        1011.52             10         429.14
         191.19              4         161.88
         394.60              6         368.93
         465.74              7         303.00
         342.32              5         203.14
         408.06              5         253.75
         179.87              4         387.96
         610.55              8         252.54
         263.15              5         272.79
         142.79              3         680.92
         473.36              7         271.24
          81.05              2         397.07
         273.73              5         357.04
         129.44              3         216.68
         305.05              6         323.76
          51.70              2         197.97
          76.02              2         539.98
         314.23              5         430.45
         398.28              6         327.75
         109.08              3         234.67
         208.45              4         285.64
         217.34              4         181.75
         136.19              3         266.83
          10.29              0         123.58
         111.01              3         202.63
         310.25              5         388.51
         362.35              6         278.71
         140.94              3         334.76
         102.34              3         566.16
          15.12              1         176.94
         194.92              4         302.49
          17.92              1         492.67
         315.38              5         479.08
          27.05              1         318.61
          32.60              1         225.98
        1318.32             12         388.06
          71.72              2         307.60
         170.01              3         167.61
          26.49              1         412.79
         235.50              5         326.85
         480.52              7         516.21
         127.38              3         235.86
         401.13              6         215.13
         149.96              4         499.91
         321.17              5         211.11
          15.12              1         168.93
          32.28              1         344.10
           6.09              0         263.02
         214.94              4         525.39
          22.71              1         247.08
          67.54              2         421.14
         122.95              3         409.23
         285.10              4         365.12
         361.32              5         187.80
         526.36              7         381.93
          54.37              2         179.96
         397.49              6         129.28
         110.44              3         131.02
          99.59              3         332.26
         432.60              7         324.09
         507.08              7         269.46
         381.45              6         280.50
         106.00              3         237.38
         248.30              5         155.58
         962.71              9         263.79
         406.34              6         508.91
          14.62              1         636.02
         493.31              6         503.75
         465.26              6         577.45
          66.39              2         289.64
          54.55              2         431.03
          62.36              2         250.76
         217.47              4         199.67
         412.44              6         191.15
         409.45              5         272.23
         569.46              7         302.25
         113.95              3         324.06
         148.60              4         378.66
         388.40              6         157.62
           2.30              0         370.25
         992.50              9         431.41
        1348.10             11         375.65
          19.78              1         309.26
          81.81              3         340.74
         116.39              3         231.32
         267.41              5         535.83
          73.95              3         332.36
          92.34              3         132.62
          97.85              3         164.33
         812.20              8         377.64
         268.89              5         232.23
         193.48              4         268.72
          90.97              3         510.99
         844.87              9         106.40
         315.25              5         321.62
         700.06              7         344.63
         591.39              8         433.40
         340.75              5         241.15
         992.22              9          93.77
          83.20              3         166.47
         188.04              4         218.23
         422.45              7         377.47
         109.10              3         364.63
         275.78              5         203.96
          66.05              2         168.32
           3.27              0         202.32
         173.07              4         336.17
         268.86              5         273.32
         127.41              3         128.98
          28.91              1         481.57
         254.06              4         229.08
         166.47              3         516.51
         371.25              5         478.05
         206.67              4         191.66
         320.34              5         119.10
         317.76              5         195.23
          86.35              3         204.85
         684.88              8         262.52
         677.29              7         224.67
         135.32              3         292.07
         163.52              3         272.35
          83.65              2         461.20
          94.55              3         504.93
          35.55              1         347.53
         149.67              3         320.79
         110.36              3         468.99
         823.41              9         237.52
          19.90              1         243.21
          51.15              2         298.19
         720.61              9         440.53
         362.84              6         523.54
           8.68              0         376.48
         285.66              4         305.57
           5.69              0         303.38
          67.56              2         437.36
         119.88              3         426.57
         467.00              7         721.99
        1501.34             11         502.68
        1011.86              9         308.93
         161.23              4         323.00
         150.77              3         351.86
         161.46              3         322.98
         480.18              7         398.34
           3.29              0         144.36
          94.97              3         162.43
         703.28              9         370.08
         347.78              5         252.12
          13.38              1         224.71
         187.86              4         296.02
          85.63              3         259.88
         590.27              8         298.14
         759.13              8         323.01
          13.53              1         105.90
         159.70              3         224.78
         393.87              6         161.61
          19.64              1         225.49
         442.85              7         156.11
          26.46              1         827.82
         872.24              9         248.82
         172.19              4         245.15
          44.61              2         624.80
          62.09              2          98.19
         436.41              5         463.59
         165.25              4         239.80
         110.55              2         220.78
         284.24              5         284.75
          49.18              2         188.93
          62.87              2         690.55
         377.68              6         268.37
         142.01              3         470.31
         294.10              5         173.58
         219.01              4         276.17
         225.18              4         174.45
         170.75              4         202.17
         194.83              4         122.02
           2.35              0         559.61
         299.62              5         633.97
         167.20              3         349.07
          80.09              2         147.89
         216.34              5         250.43
         499.34              6         399.87
         976.05              9         815.03
         112.92              3         497.56
         512.41              6         427.56
         108.13              3         556.18
           5.54              0         153.56
         764.19              9         174.53
         107.62              2         512.77
          37.23              2         340.25
        1005.25              8         182.25
         283.77              5         251.32
         413.58              7         280.19
          39.11              2         201.32
          87.78              3         255.13
         679.87              8         350.43
         855.36              9         580.10
          94.54              3         133.75
         475.41              7         370.51
         166.14              3         378.31
         487.40              6         317.03
          60.15              2         387.57
           4.11              0         172.50
          28.28              1         358.83
         243.52              5         275.56
           6.75              0         235.63
         322.44              5         297.15
         263.05              5         371.54
        1004.23             10         396.41
         124.67              3         462.86
          51.42              2         309.70
          87.65              3         202.20
         364.55              6         265.76
         885.15              9         260.54
         215.82              5         200.22
         133.92              3         556.30
          80.59              3         346.84
          37.06              1         381.17
          63.83              2         360.41
         233.10              4         434.18
         204.62              4         559.50
         115.83              3         216.96
          20.10              1         314.24
         347.32              5         401.49
          59.86              2         280.71
          95.45              2         537.64
         654.99              8         298.51
         324.30              5         150.88
          72.37              2         318.43
          42.65              1         243.64
         173.43              4         448.66
         159.04              4         568.38
          83.20              3         277.67
         355.37              6         261.59
         218.12              5         249.67
         210.78              4         395.46
         600.20              8         390.76
          14.82              1         191.46
         442.83              6         207.77
          66.08              2         110.93
         130.75              3         191.63
         120.40              3         449.26
          98.30              3         444.16
          47.96              2         538.70
          42.55              2         406.20
         133.64              3         492.63
          42.46              2         236.64
         145.15              3         228.55
           1.95              0         662.47
         269.62              5         190.40
        1152.82             10         280.68
         362.92              6         216.26
         150.69              4         155.27
         339.67              6         215.34
         165.71              4         354.01
          42.14              2         470.87
          46.70              2         428.71
         316.84              5         375.06
         150.75              4         207.47
          13.56              1         358.13
          39.05              1         204.38
          91.07              2         261.88
           9.28              0         217.53
         135.57              3         650.17
         106.97              3         426.15
         260.75              4         309.35
         670.06              7         288.89
         808.09              9         295.75
          53.34              2         265.85
         131.61              3         302.65
          74.88              2         261.62
         252.57              4         267.10
          50.35              2         165.41
          68.51              2         161.59
         247.45              5         266.87
         157.66              3         185.71
         747.37              7         245.34
           0.61              0         243.67
          59.79              2         409.65
          44.33              1         475.89
         125.82              3         436.69
          38.14              1         474.17
         317.35              5         494.73
         626.65              8         185.55
           1.50              0         322.53
         195.23              4         211.73
          22.97              1         203.11
         183.56              4         537.35
          97.33              3         290.89
         359.36              6         215.62
          19.44              1         637.53
           9.52              1         352.09
          39.14              2         225.02
          22.40              1         188.30
         956.78              9         382.66
         299.25              5         493.65
         138.02              3         580.00
          83.37              2         325.46
         608.29              7         358.66
         246.50              5         180.81
          21.52              1         277.83
          39.34              1         233.85
         199.35              4         262.85
         176.30              4         349.98
          68.33              2         292.16
          84.86              2         343.49
         219.58              4         500.24
         135.72              3         545.75
         365.38              6         382.06
         613.33              7         362.67
        1755.64             13         146.93
          44.06              2         298.61
         183.85              4         303.48
         102.92              3         397.46
         104.99              3         605.95
         302.87              6         157.63
         116.31              3         295.96
         341.31              5         676.61
         284.04              5         180.25
         528.20              6         720.19
           0.21              0         339.10
           8.15              0         186.64
         103.04              3         800.33
          24.85              1         447.37
           9.20              1         228.80
           0.09              0         488.80
         159.46              3         298.68
          40.09              1         386.67
         435.77              7          96.56
         150.35              4         345.78
         550.90              6         537.72
          71.63              2         249.25
          72.48              2         307.83
         224.59              4         242.93
           1.32              0         248.58
         274.96              4         311.94
         823.55              9         293.39
          13.93              1         144.65
         130.06              4         185.71
          90.54              3         577.44
         237.19              4         220.60
         337.69              6         289.73
         153.86              4         262.04
         163.43              4         483.81
         622.10              7         245.19
         348.87              5         245.48
         244.30              5         201.18
          15.23              1         302.96
         601.17              7         412.68
         130.84              3         419.52
         249.86              4         306.66
          55.25              2         207.85
         294.72              4         297.20
          23.98              1         236.92
         576.02              8         351.41
          32.73              1         462.20
         411.36              6         276.87
         965.73             10         480.93
         596.86              6         378.92
         109.22              3         239.93
         106.67              3         179.38
         552.45              8         233.31
          63.59              2         419.59
         518.35              7         151.06
          60.94              2         488.33
         182.82              4         444.83
          60.81              2         614.76
         357.71              6         312.56
         522.45              6         471.77
         505.85              7         162.96
          84.50              3         255.54
          27.71              1         454.36
          89.46              3         146.27
          21.80              1         329.81
         287.96              5         307.65
          64.14              2         153.78
         773.46              9         239.75
          92.53              3         488.89
         115.50              3         392.34
         347.74              5         437.00
         511.08              6         572.84
         188.23              3         273.66
         157.32              3         374.57
         150.64              3         157.18
         269.06              5         444.82
         184.88              3         334.12
         251.37              4         179.27
         330.30              6         312.44
         378.66              6         313.46
         421.06              6         500.30
         262.63              5         250.26
          95.06              3         261.76
         384.15              5         392.34
         669.38              8         472.37
         567.79              7         397.52
