 #HCl ZPE (DMC): 1483.743446, WWW ZPE (DMC): 15602.536472
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) -E_COM,E_COM=0
 
     #Erot(HCl)     #Erot(WWW)     #Dvib(HCl)     #Dvib(WWW)             D0         #Speed             #J
         191.19         103.20        2276.01       -1237.87        2217.41         161.88              4
         179.87          54.69        1386.90        -594.32        2522.82         387.96              4
         208.45         371.06         909.68        -292.50        2353.28         285.64              4
         217.34          27.74         604.96         448.26        2251.65         181.75              4
         194.92          31.07         451.75         492.28        2379.92         302.49              4
         149.96         398.02          32.79         187.20        2781.98         499.91              4
         142.72         181.83        2913.84       -1921.40        2232.96         177.06              4
         214.94          43.15          86.72         349.11        2856.06         525.39              4
         285.10          21.46        1041.58        -272.34        2474.17         365.12              4
         217.47         422.06         179.31         450.20        2280.92         199.67              4
         148.60         103.51         448.61         330.56        2518.69         378.66              4
         188.04          52.49         153.37         875.34        2280.72         218.23              4
         173.07         155.16         369.51         430.71        2421.50         336.17              4
         254.06         148.09         545.20         330.54        2272.09         229.08              4
         206.67          15.02         916.04         168.89        2243.35         191.66              4
         285.66         139.23        1708.11        -969.00        2385.96         305.57              4
         161.23          42.13         583.11         352.47        2411.02         323.00              4
         187.86         148.28        1640.89        -799.79        2372.73         296.02              4
         172.19          93.73         174.90         804.99        2304.15         245.15              4
         165.25         127.19         129.70         817.98        2309.84         239.80              4
         219.01         351.30         145.73         489.94        2343.98         276.17              4
         225.18         238.02         423.44         463.65        2199.68         174.45              4
         170.75         131.35        2070.26       -1091.00        2268.61         202.17              4
         262.97         146.42         486.52         348.99        2305.05         244.13              4
         233.10         126.81        1156.52        -601.27        2634.79         434.18              4
         204.62         109.04         142.50         178.52        2915.29         559.50              4
         173.43          67.39         621.64          33.55        2653.95         448.66              4
         159.04         144.32        1195.04        -920.38        2971.93         568.38              4
         210.78         628.43        1126.17        -938.85        2523.42         395.46              4
         150.69          13.22         182.08         979.43        2224.55         155.27              4
         165.71          28.32        1635.74        -753.82        2474.01         354.01              4
         150.75         305.61         172.54         700.58        2220.50         207.47              4
         260.75          26.46         336.90         542.35        2383.52         309.35              4
         252.57         224.69         294.74         448.27        2329.68         267.10              4
         195.23         221.86        2031.34       -1187.02        2288.55         211.73              4
         183.56         190.30         886.99        -578.22        2867.32         537.35              4
         199.35         130.57        1093.56        -190.28        2316.76         262.85              4
         176.30          74.70         444.11         392.42        2462.42         349.98              4
         219.58         228.66         292.91          18.34        2790.48         500.24              4
         183.85          30.68          34.09         909.64        2391.68         303.48              4
         150.35         208.13         132.41         624.67        2434.41         345.78              4
         224.59         241.95        1597.15        -798.04        2284.32         242.93              4
         274.96         126.98        2811.82       -2042.75        2378.96         311.94              4
         130.06         385.25        1867.55       -1066.29        2233.39         185.71              4
         237.19          53.11         157.84         828.72        2273.10         220.60              4
         153.86          83.49         161.56         857.94        2293.13         262.04              4
         163.43         158.88          55.02         460.58        2712.06         483.81              4
         249.86          22.66        1121.80        -296.25        2451.88         306.66              4
         294.72         418.32        1165.26        -709.35        2381.01         297.20              4
         182.82         145.19         185.00         402.77        2634.18         444.83              4
         251.37         101.01         141.97         827.19        2228.41         179.27              4
         150.41         166.69        1501.79       -1055.51        2786.58         511.46              4
         209.75         222.00         520.57         378.01        2219.63         165.60              4
         148.89         171.94        1117.26        -240.53        2352.40         291.37              4
         195.01         109.32        1220.30        -375.04        2400.38         331.46              4
         175.46          34.21        2029.92        -975.29        2285.67         230.26              4
         198.33         105.95        1216.90        -392.60        2421.40         323.35              4
         197.30          21.01         158.96         958.21        2214.50         152.14              4
         283.03         131.64         371.82         425.35        2338.14         265.89              4
         154.54          71.76        1120.95        -360.46        2563.19         394.66              4
         177.41         335.52         424.33         -21.78        2634.48         438.23              4
         194.43          59.03         156.28         847.30        2292.92         237.69              4
         198.84          53.08         180.74         535.58        2581.73         411.22              4
         144.55          81.71         619.20         291.38        2413.11         321.16              4
         140.01         288.20         603.45        -132.61        2650.91         442.69              4
         162.85         190.14         243.61         353.87        2599.50         424.38              4
         206.87          12.92         167.98         500.88        2661.30         456.61              4
         176.12         333.33         630.64        -240.43        2650.31         438.05              4
         203.44          76.47         437.91         454.33        2377.83         302.63              4
         200.35         104.40         392.09         435.03        2418.11         346.56              4
         144.73         146.65         546.68         270.46        2441.44         347.57              4
         173.22         835.16         558.27        -535.23        2518.54         376.34              4
         221.71          17.65         389.00         173.71        2747.86         497.51              4
         246.20        1179.10         634.98       -1675.43        3165.11         646.51              4
         202.80           6.85         271.09       -1654.57        4723.78        1010.66              4
         166.55         659.25         189.80         166.53        2367.83         300.69              4
         211.16         359.66         859.08        -474.88        2594.94         427.89              4
         266.45          37.39         430.61         421.81        2393.71         309.55              4
         140.84         109.26        3200.20       -2309.62        2409.29         330.77              4
         189.33           3.02          69.79         937.68        2350.12         277.49              4
         272.09         120.96         207.95         618.51        2330.46         252.05              4
         189.82          81.31          73.10         874.21        2331.54         269.67              4
         210.42          47.57           4.52         982.44        2305.00         238.36              4
