 # Hard ZPE restriction,  Energy (cm-1), speed (m/s)
 #HCl ZPE (DMC): 1483.743446, WWW ZPE (DMC): 15602.536472
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) -E_COM,E_COM=0
 
     #Erot(HCl)     #Erot(WWW)     #Dvib(HCl)     #Dvib(WWW)             D0         #Speed             #J
         482.24           7.83         551.17         290.89        2217.83         151.61              6
         430.41         193.31         578.35         138.57        2209.31         157.85              6
         115.00          80.88         661.37          59.32        2633.39         434.47              3
          29.03         122.65        1111.43          80.51        2206.37         159.75              1
         342.32         179.06          64.03         704.63        2259.93         203.14              5
         408.06         178.90         226.76         454.32        2281.91         253.75              5
         610.55         204.03         422.95          14.87        2297.58         252.54              8
          81.05         176.33         133.72         604.02        2554.84         397.07              2
         129.44         357.06         485.84         303.15        2274.47         216.68              3
          51.70          50.17        1189.21          25.23        2233.65         197.97              2
         314.23         228.08         393.77           6.22        2607.65         430.45              5
         398.28          56.30         469.64         196.41        2429.33         327.75              6
         109.08         127.24          98.58         929.51        2285.58         234.67              3
         217.34          27.74         604.96         448.26        2251.65         181.75              4
          10.29          13.58         849.98         493.00        2183.09         123.58              0
         362.35          60.83         369.83         412.22        2344.73         278.71              6
          15.12          41.36        1057.84         200.02        2235.62         176.94              1
         194.92          31.07         451.75         492.28        2379.92         302.49              4
          45.81          37.49         795.72         104.86        2566.08         411.00              2
          32.60          13.81         392.62         830.85        2280.09         225.98              1
          26.49         753.81          76.11         130.94        2562.62         412.79              1
         235.50         158.59         545.79         203.51        2406.55         326.85              5
         480.52          67.60          96.07          78.70        2827.08         516.21              7
          29.04          30.48         626.81         612.99        2250.66         179.58              1
         401.13         297.77         310.05         265.56        2275.46         215.13              6
         149.96         398.02          32.79         187.20        2781.98         499.91              4
         321.17          68.62         359.99         535.70        2264.46         211.11              5
          15.12          61.79         336.07         883.97        2253.02         168.93              1
           6.09         351.20         166.40         734.28        2292.00         263.02              0
         214.94          43.15          86.72         349.11        2856.06         525.39              4
         122.95         207.91         215.18         461.47        2542.45         409.23              3
         361.32         190.35         200.99         561.11        2236.18         187.80              5
          54.37         206.91         907.41         147.24        2234.03         179.96              2
         397.49          12.85         100.21         839.72        2199.70         129.28              6
         153.57          82.47         215.56         612.26        2486.10         354.37              3
         381.45         140.20         337.67         390.77        2299.84         280.50              6
         106.00         252.44         640.05         277.95        2273.50         237.38              3
         248.30         227.14         148.83         723.25        2202.45         155.58              5
          54.55          76.21          62.57         740.70        2615.94         431.03              2
         217.47         422.06         179.31         450.20        2280.92         199.67              4
         569.46         258.56           5.14         398.18        2318.62         302.25              7
         148.60         103.51         448.61         330.56        2518.69         378.66              4
         388.40           1.08          45.94         891.74        2222.81         157.62              6
           2.30         117.30         802.99         151.08        2476.30         370.25              0
          81.81          65.09         155.28         809.38        2438.42         340.74              3
         116.39          85.35         654.49         436.71        2257.02         231.32              3
          90.97          44.79         561.50          45.95        2806.76         510.99              3
         844.87          34.32         252.07         229.65        2189.06         106.40              9
         315.25         328.99         459.93          38.80        2407.00         321.62              5
         700.06         156.53         102.93         164.77        2425.66         344.63              7
         340.75          48.64          87.45         776.02        2297.10         241.15              5
          83.20         173.48         500.93         580.61        2211.75         166.47              3
         188.04          52.49         153.37         875.34        2280.72         218.23              4
         173.07         155.16         369.51         430.71        2421.50         336.17              4
         268.86         153.30         407.33         396.62        2323.88         273.32              5
         127.41         134.24        1001.29          80.92        2206.13         128.98              3
          28.91         136.84         189.85         452.20        2742.15         481.57              1
         254.06         148.09         545.20         330.54        2272.09         229.08              4
         166.47         248.23         216.75          79.90        2838.61         516.51              3
         371.25         122.87         293.52          67.81        2694.51         478.05              5
         206.67          15.02         916.04         168.89        2243.35         191.66              4
         320.34         130.01         360.40         555.83        2183.37         119.10              5
         317.76         594.25          45.95         338.61        2253.38         195.23              5
          86.35         114.30         203.77         894.96        2250.57         204.85              3
         677.29         104.00         417.32          80.50        2270.84         224.67              7
         183.99          14.14         699.69         393.03        2259.13         215.93              3
         135.32          70.12         265.55         729.59        2349.39         292.07              3
