 #Erot(HCl)cm-1             #J    #Speed(m/s)
         482.24              6         151.61
         430.41              6         157.85
         398.28              6         327.75
         362.35              6         278.71
         401.13              6         215.13
         397.49              6         129.28
         381.45              6         280.50
         388.40              6         157.62
         362.84              6         523.54
         377.68              6         268.37
         499.34              6         399.87
         512.41              6         427.56
         355.37              6         261.59
         362.92              6         216.26
         339.67              6         215.34
         359.36              6         215.62
         350.22              6         209.83
         411.36              6         276.87
         426.72              6         342.89
         378.66              6         313.46
         421.06              6         500.30
         509.39              6         254.02
         428.40              6         357.70
         447.16              6         152.84
         372.44              6         309.03
         332.25              6         548.19
         381.10              6         406.08
         426.79              6         335.23
         450.09              6         458.21
         532.40              6         252.61
         359.63              6         157.84
         387.64              6         188.85
         360.38              6         142.64
         389.46              6         188.37
         350.80              6         224.21
         434.61              6         364.23
