 # Soft ZPE restriction, Energy (cm-1), speed (m/s)
 #Water ZPE (DMC): 4713.0629051, HWW ZPE (DMC): 12528.93462455
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) - E_COM,E_COM=0
 
   #Erot(W)cm-1    #Speed(m/s)
         178.54         423.10
          76.94         315.64
         157.25         600.99
          52.41         628.63
          74.59         601.06
         153.82         363.92
         104.93         550.12
          60.12         441.57
         138.11         483.44
         257.98         265.76
          34.70         399.07
         168.20         314.61
         133.49         554.31
          74.10         559.62
          83.03         506.91
          73.21         366.56
         134.11         663.50
          62.61         332.20
         197.17         586.50
          24.16         535.53
         218.09         490.11
         189.69         436.36
          76.66         564.75
          82.89         525.12
         322.98         236.52
         145.60         270.86
          84.93         260.40
          26.30         474.54
         231.33         435.75
         237.65         202.80
         125.62         511.70
          89.92         266.15
          50.86         444.42
         179.66         410.25
         138.55         447.50
         457.83         196.70
         246.58         429.14
         120.55         473.38
          88.74         437.56
         137.93         471.06
          33.43         672.58
          19.42         415.32
          77.61         699.71
          81.63         702.92
         142.11         576.50
         104.80         484.28
         236.70         343.74
         324.93         451.21
         127.26         477.83
         303.77         342.25
          79.89         500.93
         423.61         383.24
          74.88         198.27
         277.58         403.62
          31.66         312.81
         401.18         228.21
         318.30         392.91
         297.38         190.28
          56.39         262.26
          98.27         718.41
         307.11         515.24
         370.86         226.41
         217.80         524.09
          97.53         466.92
         177.04         673.00
          43.73         521.44
          22.89         271.02
          47.48         387.10
         185.84         521.05
         323.10         472.04
         240.93         366.14
         250.94         211.34
         206.73         446.34
         202.61         308.55
         147.32         406.12
         293.39         434.66
          33.65         258.42
         277.72         227.32
         173.93         240.08
         207.13         315.90
         241.49         509.53
         437.62         151.83
         285.30         293.62
         216.62         505.66
          94.28         178.30
         251.08         292.41
         214.31         398.01
         502.56         160.62
          43.84         426.71
          30.40         630.40
         383.21         222.82
          28.18         590.01
          14.65         412.66
         299.55         292.93
         315.68         255.15
          63.79         562.52
          93.53         231.67
          84.04         403.48
         348.93         455.82
         346.54         288.01
         207.09         288.43
          19.75         342.36
         209.73         354.16
         112.40         610.22
         129.08         348.22
         100.62         341.83
         242.65         289.78
          11.26         603.31
         326.25         446.76
         319.74         487.14
         110.95         468.12
         176.36         454.18
         198.63         243.95
         131.48         304.69
         446.49         379.45
         197.62         505.59
         234.37         608.14
         153.54         417.76
         335.50         244.20
         151.12         482.02
         183.02         194.29
          31.41         432.09
          49.77         378.40
         282.05         436.61
         201.67         401.91
         190.67         298.21
          79.99         327.08
         231.14         401.04
         307.99         352.00
         177.09         518.61
         277.34         375.78
         202.23         214.41
         164.53         634.62
          62.77         289.18
          52.54         288.80
          56.58         273.47
          87.96         430.46
         285.19         409.79
         275.48         489.34
         293.04         493.57
         123.07         553.08
         534.16         247.06
         279.10         246.19
         368.98         228.53
           5.47         325.96
         273.85         433.39
          17.53         446.69
         139.71         337.74
         265.20         625.55
         445.60         189.60
          32.23         613.32
          76.67         554.79
         154.34         581.79
          98.72         260.52
         247.12         363.66
         112.33         397.95
         252.16         227.20
         184.80         414.13
         276.70         327.02
         212.86         441.81
          51.38         509.94
         153.87         492.63
         400.46         332.60
          55.89         467.69
         166.76         436.46
          85.11         323.34
         262.32         433.21
           7.94         297.36
         189.68         342.33
         319.69         414.21
         209.81         289.50
         139.88         446.23
         277.50         434.39
         399.76         346.98
         149.25         524.53
         153.35         368.20
         162.24         343.62
         222.81         177.49
         367.17         254.92
         319.52         426.45
          64.60         536.68
         213.13         170.36
          33.28         716.24
         261.11         346.70
         119.87         504.09
          20.23         556.90
         234.79         297.25
         268.21         418.05
         196.58         540.35
          70.11         245.16
          78.53         187.30
         102.19         207.12
         201.77         348.92
         388.87         231.19
          40.04         533.72
         125.22         436.83
         177.42         356.48
         182.12         562.93
         411.57         236.08
          51.56         617.03
         131.91         627.26
         292.77         295.18
         136.67         151.73
         194.48         510.35
          94.82         355.26
          52.47         269.65
         194.83         493.39
         365.01         189.79
         223.93         511.30
          20.07         246.96
         236.61         495.25
         287.36         227.00
          51.67         258.33
         131.57         598.57
         213.88         528.58
         366.11         222.28
         396.82         316.39
         168.64         419.39
         233.48         342.03
          36.94         484.66
         241.50         251.88
         263.23         474.45
           2.53         118.53
         185.16         570.55
         148.60         201.69
         390.53         398.89
          49.17         361.49
          52.06         544.45
          74.63         503.02
         107.44         296.71
          90.50         675.61
         123.76         463.48
         272.09         180.85
         176.15         473.72
         273.98         358.37
         312.69         452.59
         185.66          90.72
         175.53         338.74
          11.65         434.38
         363.28          72.39
         362.36         457.40
         123.08         361.80
         182.97         337.99
         291.86         579.85
         317.34         479.63
         207.48         333.71
          99.75         396.52
         368.15         410.16
         133.95         565.00
          81.75         249.54
         158.59         367.44
          68.90         560.01
         403.61         242.66
         336.14         232.43
         459.36         227.86
         130.78         594.24
          99.10         248.52
         220.48         282.95
          24.97         298.74
         182.68         489.20
          13.41         221.67
         195.34         565.93
          99.32         420.60
         205.98         345.24
         116.91         273.04
         146.06         220.33
         241.94         445.40
         216.91         418.82
          49.30         162.82
         301.94         495.56
         373.79         360.88
         415.44          95.55
         309.31         154.97
         144.51         434.46
          98.35         495.65
          98.26         465.24
         211.53         426.45
         376.07         264.94
         393.26         185.55
         187.00         501.69
         260.07         518.03
         137.16         556.86
         200.07         266.10
          90.32         420.66
         171.39         398.25
          26.79         569.14
         190.41         411.99
          49.66         338.79
         139.47         414.48
         301.28         323.75
          81.12         527.77
         242.75         443.96
          52.45         561.88
         167.46         589.66
          83.49         612.42
         247.42         578.14
         364.61         388.78
         177.03         479.72
         351.95         197.00
         226.23         433.64
         293.91         505.05
          17.16         641.85
          30.21         407.32
          93.40         217.63
         601.12         108.69
          18.24         514.99
          47.01         281.71
         174.04         304.19
          87.08         289.21
         144.06         348.36
         302.89         152.42
          99.53         230.74
         177.52         360.31
          72.40         685.76
          98.92         383.19
          72.07         217.48
         144.73         370.34
         426.00         348.87
         216.67         377.98
         366.99         256.19
         166.11         542.90
         146.00         255.38
         131.93         280.57
         188.06         552.97
         385.54         468.51
          65.56         355.81
         222.55         597.96
         217.22         249.04
         180.61         284.79
         109.40         555.55
         153.58         221.91
          71.15         583.06
         252.45         309.16
         193.95         215.61
         554.66         304.15
         232.91         445.27
         252.78         515.05
         336.95         434.01
         235.13         508.57
         119.49         463.54
         298.72         434.20
         469.01         215.75
         209.81         538.21
         131.08         345.58
          36.25         335.89
         317.91         337.89
         288.86         282.29
         230.01         419.38
         185.10         310.66
          38.75         170.67
         338.52         343.04
         283.37         477.84
         222.26         414.25
          69.24         697.62
         156.75         434.02
          57.43         386.54
         274.47         385.22
         224.08         461.37
          28.67         523.69
         347.37         256.33
          23.14         536.96
         305.86         142.96
          23.59         381.78
         115.73         384.63
          46.37         463.56
         476.21         140.49
         153.04         249.39
         159.18         425.45
         264.50         264.67
          95.27         653.25
          85.94         442.96
         378.11         374.72
         188.36         339.47
         501.00         280.99
         194.26         226.77
         128.30         375.17
         377.98         274.76
         244.59         289.30
           5.05         169.18
         455.17         239.94
         257.59         354.17
         101.68         603.73
         242.30         536.45
         525.75         150.77
         271.40         508.51
         123.43         520.20
         124.33         397.86
         127.84         341.07
         144.70         190.82
          44.42         463.20
          15.81         445.37
         158.11         528.43
         293.80         307.36
         365.64         110.55
          76.50         360.49
         414.11          90.41
         309.78         407.80
           3.09          82.40
          56.16         352.53
         351.22         294.31
         244.34         225.69
         134.56         346.49
          85.58         324.87
          86.74         448.56
          90.97         536.22
         353.71         307.20
         252.33         325.81
         434.84         190.03
         152.08         481.34
         211.53         374.34
         482.62         312.10
         141.24         648.79
          31.56         522.46
         325.64         368.81
         134.67         300.48
           0.64         213.74
         208.16         456.68
         356.28         302.87
         242.09         376.22
          10.40         567.50
         535.64         312.18
         119.69         589.56
          61.07         237.12
         245.41         286.87
          99.20         553.32
          73.63         387.06
         395.19         308.20
         473.39         127.30
          68.05         394.82
         216.69         503.49
          97.98         238.97
         365.12         336.89
         135.97         206.48
         445.53         122.96
         416.32         298.59
         188.08         141.56
         130.85         503.46
         157.39         312.21
         345.47         152.44
          47.53         592.56
         172.30         341.74
         326.26         223.03
         173.94         583.42
          33.11         653.53
         404.63         435.39
         189.43         266.94
         149.57         657.18
         153.49         234.04
         238.63         466.75
          86.65         615.12
          84.67         264.95
          45.88         312.54
         306.49         426.03
         182.41         417.42
         253.63         428.80
         136.05         659.67
         123.16         257.52
         241.75         401.43
           8.65         590.73
         167.41         273.72
          52.47         370.46
         218.57         642.66
         176.50         357.32
         314.14         401.73
         367.32         270.50
          40.38         599.33
          32.80         222.99
          52.73         465.68
         276.74         494.92
         163.65         407.30
         106.06         168.73
         191.81         319.03
         244.34         506.76
          45.65         381.60
          55.95         697.21
         164.82         479.94
         455.29         165.03
         274.38         481.39
         253.07         340.84
          38.84         409.93
         140.97         505.78
         267.03         527.79
         438.39         388.12
          81.28         392.45
         423.68         340.60
          90.27         516.20
         295.98         365.68
         196.60         377.56
          75.28         508.57
         327.09         342.95
         149.03         431.10
          99.10         360.33
         252.29         385.17
         305.81         553.40
         130.12         189.27
         167.17         463.69
         325.03         240.64
         211.31         162.76
         101.18         451.10
         200.50         527.27
          23.80         598.94
         245.75         454.02
         103.21         321.75
         183.10         381.42
         134.63         691.41
          84.30         181.00
         392.40         246.91
         162.20         573.25
         208.79         405.95
         145.35         424.63
         335.33         377.13
          49.91         266.56
         210.24         499.25
         558.03         104.67
         250.54         355.12
         229.22         254.59
         288.16         426.99
         244.13         417.72
         469.01         130.01
         143.56         289.16
         170.31         377.10
         564.02         169.27
         344.01         532.55
         145.66         392.78
         254.90         200.89
         133.63         422.18
          31.16         280.84
         345.22         311.91
         103.36         354.72
         569.54         213.33
